tuple,physical_bpw,count,mean,p10,p25,median,p75,p90
"(2,2,2)",0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2,2,3)",0.3333333333333333,285.0,0.26113630094026263,0.0028341531753540237,0.1419203281402588,0.2838878631591797,0.40068668127059937,0.5074197292327881
"(2,2,4)",0.6666666666666666,285.0,0.3585665221799884,0.10266509056091311,0.24454045295715332,0.3798477053642273,0.5014479160308838,0.5936883568763733
"(2,3,2)",0.3333333333333333,285.0,0.17853709354735256,-0.028779149055480954,0.06239742040634155,0.19784939289093018,0.30141836404800415,0.3874369978904724
"(2,3,3)",0.6666666666666666,285.0,0.4711550564096685,0.23320382833480835,0.35912400484085083,0.5080869197845459,0.6196181774139404,0.6925270795822144
"(2,3,4)",1.0,285.0,0.5837920569536978,0.3426696419715881,0.48614799976348877,0.6022834777832031,0.7084187269210815,0.8143080711364746
"(2,4,2)",0.6666666666666666,285.0,0.2440484515407629,0.03321539163589478,0.14615315198898315,0.262512743473053,0.35661858320236206,0.44363284111022944
"(2,4,3)",1.0,285.0,0.5510225931803385,0.3378602385520935,0.44777989387512207,0.585945188999176,0.6829855442047119,0.7436381936073303
"(2,4,4)",1.3333333333333333,285.0,0.6732826421135351,0.476354992389679,0.5818099975585938,0.7043030858039856,0.7868270874023438,0.8525034070014953
"(3,2,2)",0.3333333333333333,285.0,0.08186009683107075,-0.1177201509475708,-0.0114973783493042,0.09110623598098755,0.20632338523864746,0.31089260578155514
"(3,2,3)",0.6666666666666666,285.0,0.3537878939979955,0.09597263336181641,0.25195252895355225,0.38672828674316406,0.48911941051483154,0.5612415909767151
"(3,2,4)",1.0,285.0,0.45889791856732287,0.24468646049499512,0.3705027103424072,0.4670783281326294,0.5828204154968262,0.6524360656738282
"(3,3,2)",0.6666666666666666,285.0,0.29269601462180156,0.025838327407836925,0.19101250171661377,0.3135974407196045,0.4291442632675171,0.5224026679992676
"(3,3,3)",1.0,285.0,0.5984290815236276,0.39957042932510384,0.5128940343856812,0.6216088533401489,0.7097761631011963,0.7668927907943726
"(3,3,4)",1.3333333333333333,285.0,0.7198984121021471,0.586294662952423,0.6548010110855103,0.7316972017288208,0.7959111928939819,0.8472197651863098
"(3,4,2)",1.0,285.0,0.37876371354387517,0.1375882148742676,0.27220165729522705,0.38868898153305054,0.5106145143508911,0.6083246946334839
"(3,4,3)",1.3333333333333333,285.0,0.6993197219413624,0.5546657323837281,0.6363988518714905,0.7295829057693481,0.786700427532196,0.8369370460510254
"(3,4,4)",1.6666666666666667,285.0,0.8278664235483136,0.7245911598205567,0.7836545705795288,0.8454450368881226,0.885831356048584,0.9236137866973877
"(4,2,2)",0.6666666666666666,285.0,0.2513333983588637,0.053100311756134035,0.1472409963607788,0.2652711868286133,0.3584519624710083,0.45226181745529176
"(4,2,3)",1.0,285.0,0.5413171032018829,0.28688303232192996,0.45778632164001465,0.5692427754402161,0.6655018329620361,0.727544903755188
"(4,2,4)",1.3333333333333333,285.0,0.6650010880671049,0.46271859407424926,0.5732760429382324,0.6854786276817322,0.7859655618667603,0.8428977608680726
"(4,3,2)",1.0,285.0,0.43072660805886254,0.19681595563888551,0.3201562762260437,0.45381057262420654,0.556682288646698,0.6429712057113647
"(4,3,3)",1.3333333333333333,285.0,0.7534920163321913,0.6242893695831299,0.7107881903648376,0.7793780565261841,0.8349162340164185,0.874169135093689
"(4,3,4)",1.6666666666666667,285.0,0.8997850963943883,0.8133636474609375,0.8729114532470703,0.9185221791267395,0.9493743181228638,0.9688928484916687
"(4,4,2)",1.3333333333333333,285.0,0.5042238720676355,0.27998961210250856,0.4001121520996094,0.5127487182617188,0.6363660097122192,0.7108428955078124
"(4,4,3)",1.6666666666666667,285.0,0.845168940435376,0.7576072454452515,0.8093903064727783,0.858065664768219,0.8943016529083252,0.9279836058616638
"(4,4,4)",2.0,285.0,1.0,1.0,1.0,1.0,1.0,1.0
