tuple,physical_bpw,count,mean,p10,p25,median,p75,p90
"(2,2,2)",0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2,2,3)",0.3333333333333333,85.0,0.26281526789945714,0.05124831199645996,0.148309588432312,0.2741357088088989,0.38757240772247314,0.453328824043274
"(2,2,4)",0.6666666666666666,85.0,0.3311239516033846,0.10901151895523072,0.21049469709396362,0.34610140323638916,0.4367130994796753,0.5234897971153261
"(2,3,2)",0.3333333333333333,85.0,0.15550056064830106,-0.11193845272064208,0.07953625917434692,0.16551411151885986,0.2632179260253906,0.40268120765686044
"(2,3,3)",0.6666666666666666,85.0,0.449863582498887,0.23990482091903687,0.3465080261230469,0.47031790018081665,0.582207441329956,0.6742868542671203
"(2,3,4)",1.0,85.0,0.5475664938197417,0.32152276039123534,0.46149343252182007,0.5724207162857056,0.660677433013916,0.7482402443885805
"(2,4,2)",0.6666666666666666,85.0,0.23799236381755157,0.008648872375488302,0.14988619089126587,0.2565678358078003,0.39403843879699707,0.49855903387069705
"(2,4,3)",1.0,85.0,0.5303586286656997,0.29997676610946655,0.4472827911376953,0.5597805976867676,0.6517779231071472,0.7528384447097782
"(2,4,4)",1.3333333333333333,85.0,0.6396328435224645,0.4148511648178101,0.5489219427108765,0.6708453297615051,0.7638774514198303,0.8135507106781006
"(3,2,2)",0.3333333333333333,85.0,0.05905355004703297,-0.23349230289459227,-0.027043700218200684,0.0995485782623291,0.20985156297683716,0.27101353406906126
"(3,2,3)",0.6666666666666666,85.0,0.3215863452238195,0.09942507743835449,0.23268109560012817,0.3513481020927429,0.4940231442451477,0.5436537623405457
"(3,2,4)",1.0,85.0,0.40607505686142864,0.20436010360717774,0.32527875900268555,0.4379224181175232,0.5444333553314209,0.626239836215973
"(3,3,2)",0.6666666666666666,85.0,0.2539272897383746,-0.02712945938110351,0.13969361782073975,0.27850598096847534,0.41420978307724,0.46991539001464844
"(3,3,3)",1.0,85.0,0.5655445498578688,0.3731874108314514,0.4888860583305359,0.5938913226127625,0.677159309387207,0.7193092346191406
"(3,3,4)",1.3333333333333333,85.0,0.6725953375591951,0.4824684977531433,0.6246359348297119,0.7066038250923157,0.7703927755355835,0.8062875986099243
"(3,4,2)",1.0,85.0,0.3590192801812116,0.12693469524383547,0.2695576548576355,0.3647184371948242,0.5136061310768127,0.5632518768310548
"(3,4,3)",1.3333333333333333,85.0,0.6771128934972427,0.5338642120361328,0.6066481471061707,0.6948868036270142,0.7634614109992981,0.7977218151092529
"(3,4,4)",1.6666666666666667,85.0,0.7936600720181185,0.6864914417266845,0.7615760564804077,0.808002769947052,0.8635406494140625,0.8966092348098755
"(4,2,2)",0.6666666666666666,85.0,0.2895433678346522,0.06861631870269776,0.18002194166183472,0.31730884313583374,0.411787211894989,0.5034820318222046
"(4,2,3)",1.0,85.0,0.5541402094504413,0.36021913290023805,0.48818135261535645,0.5816543102264404,0.6664232015609741,0.745039200782776
"(4,2,4)",1.3333333333333333,85.0,0.6500015525256886,0.4537626266479492,0.5725873708724976,0.6722348928451538,0.7851225137710571,0.8432693958282471
"(4,3,2)",1.0,85.0,0.46984242902082557,0.2594988107681274,0.3846311569213867,0.509189784526825,0.5904936194419861,0.6580702900886536
"(4,3,3)",1.3333333333333333,85.0,0.7806188099524554,0.629718792438507,0.7344570755958557,0.8048977851867676,0.8513919711112976,0.8975160241127015
"(4,3,4)",1.6666666666666667,85.0,0.9005606321727528,0.8400248169898987,0.8786088824272156,0.9074245095252991,0.9437053799629211,0.964105200767517
"(4,4,2)",1.3333333333333333,85.0,0.5538227747468387,0.3183520197868347,0.4795956015586853,0.591900110244751,0.6752174496650696,0.7456998825073242
"(4,4,3)",1.6666666666666667,85.0,0.8659536466879003,0.7926342964172364,0.839614748954773,0.8756576180458069,0.9055942893028259,0.9422032833099365
"(4,4,4)",2.0,85.0,1.0,1.0,1.0,1.0,1.0,1.0
