method,aggregate,budget_bpw,count,mean,p10,p25,median,p75,p90,fraction_ge_80,fraction_ge_90,fraction_ge_95,fraction_ge_99,median_ci_low,median_ci_high
dense,all_four,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,all_four,0.3333333333333333,85,0.339761550987468,0.1850313663482666,0.2599814534187317,0.33621126413345337,0.42421644926071167,0.48411225080490117,0.0,0.0,0.0,0.0,0.2978781461715698,0.3625417649745941
dense,all_four,0.6666666666666666,85,0.5378274055088268,0.3820932745933533,0.4605602025985718,0.5388318300247192,0.6043114066123962,0.6890128135681153,0.011764705882352941,0.0,0.0,0.0,0.5138490498065948,0.582207441329956
dense,all_four,1.0,85,0.6919144062434925,0.5418350696563721,0.6286511421203613,0.6942533254623413,0.7639514207839966,0.8171668529510498,0.1411764705882353,0.011764705882352941,0.0,0.0,0.6883066892623901,0.7249912023544312
dense,all_four,1.3333333333333333,85,0.8177226515377269,0.7221716642379761,0.7871872186660767,0.8247426748275757,0.8600012063980103,0.9055122971534729,0.6705882352941176,0.12941176470588237,0.011764705882352941,0.0,0.8183462023735046,0.8286455273628235
dense,all_four,1.6666666666666667,85,0.9185696784187766,0.8749567985534668,0.8944295644760132,0.9173219799995422,0.9474235773086548,0.9651725888252258,0.9882352941176471,0.6941176470588235,0.24705882352941178,0.0,0.9100231528282166,0.9255824387073517
dense,all_four,2.0,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dense,difficult_4_20_39,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,difficult_4_20_39,0.3333333333333333,72,0.33747882230414283,0.17230046391487122,0.25374835729599,0.3270283043384552,0.4254632443189621,0.5095237135887145,0.0,0.0,0.0,0.0,0.29702895879745483,0.37137582898139954
dense,difficult_4_20_39,0.6666666666666666,72,0.5359985787007544,0.37921303510665894,0.4580899178981781,0.5381830930709839,0.607284739613533,0.6975942194461823,0.013888888888888888,0.0,0.0,0.0,0.5074024200439453,0.582207441329956
dense,difficult_4_20_39,1.0,72,0.688625380396843,0.5393207788467407,0.6187666952610016,0.6938924789428711,0.7689528912305832,0.8226661801338195,0.1527777777777778,0.013888888888888888,0.0,0.0,0.6590807437896729,0.7249912023544312
dense,difficult_4_20_39,1.3333333333333333,72,0.8174923161665598,0.7150589823722839,0.7862555682659149,0.8251594007015228,0.8607179820537567,0.9092649519443512,0.6666666666666666,0.1527777777777778,0.013888888888888888,0.0,0.8216176629066467,0.8286455273628235
dense,difficult_4_20_39,1.6666666666666667,72,0.9157605154646767,0.8719259023666381,0.8907919079065323,0.9119474589824677,0.9462512135505676,0.9653131365776062,0.9861111111111112,0.6666666666666666,0.2222222222222222,0.0,0.9074825048446655,0.919350653886795
dense,difficult_4_20_39,2.0,72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dense,layer0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,layer0,0.3333333333333333,13,0.3524043560028076,0.2651503324508667,0.3103874921798706,0.3483770489692688,0.41288095712661743,0.4338805675506592,0.0,0.0,0.0,0.0,0.3103874921798706,0.35914066433906555
dense,layer0,0.6666666666666666,13,0.547956292445843,0.46271250247955326,0.5128664374351501,0.5531194806098938,0.5991878509521484,0.6049200773239136,0.0,0.0,0.0,0.0,0.5351716876029968,0.5939170718193054
