layout_method,page_size,paired_planes,budget_bpw,recovery_count,recovery_mean,recovery_p10,recovery_p25,recovery_median,recovery_p75,recovery_p90,median_physical_bpw,median_logical_bpw,median_amplification
coselection_1rep,512,False,0.25,12,0.5849827589899556,0.39663213937918634,0.5034680253677226,0.588434829340042,0.6604361356647876,0.7792004567519284,0.25,0.25,1.0
coselection_1rep,512,False,0.5,12,0.761204459580393,0.6239215150981358,0.7119708036263035,0.7834696285993418,0.8289284717531368,0.8878491415144087,0.5,0.5,1.0
coselection_1rep,512,False,0.75,12,0.8554540794321035,0.7396677587569586,0.8173357630978821,0.8730928673149818,0.8945890631049928,0.9324774348214682,0.75,0.75,1.0
coselection_1rep,512,False,1.0,12,0.9119526312709317,0.840078932983098,0.8715630029063562,0.9225200419625053,0.9470837766099798,0.967414381297776,1.0,1.0,1.0
coselection_1rep,512,False,1.25,12,0.9486151032267793,0.9085670106018124,0.9313850440056777,0.9544493820217732,0.9731771378626206,0.9851661060396777,1.25,1.25,1.0
coselection_1rep,512,False,1.5,12,0.9776056252153125,0.965067357991272,0.969164241710222,0.9768499661079921,0.9904353308183366,0.994209408439052,1.5,1.5,1.0
coselection_1rep,512,False,2.0,12,0.9999999999991728,0.9999999999986781,0.9999999999990637,0.999999999999271,0.9999999999995429,0.9999999999996675,2.0,2.0,1.0
coselection_1rep,512,True,0.25,12,0.6089745069427049,0.4114642257629697,0.45085251826157124,0.6295974786705595,0.7274774284518557,0.8035089284502699,0.25,0.25,1.0
coselection_1rep,512,True,0.5,12,0.762895690055403,0.54560610758722,0.6776337948191085,0.8019171926509497,0.8631651415788515,0.9049822635123062,0.5,0.5,1.0
coselection_1rep,512,True,0.75,12,0.8706680239248065,0.7897788974582626,0.8272727120756289,0.8839861898801668,0.944675236039739,0.9500293339934578,0.75,0.75,1.0
coselection_1rep,512,True,1.0,12,0.9301656059634574,0.8681866203716121,0.9060820558537028,0.9409641808405149,0.9726177781966873,0.980038832723934,1.0,1.0,1.0
coselection_1rep,512,True,1.25,12,0.9644398097942268,0.9309392857433124,0.9491306981129987,0.9656191004877885,0.9851040325717029,0.9928593411657932,1.25,1.25,1.0
coselection_1rep,512,True,1.5,12,0.9867932133898246,0.9757070222664018,0.9818567704231006,0.9912102996310796,0.9954622164732772,0.9983294052087124,1.5,1.5,1.0
