layer,projection,embedded_level,count,mean,p10,p25,median,p75,p90
0,down,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,down,3,13.0,0.6471436298810519,0.5559856653213501,0.5752484202384949,0.6608020067214966,0.7068465948104858,0.7589865684509278
0,down,4,13.0,1.0,1.0,1.0,1.0,1.0,1.0
0,gate,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,gate,3,13.0,0.5082145562538734,0.431715714931488,0.483672559261322,0.5193392038345337,0.553241491317749,0.5856688141822814
0,gate,4,13.0,1.0,1.0,1.0,1.0,1.0,1.0
0,up,2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0,up,3,13.0,0.7399512621072623,0.7253724336624146,0.7300851345062256,0.7422954440116882,0.7542352080345154,0.7677353143692016
0,up,4,13.0,1.0,1.0,1.0,1.0,1.0,1.0
4,down,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,down,3,30.0,0.6892638862133026,0.5931642711162567,0.6495110094547272,0.7091742753982544,0.751526489853859,0.7862168610095978
4,down,4,30.0,1.0,1.0,1.0,1.0,1.0,1.0
4,gate,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gate,3,30.0,0.42988486886024474,0.36353620886802673,0.3966931700706482,0.43901965022087097,0.4649152308702469,0.48380840420722965
4,gate,4,30.0,1.0,1.0,1.0,1.0,1.0,1.0
4,up,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0
4,up,3,30.0,0.7297047436237335,0.6917474389076232,0.7214068919420242,0.7314542531967163,0.744379997253418,0.7579307198524475
4,up,4,30.0,1.0,1.0,1.0,1.0,1.0,1.0
20,down,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0
20,down,3,19.0,0.6546774130118521,0.5643044948577881,0.609615683555603,0.6454010605812073,0.7235946357250214,0.817225456237793
20,down,4,19.0,1.0,1.0,1.0,1.0,1.0,1.0
20,gate,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0
20,gate,3,19.0,0.3382931288919951,0.24670090675354003,0.26909175515174866,0.3647923469543457,0.3976363241672516,0.4340600371360779
20,gate,4,19.0,1.0,1.0,1.0,1.0,1.0,1.0
20,up,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0
20,up,3,19.0,0.7246191125167044,0.7076653003692627,0.7114760279655457,0.7183821797370911,0.7356480956077576,0.7488781929016113
20,up,4,19.0,1.0,1.0,1.0,1.0,1.0,1.0
39,down,2,23.0,0.0,0.0,0.0,0.0,0.0,0.0
39,down,3,23.0,0.7301271350487418,0.5708456158638,0.6859844028949738,0.7415076494216919,0.8124184906482697,0.8840860843658448
39,down,4,23.0,1.0,1.0,1.0,1.0,1.0,1.0
39,gate,2,23.0,0.0,0.0,0.0,0.0,0.0,0.0
39,gate,3,23.0,0.3156929456669351,-0.041458153724670405,0.1979440450668335,0.4058489203453064,0.4559873044490814,0.5276764988899231
39,gate,4,23.0,1.0,1.0,1.0,1.0,1.0,1.0
39,up,2,23.0,0.0,0.0,0.0,0.0,0.0,0.0
39,up,3,23.0,0.7563063787377399,0.7336519122123718,0.7392060458660126,0.7619221210479736,0.7708641588687897,0.7789595127105713
39,up,4,23.0,1.0,1.0,1.0,1.0,1.0,1.0
