layer,expert_id,projection,request_id,ranking,threshold,actions_required,logical_bpw_projection
0,160,gate,mxfp4-confirm-010,diagonal,0.8,262,0.1279296875
0,160,gate,mxfp4-confirm-010,diagonal,0.9,774,0.3779296875
0,160,gate,mxfp4-confirm-010,diagonal,0.95,1255,0.61279296875
0,160,gate,mxfp4-confirm-010,diagonal,0.99,2292,1.119140625
0,160,gate,mxfp4-confirm-010,exact_marginal_omp,0.8,94,0.0458984375
0,160,gate,mxfp4-confirm-010,exact_marginal_omp,0.9,242,0.1181640625
0,160,gate,mxfp4-confirm-010,exact_marginal_omp,0.95,439,0.21435546875
0,160,gate,mxfp4-confirm-010,exact_marginal_omp,0.99,1209,0.59033203125
0,160,gate,mxfp4-confirm-010,backward_elimination,0.8,106,0.0517578125
0,160,gate,mxfp4-confirm-010,backward_elimination,0.9,266,0.1298828125
0,160,gate,mxfp4-confirm-010,backward_elimination,0.95,441,0.21533203125
0,160,gate,mxfp4-confirm-010,backward_elimination,0.99,1008,0.4921875
0,160,up,mxfp4-confirm-010,diagonal,0.8,227,0.11083984375
0,160,up,mxfp4-confirm-010,diagonal,0.9,620,0.302734375
0,160,up,mxfp4-confirm-010,diagonal,0.95,1128,0.55078125
0,160,up,mxfp4-confirm-010,diagonal,0.99,2085,1.01806640625
0,160,up,mxfp4-confirm-010,exact_marginal_omp,0.8,94,0.0458984375
0,160,up,mxfp4-confirm-010,exact_marginal_omp,0.9,221,0.10791015625
0,160,up,mxfp4-confirm-010,exact_marginal_omp,0.95,368,0.1796875
0,160,up,mxfp4-confirm-010,exact_marginal_omp,0.99,740,0.361328125
0,160,up,mxfp4-confirm-010,backward_elimination,0.8,98,0.0478515625
0,160,up,mxfp4-confirm-010,backward_elimination,0.9,241,0.11767578125
0,160,up,mxfp4-confirm-010,backward_elimination,0.95,409,0.19970703125
0,160,up,mxfp4-confirm-010,backward_elimination,0.99,864,0.421875
0,160,down,mxfp4-confirm-010,diagonal,0.8,68,0.1328125
0,160,down,mxfp4-confirm-010,diagonal,0.9,134,0.26171875
0,160,down,mxfp4-confirm-010,diagonal,0.95,215,0.419921875
0,160,down,mxfp4-confirm-010,diagonal,0.99,379,0.740234375
0,160,down,mxfp4-confirm-010,exact_marginal_omp,0.8,63,0.123046875
0,160,down,mxfp4-confirm-010,exact_marginal_omp,0.9,126,0.24609375
0,160,down,mxfp4-confirm-010,exact_marginal_omp,0.95,202,0.39453125
0,160,down,mxfp4-confirm-010,exact_marginal_omp,0.99,369,0.720703125
0,160,down,mxfp4-confirm-010,backward_elimination,0.8,62,0.12109375
0,160,down,mxfp4-confirm-010,backward_elimination,0.9,125,0.244140625
0,160,down,mxfp4-confirm-010,backward_elimination,0.95,201,0.392578125
0,160,down,mxfp4-confirm-010,backward_elimination,0.99,368,0.71875
