aggregate,budget_bpw,count,mean,p10,median,p90
all_four,0.25,0,,,,
all_four,0.5,85,2.4319845332276073,1.5078012970806154,2.149180506364674,3.5508740881767866
all_four,0.75,85,1.6117934581104731,1.2432600235637843,1.5348133122251293,2.0696139030578506
all_four,1.0,85,1.3224684304054068,1.1291923574585858,1.288236056345278,1.5517286852181449
all_four,1.25,85,1.3900639535153716,1.166302162148447,1.35594528188119,1.6823317491157221
all_four,1.5,85,1.1991171109113008,1.0830846659776834,1.1765148351214225,1.3436141100935506
all_four,2.0,85,1.000000055498767,0.9999996357235661,0.9999999999996736,1.0000003852622026
all_four,2.5,85,1.000000055498767,0.9999996357235661,0.9999999999996736,1.0000003852622026
all_four,3.0,85,1.000000055498767,0.9999996357235661,0.9999999999996736,1.0000003852622026
difficult_4_20_39,0.25,0,,,,
difficult_4_20_39,0.5,72,2.442605377700459,1.5015072146890278,2.1259544588613766,3.56018134064627
difficult_4_20_39,0.75,72,1.606578352496367,1.22581128197003,1.525545371522519,2.088806256503125
difficult_4_20_39,1.0,72,1.3219145151036005,1.119288661326882,1.2784846724769587,1.5869917546575085
difficult_4_20_39,1.25,72,1.393225831324222,1.1630879309724713,1.3422600977603756,1.6904272309637791
difficult_4_20_39,1.5,72,1.1964759301731753,1.0797300422443414,1.1691227252850447,1.3596246608399118
difficult_4_20_39,2.0,72,1.0000000475204969,0.9999995996796758,0.9999999999997763,1.0000003801284205
difficult_4_20_39,2.5,72,1.0000000475204969,0.9999995996796758,0.9999999999997763,1.0000003801284205
difficult_4_20_39,3.0,72,1.0000000475204969,0.9999995996796758,0.9999999999997763,1.0000003801284205
