layer,budget_bpw,count,mean_recovery,p10_recovery,median_recovery,p90_recovery,fraction_ge_90,median_logical_bpw,median_physical_bpw,median_page_amplification
0,0.25,39,0.7755640715127223,0.5673654662154888,0.826918729944287,0.9189372924583816,0.23076923076923078,0.25,0.25,1.0
0,0.5,39,0.8818058457323118,0.7289187294660706,0.9234685530829926,0.9535223473167022,0.5384615384615384,0.5,0.5,1.0
0,0.75,39,0.9286833173005692,0.83016309038599,0.953662074302942,0.9790256770400282,0.7692307692307693,0.75,0.75,1.0
0,1.0,39,0.9597427203554417,0.9016039720016912,0.9783409413000939,0.9914437000185518,0.8974358974358975,1.0,1.0,1.0
0,1.25,39,0.9801174506477247,0.9544806769765037,0.990583978130701,0.996721001193381,1.0,1.25,1.25,1.0
0,1.5,39,0.9923767866907783,0.9809801172512224,0.9966735118392348,0.9989417034074304,1.0,1.5,1.5,1.0
0,2.0,39,0.9999999999993261,0.9999999999989752,0.9999999999994257,0.999999999999682,1.0,1.8333333333333333,1.8333333333333333,1.0
4,0.25,35,0.5612869763273078,0.3994384965810423,0.5411384542426587,0.7152478926026378,0.0,0.25,0.25,1.0
4,0.5,35,0.7364543180353397,0.6358303437447508,0.740161311501708,0.8304250350075564,0.0,0.5,0.5,1.0
4,0.75,35,0.8323522618444246,0.7185776137284282,0.8377292758085619,0.9106670923307009,0.17142857142857143,0.75,0.75,1.0
4,1.0,35,0.897215265144203,0.8276246672852308,0.9020228641710749,0.9508854172110164,0.5428571428571428,1.0,1.0,1.0
4,1.25,35,0.9418583295065379,0.9162519387487859,0.9475323422022697,0.9698297541298649,0.9142857142857143,1.25,1.25,1.0
4,1.5,35,0.9724717780447835,0.9504603789481975,0.9763275909600991,0.9880425413658857,1.0,1.5,1.5,1.0
4,2.0,35,0.9999999999993106,0.9999999999988483,0.9999999999994975,0.999999999999668,1.0,2.0,2.0,1.0
20,0.25,36,0.4637416185017631,0.33592670597912466,0.45355845981913906,0.5867324279206928,0.0,0.25,0.25,1.0
20,0.5,36,0.6527315338501953,0.509072723212942,0.680329316843004,0.7347108323868843,0.0,0.5,0.5,1.0
20,0.75,36,0.7685151253183118,0.6821866805104603,0.7900417158476658,0.8590799135786581,0.0,0.75,0.75,1.0
20,1.0,36,0.8543691665561994,0.7784390342905434,0.8708309300571355,0.9082240152070792,0.16666666666666666,1.0,1.0,1.0
20,1.25,36,0.9160173308766768,0.870089410138835,0.9261403646756803,0.9502923612805148,0.7222222222222222,1.25,1.25,1.0
20,1.5,36,0.9593782993577018,0.9406055174664647,0.9615801255257101,0.976232500016681,1.0,1.5,1.5,1.0
20,2.0,36,0.9999999999991839,0.9999999999986663,0.999999999999249,0.999999999999599,1.0,2.0,2.0,1.0
39,0.25,32,0.5443111641622251,0.3750706551747251,0.5507804802286992,0.6825832550535356,0.0,0.25,0.25,1.0
39,0.5,32,0.6891118388683909,0.5766267962105766,0.6878282522321792,0.7876801537786735,0.0,0.5,0.5,1.0
39,0.75,32,0.7982746846749449,0.6833420681248428,0.8081137635582721,0.8739590574372007,0.0625,0.75,0.75,1.0
39,1.0,32,0.8692031740436242,0.8013745788091726,0.8831108905017837,0.9293923423539515,0.40625,1.0,1.0,1.0
39,1.25,32,0.9255365662418022,0.8803748154697325,0.9270112306499867,0.9647968923490209,0.75,1.25,1.25,1.0
39,1.5,32,0.9638709947780237,0.9425945165362765,0.9655377214592052,0.9844202170156204,1.0,1.5,1.5,1.0
39,2.0,32,0.9999999999992822,0.9999999999987882,0.9999999999993547,0.9999999999996523,1.0,2.0,2.0,1.0
