layer,projection,embedded_level,count,mean,p10,p25,median,p75,p90
0,down,2,71.0,0.0,0.0,0.0,0.0,0.0,0.0
0,down,3,71.0,0.6705877403138389,0.5566333532333374,0.6159771084785461,0.6944429874420166,0.738333523273468,0.7779080867767334
0,down,4,71.0,1.0,1.0,1.0,1.0,1.0,1.0
0,gate,2,71.0,0.0,0.0,0.0,0.0,0.0,0.0
0,gate,3,71.0,0.5070643475357915,0.40649253129959106,0.4579998850822449,0.5032068490982056,0.5331113636493683,0.6027798652648926
0,gate,4,71.0,1.0,1.0,1.0,1.0,1.0,1.0
0,up,2,71.0,0.0,0.0,0.0,0.0,0.0,0.0
0,up,3,71.0,0.7481545898276316,0.7049431204795837,0.7300093472003937,0.7515991926193237,0.7699297368526459,0.7821944952011108
0,up,4,71.0,1.0,1.0,1.0,1.0,1.0,1.0
4,down,2,73.0,0.0,0.0,0.0,0.0,0.0,0.0
4,down,3,73.0,0.6517523478155267,0.44258018732070925,0.566455066204071,0.6994954347610474,0.7750520706176758,0.8247648000717163
4,down,4,73.0,1.0,1.0,1.0,1.0,1.0,1.0
4,gate,2,73.0,0.0,0.0,0.0,0.0,0.0,0.0
4,gate,3,73.0,0.452066034486849,0.36813582181930543,0.3866063952445984,0.45145952701568604,0.5133230686187744,0.5426507353782654
4,gate,4,73.0,1.0,1.0,1.0,1.0,1.0,1.0
4,up,2,73.0,0.0,0.0,0.0,0.0,0.0,0.0
4,up,3,73.0,0.7315051147382553,0.699711799621582,0.7191686630249023,0.7316609621047974,0.748612642288208,0.7596974492073059
4,up,4,73.0,1.0,1.0,1.0,1.0,1.0,1.0
20,down,2,74.0,0.0,0.0,0.0,0.0,0.0,0.0
20,down,3,74.0,0.6898387420821834,0.4854084670543671,0.6313657462596893,0.7042763829231262,0.7889814078807831,0.846896231174469
20,down,4,74.0,1.0,1.0,1.0,1.0,1.0,1.0
20,gate,2,74.0,0.0,0.0,0.0,0.0,0.0,0.0
20,gate,3,74.0,0.33048519653242986,0.2258247196674347,0.27395498752593994,0.3114619851112366,0.3973119556903839,0.45987649559974675
20,gate,4,74.0,1.0,1.0,1.0,1.0,1.0,1.0
20,up,2,74.0,0.0,0.0,0.0,0.0,0.0,0.0
20,up,3,74.0,0.7260091626966322,0.6966688096523285,0.71211938560009,0.7252379059791565,0.7407301813364029,0.756675761938095
20,up,4,74.0,1.0,1.0,1.0,1.0,1.0,1.0
39,down,2,67.0,0.0,0.0,0.0,0.0,0.0,0.0
39,down,3,67.0,0.6877577135811991,0.47942156791687013,0.6360733509063721,0.7131147980690002,0.7856166958808899,0.829368782043457
39,down,4,67.0,1.0,1.0,1.0,1.0,1.0,1.0
39,gate,2,67.0,0.0,0.0,0.0,0.0,0.0,0.0
39,gate,3,67.0,0.2938919752391417,0.08342677354812622,0.1353030502796173,0.2927265167236328,0.44273263216018677,0.551785659790039
39,gate,4,67.0,1.0,1.0,1.0,1.0,1.0,1.0
39,up,2,67.0,0.0,0.0,0.0,0.0,0.0,0.0
39,up,3,67.0,0.7255526389648665,0.6966051578521728,0.7181845903396606,0.7274646759033203,0.7396216094493866,0.7494252443313598
39,up,4,67.0,1.0,1.0,1.0,1.0,1.0,1.0
