method,aggregate,budget_bpw,count,mean,p10,p25,median,p75,p90,fraction_ge_80,fraction_ge_90,fraction_ge_95,fraction_ge_99,median_ci_low,median_ci_high
dense,all_four,0.0,285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,all_four,0.3333333333333333,285,0.357242250651644,0.21935274600982665,0.2808385491371155,0.34386807680130005,0.4342961311340332,0.5080320596694946,0.0,0.0,0.0,0.0,0.331638564914465,0.37455835938453674
dense,all_four,0.6666666666666666,285,0.5620652686085618,0.40825408697128296,0.47496819496154785,0.553188681602478,0.6434872150421143,0.7192662000656128,0.03859649122807018,0.0,0.0,0.0,0.5348090618848801,0.5740387797355652
dense,all_four,1.0,285,0.7038842452199836,0.5810245275497437,0.6367318630218506,0.707636833190918,0.765711784362793,0.8322149395942688,0.1649122807017544,0.021052631578947368,0.0035087719298245615,0.0,0.6972153186798096,0.7160223722457886
dense,all_four,1.3333333333333333,285,0.8190739575185274,0.7371155023574829,0.7730565071105957,0.8262296319007874,0.8657360672950745,0.894972848892212,0.6350877192982456,0.07719298245614035,0.014035087719298246,0.0,0.8191353753209114,0.8368510007858276
dense,all_four,1.6666666666666667,285,0.9229420151626855,0.871096384525299,0.899287223815918,0.9288186430931091,0.95267653465271,0.9688928484916687,0.9859649122807017,0.7403508771929824,0.256140350877193,0.017543859649122806,0.9232767909765244,0.934831815212965
dense,all_four,2.0,285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dense,difficult_4_20_39,0.0,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,difficult_4_20_39,0.3333333333333333,214,0.34038105022127385,0.20820075273513794,0.27142688632011414,0.33467260003089905,0.4089850187301636,0.48588980436325074,0.0,0.0,0.0,0.0,0.31640195846557617,0.35657113939523694
dense,difficult_4_20_39,0.6666666666666666,214,0.5456413699087695,0.4027624189853668,0.47144515812397003,0.5407294631004333,0.6201679408550262,0.6803442716598511,0.014018691588785047,0.0,0.0,0.0,0.5240381956100464,0.5585219860076904
