factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,1,32,804.5625,754.5,601.7,1036.0,0.9999974711346546,0.9999452495231501
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,2,32,827.0,774.0,577.7,1138.8000000000002,0.9999941491905694,0.9999235529785548
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,3,32,788.125,794.0,618.9,941.3000000000001,0.9999807214931873,0.9998480205033053
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,4,32,746.28125,757.0,595.8,896.1,0.9999585017621891,0.9998948765268681
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,5,32,715.875,708.0,573.3,898.9,0.9999174024458157,0.9995745162524191
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,6,32,725.6875,729.0,537.4,935.8000000000001,0.9998928635839515,0.9995923156962789
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,7,32,683.40625,680.0,479.0,892.7000000000002,0.9997997325609611,0.9991807227541097
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,8,32,668.21875,635.0,484.4,916.8000000000001,0.9997266001844594,0.9986252833848053
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,1,32,1057.40625,1049.0,951.3,1161.9,0.9995834891610557,0.9989518879378106
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,2,32,911.125,912.5,806.4,1102.3,0.9988981817689084,0.9972295070027025
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,3,32,827.40625,797.0,729.0,977.4000000000001,0.9978672404856264,0.9951870900911483
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,4,32,755.6875,736.5,638.0,865.2,0.9957126886294054,0.9875267672633424
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,5,32,708.03125,710.0,576.1,848.3000000000001,0.9920736622327904,0.9858322647338184
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,6,32,600.4375,576.0,469.7,719.8000000000001,0.9895032912728579,0.9727568562248616
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,7,32,539.5,552.5,400.0,674.6,0.9755135626386188,0.9645582870972926
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,1,8,32,557.5625,576.0,448.3,678.1,0.9832170440475212,0.9658586008343397
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,2,1,32,1130.0625,1123.5,948.1,1347.9,0.9997532445925643,0.9991994483326185
