comparison,challenger_policy,baseline_policy,factor_config_id,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,recovery_gain_p10,recovery_gain_median,recovery_gain_p90,recovery_gain_mean,selected_page_vector_change_fraction,group_page_delta_median
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_fp16,745,1536,1280,4.02454751498027e-06,5.979074881490298e-05,0.00019509793500093196,8.335020324048626e-05,0.69609375,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_fp32,729,1536,1280,4.437344094365692e-06,6.927101923454027e-05,0.0002052722039381673,9.064818366757051e-05,0.6953125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int4_per_row_hadamard,753,1536,1280,6.761129019206007e-07,5.0120020691823974e-05,0.00017915185695280853,7.203179373983298e-05,0.6453125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int8_per_row,749,1536,1280,2.891484727907124e-06,5.693960429320466e-05,0.0001883096453042077,7.946233527879529e-05,0.68515625,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int8_plus_euclidean_tail4_int4,741,1536,1280,5.4547071986155165e-06,6.199934207806734e-05,0.00019756806215653935,8.48105159087913e-05,0.70625,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,768,1280,2.5413345236668957e-05,0.00042881209551048904,0.0012981313821748943,0.0005651378348593498,0.77109375,1.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,1152,1280,2.3861763596721987e-05,0.0003921318347896996,0.001280949839536572,0.0005434314932465241,0.78203125,1.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,1536,1280,2.358442955816554e-05,0.0003921318347896996,0.001280949839536572,0.0005438133411028317,0.78359375,1.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,576,768,1280,2.1666398189934546e-05,0.0002090514764927498,0.0005665389786990388,0.00026313662651771403,0.653125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,576,1152,1280,8.11012429389191e-06,0.00014984673007018,0.0004886629753348752,0.00021034318138709378,0.71484375,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,576,1536,1280,7.424778659370637e-06,0.00015001645004825148,0.0004918443124860562,0.00021112084082222676,0.71953125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,749,768,1280,2.4558005456032372e-05,0.0001409761985817215,0.0003937733789795896,0.00018038540197787243,0.56640625,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,749,1152,1280,3.3196031483107018e-06,5.873966263730823e-05,0.0001888590486483378,7.912858604285357e-05,0.7171875,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,749,1536,1280,3.1101223692209246e-06,5.882311400179363e-05,0.00018987030666300933,7.878176820164638e-05,0.73125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,768,768,1280,2.455045560851854e-05,0.00014383156950781295,0.0003779114886464541,0.000178541128986624,0.34296875,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,768,1152,1280,2.2667944739707127e-06,5.3494778609552984e-05,0.000173532972325341,7.35722722411094e-05,0.7078125,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,768,1536,1280,2.3569560930414296e-06,5.2507031764348344e-05,0.00017147001313648776,7.274227664082937e-05,0.721875,0.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,exact_proxy_rank4_fp16,745,1536,1280,8.222194594165179e-06,6.834267905964087e-05,0.00019737975876044092,9.090786582137082e-05,0.9453125,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,exact_proxy_rank4_fp32,729,1536,1280,1.1398986823285552e-05,7.436516275044491e-05,0.0002074502762606567,9.7328270726084e-05,0.9359375,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,exact_proxy_rank4_int4_per_row_hadamard,753,1536,1280,5.164543724189842e-06,5.910497047656449e-05,0.00018855775464580177,8.149419231706566e-05,0.93515625,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,exact_proxy_rank4_int8_per_row,749,1536,1280,8.451136606191234e-06,6.391496689439613e-05,0.0001928657325553585,8.804265371624735e-05,0.93125,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,exact_proxy_rank4_int8_plus_euclidean_tail4_int4,741,1536,1280,1.2688598106025406e-05,7.016729890513274e-05,0.00020587020949629502,9.347944447244162e-05,0.93671875,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,matrix_free_joint_rank8_int4_per_row_hadamard,384,1536,1280,9.320202655640485e-05,0.000522121064480241,0.0014179453320664172,0.0006730238143717946,0.9453125,2.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,matrix_free_joint_rank8_int4_per_row_hadamard,576,1536,1280,2.3179110836080154e-05,0.0001801462204656934,0.0005018427164862674,0.00023793895678794535,0.9453125,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,matrix_free_joint_rank8_int4_per_row_hadamard,749,1536,1280,9.759315446611351e-06,6.7764223495137e-05,0.00019046312913111334,8.822874999546478e-05,0.9546875,1.0
exact_local_on_refined_frontier,pooled_exact_combined_moe_column_generated_local,pooled_exact_combined_moe_oracle,matrix_free_joint_rank8_int4_per_row_hadamard,768,1536,1280,7.660826531952214e-06,6.015318752894405e-05,0.00017336386550118602,7.97336810060282e-05,0.95703125,1.0
bounded_exchange_after_refinement,pooled_exact_combined_moe_global_bound,pooled_exact_combined_moe_column_generated_local,matrix_free_joint_rank8_int4_per_row_hadamard,749,1536,1280,0.0,0.0,0.0,6.902860470725525e-11,0.0015625,0.0
