factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,77920.90119700879,86538.59065594152,39694080,50315264,2838.0,395.0
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,60558.429698459804,67094.64823883027,33747200,50315264,2451.0,304.0
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,77715.87135177106,86283.50155679509,39694080,50315264,2838.0,395.0
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,60379.298753105104,66963.85257421061,33747200,50315264,2451.0,304.0
exact_proxy_rank4_fp16,uniform_per_expert,745,745,60359.433884732425,66943.77905065194,33747200,50315264,2451.0,304.0
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,78446.1175063625,86708.20651063696,39845888,50315264,2840.5,396.0
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,60597.635933198035,67170.24817233905,33625088,50315264,2452.0,304.0
exact_proxy_rank4_fp32,pooled_router_square_column_generated,729,1536,78191.47746358067,86465.42616439983,39845888,50315264,2840.5,396.0
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,60429.22358121723,67053.5050444305,33625088,50315264,2452.0,304.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,60411.97144705802,67033.36225068197,33625088,50315264,2452.0,304.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,753,1536,77839.97007180005,86380.74684562162,39918848,50315264,2841.0,393.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,753,1536,60471.30485717207,67192.17298962176,34462208,50315264,2454.0,304.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_router_square_column_generated,753,1536,77479.53574638814,86152.01764618978,39918848,50315264,2841.0,393.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_router_square_compressed,753,1536,60342.43632480502,67025.29897177592,34462208,50315264,2454.0,304.0
exact_proxy_rank4_int4_per_row_hadamard,uniform_per_expert,753,753,60322.32223358005,67005.45367980376,34462208,50315264,2454.0,304.0
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_column_generated_local,749,1536,78078.35935615003,86620.54917262867,41192704,50315264,2838.5,394.0
exact_proxy_rank4_int8_per_row,pooled_exact_combined_moe_oracle,749,1536,60398.12592044473,67066.7021613568,34694144,50315264,2451.0,304.0
exact_proxy_rank4_int8_per_row,pooled_router_square_column_generated,749,1536,77821.90953148529,86381.99134441093,41192704,50315264,2838.5,394.0
exact_proxy_rank4_int8_per_row,pooled_router_square_compressed,749,1536,60276.088644750416,66956.395007018,34694144,50315264,2451.0,304.0
exact_proxy_rank4_int8_per_row,uniform_per_expert,749,749,60257.63690285385,66935.31049722806,34694144,50315264,2451.0,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_column_generated_local,741,1536,78842.01018698514,86864.3803738989,60638208,50315264,2844.0,396.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_exact_combined_moe_oracle,741,1536,61112.46650572866,67383.08320743963,52473344,50315264,2458.0,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_router_square_column_generated,741,1536,78516.51035994291,86627.78729591519,60638208,50315264,2844.0,396.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,pooled_router_square_compressed,741,1536,61005.25858998299,67258.37864968926,52473344,50315264,2458.0,304.0
exact_proxy_rank4_int8_plus_euclidean_tail4_int4,uniform_per_expert,741,741,60985.07678043097,67239.31434024125,52473344,50315264,2458.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,61320.3992433846,67509.10766301677,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,384,1536,79087.16968819499,86851.2139774859,62635008,50315264,2853.0,397.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,384,1536,61365.94616807997,67546.88481353223,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,768,78549.00530911982,85834.42918593064,62454784,50315264,2842.0,398.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,1152,78450.3223048523,86242.86450408399,62635008,50315264,2853.0,397.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,384,1536,78950.07198676467,86669.40096551552,62635008,50315264,2853.0,397.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,768,61315.51982648671,67503.53401172906,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1152,61316.17955677211,67505.37329148501,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1536,61318.66997759789,67508.04501026869,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,384,384,61306.951409205794,67495.05476392806,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,61322.67261855304,67512.27322928607,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,576,1536,80116.4716174826,87511.23774824664,61645824,50315264,2854.0,400.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,576,1536,61411.54365520924,67612.27379404008,51343360,50315264,2463.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,768,78677.69927438349,86456.66413400322,62144000,50315264,2818.0,403.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_column_generated,576,1152,79185.03408320248,86741.09238702804,61645824,50315264,2852.0,400.0
