factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,1,32,801.34375,748.5,579.8,1090.1000000000001,0.9999956634734171,0.9999501892233893
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,2,32,817.375,769.0,565.1,1108.8000000000002,0.9999927858440338,0.9998424842971791
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,3,32,773.125,769.0,614.1,922.6,0.9999716877500016,0.9997664035202374
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,4,32,730.09375,736.0,577.8,861.9,0.999941172526815,0.9997896402376024
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,5,32,701.5,678.0,576.0,881.8000000000001,0.9998969111489354,0.9995048585954414
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,6,32,704.96875,688.0,516.9,935.8000000000001,0.9998219076963281,0.9993944646079251
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,7,32,656.84375,653.0,478.2,816.3000000000001,0.9996802165162971,0.9987181767653391
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,8,32,644.28125,591.0,451.4,904.2,0.9996912703316434,0.9983174506124642
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,1,32,1079.3125,1104.0,942.0,1159.8,0.9996106543317872,0.9987705165949086
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,2,32,978.40625,976.5,864.5,1093.8,0.9988609299502916,0.9973189463545101
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,3,32,848.0,874.0,729.0,936.5,0.9974674729701754,0.9921590691889912
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,4,32,769.25,768.0,677.9,850.6,0.9950781360201251,0.9905927100147095
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,5,32,688.46875,714.0,576.0,768.0,0.9918161283132114,0.9747695839495811
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,6,32,594.6875,576.0,475.1,729.0,0.9860533075470139,0.9704024375392913
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,7,32,471.71875,460.0,384.0,577.8,0.9698670276864119,0.9356004656277831
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,8,32,395.78125,384.0,275.7,538.6,0.950614744641578,0.914408504997605
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,1,32,997.59375,1017.0,842.3,1149.4,0.9990653348237508,0.9965285443538299
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,2,32,824.59375,862.0,623.1,945.8000000000001,0.9971535257729851,0.992451443484227
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,3,32,804.9375,779.0,713.7,926.5,0.9968750113718831,0.987144205561649
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,4,32,732.3125,739.0,644.7,825.5,0.9924696406945248,0.9850790372797169
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,5,32,681.65625,729.0,560.3,768.0,0.9904323458884592,0.9778830312768075
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,6,32,636.4375,648.0,506.5,749.0,0.9870857349585123,0.9723516853099334
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,7,32,591.90625,576.0,519.1,695.7,0.9830964130383074,0.9673132308516398
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,8,32,558.90625,576.0,385.9,669.6,0.9786542441422149,0.9476215954947874
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,39,1,32,905.0,868.0,750.9,1079.7,0.9993054419835306,0.9942349002678853
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,39,2,32,847.53125,802.5,749.0,1008.5,0.9983741039604735,0.9954009851010838
