factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,groups,overall_average_bpw,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,32,0.9987284342447916,0.9998835020821503,0.9999901994465428,0.999997467062786,0.9999522547885213,1.908196613183977e-05,0.0001220834304758167,0.0007938013731283672,0.0002918098057329635
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,32,0.9987284342447916,0.9959634414805242,0.9980464588514142,0.9992783400603481,0.9978224742553057,0.0010159606161882495,0.0028115846658617327,0.005333926219609443,0.0029947204702390103
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,32,0.9987284342447916,0.9934726625885578,0.9963635484789655,0.9992138779980138,0.9963711307041176,0.0008943615783421288,0.0021824447256865165,0.004516842769502549,0.0023509252167748657
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,39,32,0.9987284342447916,0.9959375136505707,0.998520291403442,0.9995985335426097,0.9978755086163374,0.00016632795360712604,0.0006607348107411926,0.00215251075413826,0.0009514293654284342
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,0,32,0.9987284342447916,0.9998832340902476,0.999990118074441,0.9999974318085211,0.9999519639245659,1.8499079252398688e-05,0.0001220834304758167,0.0007913894460046428,0.000291518941777473
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,4,32,0.9987284342447916,0.9958721028442342,0.9979795198068653,0.9992701439774513,0.9978008909482871,0.0009983283204485717,0.00279942329803079,0.0053249015573913604,0.0029731371632203095
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,20,32,0.9987284342447916,0.9929681012474035,0.9962342348279789,0.999212668751981,0.9962967493055281,0.0008943615783421288,0.0020597198330435385,0.004487356274351595,0.0022765438181853517
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,39,32,0.9987284342447916,0.9958806296358463,0.9984960178926368,0.9995953970186089,0.9978467304049778,0.0001610525422881648,0.0006100323172921751,0.002137759396386375,0.0009226511540688966
exact_proxy_rank4_fp32,uniform_per_expert,729,729,0,32,0.9987284342447916,0.9991033419607275,0.999868251683895,0.9999738510724822,0.9996604449827884,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,4,32,0.9987284342447916,0.9912287099828683,0.9947831384138723,0.9975659624567255,0.9948277537850668,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,20,32,0.9987284342447916,0.9902872443728087,0.994403844276673,0.9980710649829794,0.9940202054873428,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,39,32,0.9987284342447916,0.9935852152508661,0.9975304280996549,0.9995268779893057,0.996924079250909,0.0,0.0,0.0,0.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,0,32,0.5234781901041666,0.9928341703605089,0.9969154798870348,0.9989327271722621,0.9960982199480466,-0.0005932834688976318,0.0007521345741957619,0.005341822119061939,0.0016186134575806761
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,4,32,0.5234781901041666,0.9425950073642855,0.9720451450326679,0.9839571059031946,0.9691155615000502,-0.0007629742611791612,0.0019344241648169835,0.007186147936442344,0.0028002122664540392
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,20,32,0.5234781901041666,0.9290304085884317,0.9618974060653191,0.983036787272,0.9587767936622791,-0.003949731181884897,0.003570092445788875,0.009522526445220758,-0.0023070937073263707
