factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,67932.65270907432,69337.31333333999,33625088,50315264,2436.5,304.0
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,67735.92656478286,69171.60083111376,33625088,50315264,2436.5,304.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,67715.52482247353,69152.45025176555,33625088,50315264,2436.5,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,384,1536,68112.55091708153,69287.63396330178,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,384,1536,68185.84964238107,69349.31340496987,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,768,68108.58069173992,69284.54783093184,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1152,68110.24952773005,69284.88637525588,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,384,1536,68112.36236710101,69287.31860090047,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,384,384,68099.65455252677,69274.84198193997,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,576,1536,68116.33095238358,69295.04348821938,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,576,1536,68221.22587170452,69445.23091241717,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,768,68110.53344979882,69284.66972522438,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1152,68114.57148846239,69287.49084491283,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,576,1536,68115.88535737246,69290.93740601093,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,576,576,68099.63012300432,69274.7537272051,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,749,1536,68119.39425952733,69294.53364294022,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,749,1536,68266.15084800869,69432.78648462147,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,768,68110.27829628438,69286.2402593717,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1152,68115.62834214419,69290.31414780766,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,749,1536,68119.70546189696,69294.55898534507,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,749,749,68099.64500926435,69274.80284962803,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_equal_weight_compressed,768,1536,68120.187449269,69298.01878221333,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,768,1536,68271.41388412565,69414.49614427984,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,768,68110.21542083472,69285.4508811608,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1152,68114.49604574591,69289.50447551906,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,pooled_router_square_compressed,768,1536,68119.99503709376,69294.20119710267,51343360,50315264,2447.0,304.0
matrix_free_joint_rank8_int4_per_row_hadamard,uniform_per_expert,768,768,68099.64933805168,69274.7749203816,51343360,50315264,2447.0,304.0
