factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,router_rank,expert_invocations,selected_pages_mean,selected_pages_median,selected_pages_p10,selected_pages_p90,expert_recovery_median,expert_recovery_p10
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,1,32,804.5625,754.5,601.7,1036.0,0.9999974711346546,0.9999452495231501
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,2,32,827.0,774.0,577.7,1138.8000000000002,0.9999941491905694,0.9999235529785548
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,3,32,788.125,794.0,618.9,941.3000000000001,0.9999807214931873,0.9998480205033053
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,4,32,746.28125,757.0,595.8,896.1,0.9999585017621891,0.9998948765268681
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,5,32,715.875,708.0,573.3,898.9,0.9999174024458157,0.9995745162524191
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,6,32,725.6875,729.0,537.4,935.8000000000001,0.9998928635839515,0.9995923156962789
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,7,32,683.40625,680.0,479.0,892.7000000000002,0.9997997325609611,0.9991807227541097
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,8,32,668.21875,635.0,484.4,916.8000000000001,0.9997266001844594,0.9986252833848053
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,1,32,1084.9375,1081.5,960.3,1182.5,0.9996877456827398,0.9987653575098624
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,2,32,991.875,986.5,894.0,1081.7,0.9990292985339452,0.9978117403019432
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,3,32,869.09375,889.0,765.3,974.7,0.9975548722272652,0.9938529557287596
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,4,32,774.28125,768.0,692.8,893.5000000000001,0.9950857993596891,0.990593795387771
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,5,32,701.875,719.5,599.1,802.5,0.9902939710380702,0.9831542342106672
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,6,32,597.1875,587.0,478.2,683.0,0.9878201422501216,0.9736049592546802
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,7,32,515.25,505.0,385.6,591.9,0.9716874006718815,0.944451761029955
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,8,32,422.125,384.0,286.4,576.0,0.9613658111117847,0.9138465908143653
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,20,1,32,995.5,1032.0,841.5,1152.0,0.9990450227130925,0.995507481445552
