comparison,challenger_policy,baseline_policy,factor_config_id,mean_budget_pages_per_expert,burst_cap_pages_per_expert,groups,recovery_gain_p10,recovery_gain_median,recovery_gain_p90,recovery_gain_mean,selected_page_vector_change_fraction,group_page_delta_median
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_fp16,745,1536,128,2.426178275727331e-07,3.0384726353305247e-05,0.00018183184248115046,7.037279362577704e-05,0.734375,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_fp32,729,1536,128,3.019131797232788e-07,3.737179094204235e-05,0.00018713375409968867,7.001021763329736e-05,0.8125,1.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int4_per_row_hadamard,753,1536,128,1.2308207442135512e-08,2.6597569715236524e-05,0.00012435346425258007,4.962826613101254e-05,0.640625,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int8_per_row,749,1536,128,1.2683279363434607e-07,2.6944961001695855e-05,0.00020453534503894755,6.775760957250607e-05,0.7421875,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,exact_proxy_rank4_int8_plus_euclidean_tail4_int4,741,1536,128,3.7935658391274886e-07,3.644875276131998e-05,0.0001498209448288934,5.7049596292843216e-05,0.7109375,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,768,128,1.1833631488589181e-05,0.0002887436765624529,0.0011763368708198828,0.00047164354626010995,0.8046875,1.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,1152,128,9.762928227152748e-06,0.00022716529647009986,0.0011763368708198828,0.00043800658223893535,0.828125,2.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,384,1536,128,9.762928227152748e-06,0.0002294991468784202,0.0011763368708198828,0.0004398688997863968,0.8359375,2.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,576,768,128,2.6435556962911555e-06,0.00012439971114908133,0.00045891931695932745,0.0001848316197236629,0.71875,0.0
selected_column_repair,pooled_router_square_column_generated,pooled_router_square_compressed,matrix_free_joint_rank8_int4_per_row_hadamard,576,1152,128,2.6435556962911555e-06,0.00010055252675167381,0.00047316918465413195,0.0001710862687087063,0.7890625,0.0
