factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,layer,groups,overall_average_bpw,qenergy_recovery_p10,qenergy_recovery_median,qenergy_recovery_p90,qenergy_recovery_mean,paired_gain_vs_uniform_p10,paired_gain_vs_uniform_median,paired_gain_vs_uniform_p90,paired_gain_vs_uniform_mean
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,0,32,0.9987386067708334,0.9999122653245682,0.9999940059775516,0.9999988079903818,0.9999649400539969,2.0970526039609805e-05,0.0001249645923242504,0.0008173957556770646,0.00030086660839566057
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,4,32,0.9987386067708334,0.9963841790829998,0.9983308044835484,0.9993639326950363,0.9980967354313546,0.0012371120929968392,0.0030879149949580853,0.005501845798774352,0.0032013560530554895
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,20,32,0.9987386067708334,0.9942105168189772,0.9967668029065985,0.9993189263253098,0.996816992097289,0.001196034456034667,0.0025639069222587185,0.004767833174065273,0.0027668385369952475
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,39,32,0.9987386067708334,0.996496374409963,0.9987052807182211,0.9996483170769623,0.9981583054293326,0.00017996424177733062,0.0007959538080157258,0.0023744270164771986,0.0011660444894715065
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,0,32,0.9987386067708334,0.9999070720016237,0.9999934829711559,0.9999979536452654,0.9999633302633821,2.0807085890728326e-05,0.00012436006461652438,0.0008115860487216027,0.00029925681778079916
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,4,32,0.9987386067708334,0.9962480947418372,0.9982371638090517,0.9993453126994767,0.9980198521281165,0.0011789320618179166,0.0029884701096258293,0.005386316265922098,0.0031244727498173502
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,20,32,0.9987386067708334,0.9940579141730216,0.9966519662605944,0.9992830420527825,0.9966854336114621,0.0011089685085520662,0.0023611319271135134,0.004693747456945785,0.0026352800511682123
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,39,32,0.9987386067708334,0.9963922065763624,0.9986437427931154,0.9996403037667356,0.9980858756624238,0.0001767708833498749,0.0007493124037594168,0.0023453386811962632,0.0010936147225628218
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,0,32,0.9987386067708334,0.9999101796356623,0.9999939187848764,0.999998801278894,0.9999644707555536,2.0886246607476623e-05,0.00012479236119156134,0.0008150314401902733,0.0003003973099522904
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,4,32,0.9987386067708334,0.9963603010856021,0.9982697739862334,0.9993585997691888,0.9980707407527645,0.00118429280076523,0.00308428228451868,0.005492626665169831,0.0031753613744653075
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,20,32,0.9987386067708334,0.9941429259814797,0.9966831686176639,0.9993083052830595,0.9967575563056073,0.0011765385423909258,0.002482375276592119,0.004753885836093031,0.0027074027453135446
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,39,32,0.9987386067708334,0.9964862387668416,0.9986637754316277,0.9996367846134205,0.9981191441826732,0.00017631450730645206,0.0007708084932530057,0.00235124459242142,0.0011268832428121822
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,0,32,0.9987386067708334,0.9999068277152146,0.9999934369955059,0.9999979040297268,0.9999627207319101,2.0807085890728326e-05,0.00012431913707683373,0.0008093423310559962,0.00029864728630872237
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,4,32,0.9987386067708334,0.9962004036644683,0.9981631810265923,0.9993408741074808,0.9979952447090191,0.0011569834072520991,0.0029884701096258293,0.005378278582388285,0.00309986533071999
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,20,32,0.9987386067708334,0.9938996449710169,0.9966254020238878,0.9992804824735292,0.9966234443051949,0.0010452907519392317,0.002316054968718728,0.004673142564207655,0.0025732907449011605
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,39,32,0.9987386067708334,0.996250727841973,0.9986426854549562,0.9996297327521282,0.9980490110759713,0.0001741097580289508,0.00071733895607351,0.002301293763085344,0.0010567501361103439
exact_proxy_rank4_fp16,uniform_per_expert,745,745,0,32,0.9987386067708334,0.9991063529720884,0.9998698090487455,0.9999750488757245,0.9996640734456013,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp16,uniform_per_expert,745,745,4,32,0.9987386067708334,0.9915589776578073,0.9947868230089341,0.9975535365140482,0.9948953793782991,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp16,uniform_per_expert,745,745,20,32,0.9987386067708334,0.9902474508503094,0.9944074490476338,0.9980522643260614,0.9940501535602938,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp16,uniform_per_expert,745,745,39,32,0.9987386067708334,0.993602739997914,0.9976418139222445,0.9995388215044213,0.996992260939861,0.0,0.0,0.0,0.0
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,0,32,0.9987284342447916,0.9998902017350128,0.999990676553535,0.999998076111845,0.9999553547021189,1.9281517402192082e-05,0.00012244730869781506,0.0008001811623692185,0.000294909719330487
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,4,32,0.9987284342447916,0.9960323900430748,0.9981234429197183,0.9993108981713577,0.9979020657903287,0.0011049685057837432,0.0029636199105966265,0.005441726900572741,0.0030743120052619498
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,20,32,0.9987284342447916,0.99343327466755,0.9964889907214101,0.9992674733461439,0.9964905400450026,0.0009378225293224296,0.002231864182060561,0.004569543300143497,0.0024703345576598326
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,39,32,0.9987284342447916,0.9961288363618007,0.9985505697642016,0.9996148829912629,0.9979725668397875,0.0001732633809655826,0.0007775906499870588,0.0022268617930102045,0.0010484875888785126
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,0,32,0.9987284342447916,0.9998835020821503,0.9999901994465428,0.999997467062786,0.9999522547885213,1.908196613183977e-05,0.0001220834304758167,0.0007938013731283672,0.0002918098057329635
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,4,32,0.9987284342447916,0.9959634414805242,0.9980464588514142,0.9992783400603481,0.9978224742553057,0.0010159606161882495,0.0028115846658617327,0.005333926219609443,0.0029947204702390103
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,20,32,0.9987284342447916,0.9934726625885578,0.9963635484789655,0.9992138779980138,0.9963711307041176,0.0008943615783421288,0.0021824447256865165,0.004516842769502549,0.0023509252167748657
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,39,32,0.9987284342447916,0.9959375136505707,0.998520291403442,0.9995985335426097,0.9978755086163374,0.00016632795360712604,0.0006607348107411926,0.00215251075413826,0.0009514293654284342
