factor_config_id,allocation_policy,mean_budget_pages_per_expert,burst_cap_pages_per_expert,selector_runtime_ms_median,selector_runtime_ms_p90,selector_compute_macs,selector_dp_state_evaluations,selector_coordinate_sweeps_median,selector_local_passes_median
exact_proxy_rank4_fp16,pooled_exact_combined_moe_column_generated_local,745,1536,84187.09236755967,86695.47229036689,39694080,50315264,2823.5,392.0
exact_proxy_rank4_fp16,pooled_exact_combined_moe_oracle,745,1536,65752.40965746343,67537.0469018817,33747200,50315264,2438.0,304.0
exact_proxy_rank4_fp16,pooled_router_square_column_generated,745,1536,83871.90453428775,86382.27699138224,39694080,50315264,2823.5,392.0
exact_proxy_rank4_fp16,pooled_router_square_compressed,745,1536,65579.96327802539,67381.89683239907,33747200,50315264,2438.0,304.0
exact_proxy_rank4_fp16,uniform_per_expert,745,745,65560.17345190048,67362.46463991702,33747200,50315264,2438.0,304.0
exact_proxy_rank4_fp32,pooled_exact_combined_moe_column_generated_local,729,1536,83751.30089186132,86283.51499494165,39845888,50315264,2825.0,392.0
exact_proxy_rank4_fp32,pooled_exact_combined_moe_oracle,729,1536,65713.02009746432,66781.06380086392,33625088,50315264,2436.5,304.0
exact_proxy_rank4_fp32,pooled_router_square_column_generated,729,1536,83512.24397867918,86009.12585891783,39845888,50315264,2825.0,392.0
exact_proxy_rank4_fp32,pooled_router_square_compressed,729,1536,65589.83074687421,66684.95654202998,33625088,50315264,2436.5,304.0
exact_proxy_rank4_fp32,uniform_per_expert,729,729,65569.98079456389,66665.84344804287,33625088,50315264,2436.5,304.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_exact_combined_moe_column_generated_local,753,1536,83739.03037142009,86556.26392178237,39918848,50315264,2823.0,390.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_exact_combined_moe_oracle,753,1536,65678.5580990836,67372.71650526673,34462208,50315264,2437.0,304.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_router_square_column_generated,753,1536,83537.49791253358,86318.4587592259,39918848,50315264,2823.0,390.0
exact_proxy_rank4_int4_per_row_hadamard,pooled_router_square_compressed,753,1536,65558.31001140177,67161.6459120065,34462208,50315264,2437.0,304.0
