candidate,design,split,level,count,p10_common_recovery,median_common_recovery,p90_common_recovery,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,mean_damage,median_damage,p90_damage
A_vector_functional,A,test,2,152,-0.13993927687919577,0.11306417483476605,0.5138087701698318,0.47065673768520355,0.5281901359558105,0.6542471587657929,0.05194707363843918,7.8460209841325295,0.2740338295698166,19.703001594543462
A_vector_functional,A,test,3,152,0.5511578986934729,0.7698470102645136,0.8710625193165084,0.24039578437805176,0.2810119241476059,0.330525603890419,0.012753238901495934,1.8481561838477654,0.07755788788199425,5.446529006958011
A_vector_functional,A,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_vector_functional,A,train,2,258,-0.18376660057042557,0.10229199938073491,0.5341841107860664,0.46775112450122835,0.5224782228469849,0.6375832378864289,0.06312216296792031,7.6006400441938595,0.27516569197177887,19.597439575195324
A_vector_functional,A,train,3,258,0.5570700411128828,0.7696610417300115,0.8743051071532436,0.2353446215391159,0.27563799917697906,0.3343122273683548,0.017527431622147562,1.622427343082246,0.08074850961565971,4.665900135040284
A_vector_functional,A,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_vector_functional,A,validation,2,135,-0.18058687668972517,0.13630653559462746,0.42070943395713556,0.46929131746292113,0.5250090956687927,0.6363051652908326,0.06362309455871583,9.586509917869613,0.26203280687332153,24.36024246215824
A_vector_functional,A,validation,3,135,0.5949322490260298,0.783100569861608,0.8785921342142193,0.240064337849617,0.28254321217536926,0.33181546330451966,0.014936964213848115,1.8412787171011722,0.07601141184568405,6.170549774169922
A_vector_functional,A,validation,4,135,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,test,2,152,-0.13335525145100935,0.1004754028927094,0.45752649746178065,0.47762490510940553,0.5273759365081787,0.6625658631324768,0.05069351829588414,7.924773711490592,0.28839705884456635,19.96851959228517
A_vector_functional_shrunk,A,test,3,152,0.6014138093536594,0.7660159033603672,0.8670466596501999,0.2422744333744049,0.2816064953804016,0.3304283022880554,0.012397495284676553,1.8653191537902643,0.0828738808631897,5.230167675018311
A_vector_functional_shrunk,A,test,4,152,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,train,2,258,-0.22374005499462135,0.10164038633450684,0.47369241151654523,0.47115621864795687,0.5228973925113678,0.6446572721004487,0.06453672721982003,7.5728852220977,0.28422607481479645,20.625877571105967
A_vector_functional_shrunk,A,train,3,258,0.5542393914090318,0.7697030519396649,0.8729083767575736,0.23464917838573457,0.27510108053684235,0.3327330738306046,0.01806321069598198,1.6169823803595997,0.08199114724993706,4.613235139846805
A_vector_functional_shrunk,A,train,4,258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_vector_functional_shrunk,A,validation,2,135,-0.1851090823014072,0.11064945325685005,0.4021153964218006,0.479938805103302,0.5266484618186951,0.6447874307632446,0.06718461513519287,9.718627167506902,0.2664070129394531,24.39156951904299
A_vector_functional_shrunk,A,validation,3,135,0.5797050752420704,0.7879778501083472,0.8803929633238226,0.24222391247749328,0.2819250226020813,0.3300703823566437,0.016561488807201385,1.829181582470321,0.07605393975973129,5.832558917999269
