candidate,scope,layer,expert_id,expert_stratum,projection,entropy_nats,effective_families,used_families,blocks
B16_g32_global_functional_eps_0p01,global/gate,0,52,cold,gate,2.0176279582478767,7.520464902921752,16,32768
B16_g32_global_functional_eps_0p01,global/up,0,52,cold,up,2.071561226670067,7.937205226180476,16,32768
B16_g32_global_functional_eps_0p01,global/down,0,52,cold,down,2.672624340824985,14.477914362217799,16,32768
B16_g32_global_functional_eps_0p01,global/gate,0,62,hot,gate,1.6269585463014389,5.088375102527446,16,32768
B16_g32_global_functional_eps_0p01,global/up,0,62,hot,up,1.6961450751107512,5.452886356120927,16,32768
B16_g32_global_functional_eps_0p01,global/down,0,62,hot,down,2.5551507310222554,12.873239907901567,16,32768
B16_g32_global_functional_eps_0p01,global/gate,0,207,median,gate,2.381274950199221,10.818687362397501,16,32768
B16_g32_global_functional_eps_0p01,global/up,0,207,median,up,2.4331679244432127,11.394923217849405,16,32768
B16_g32_global_functional_eps_0p01,global/down,0,207,median,down,2.543245418559531,12.720888658477662,16,32768
B16_g32_global_functional_eps_0p01,global/gate,4,12,cold,gate,2.6332177821636638,13.918484573918665,16,32768
B16_g32_global_functional_eps_0p01,global/up,4,12,cold,up,2.6185066047093835,13.715226029448802,16,32768
B16_g32_global_functional_eps_0p01,global/down,4,12,cold,down,2.607046806047993,13.558949459841278,16,32768
B16_g32_global_functional_eps_0p01,global/gate,4,36,median,gate,2.5673991782184187,13.03188671225658,16,32768
B16_g32_global_functional_eps_0p01,global/up,4,36,median,up,2.523510372062181,12.472302328769489,16,32768
B16_g32_global_functional_eps_0p01,global/down,4,36,median,down,2.544025260903905,12.730812815247504,16,32768
B16_g32_global_functional_eps_0p01,global/gate,4,154,hot,gate,2.5306079309884764,12.561140122295841,16,32768
B16_g32_global_functional_eps_0p01,global/up,4,154,hot,up,2.5094046994773676,12.297607109109093,16,32768
B16_g32_global_functional_eps_0p01,global/down,4,154,hot,down,2.4783303436189126,11.921343244900298,16,32768
B16_g32_global_functional_eps_0p01,global/gate,20,8,median,gate,2.6465240841724995,14.104925803925152,16,32768
B16_g32_global_functional_eps_0p01,global/up,20,8,median,up,2.617371893244031,13.699672031542072,16,32768
B16_g32_global_functional_eps_0p01,global/down,20,8,median,down,2.5329646640509456,12.590778287428202,16,32768
B16_g32_global_functional_eps_0p01,global/gate,20,172,hot,gate,2.6212278201840316,13.752598941569593,16,32768
B16_g32_global_functional_eps_0p01,global/up,20,172,hot,up,2.575940566575069,13.14367384672893,16,32768
B16_g32_global_functional_eps_0p01,global/down,20,172,hot,down,2.5964263340720013,13.415709004093399,16,32768
B16_g32_global_functional_eps_0p01,global/gate,20,226,cold,gate,2.6478335410008618,14.1234076933099,16,32768
B16_g32_global_functional_eps_0p01,global/up,20,226,cold,up,2.597295542793876,13.427375124782314,16,32768
B16_g32_global_functional_eps_0p01,global/down,20,226,cold,down,2.5873895986317343,13.295020925505575,16,32768
B16_g32_global_functional_eps_0p01,global/gate,39,70,hot,gate,2.621889990254939,13.76170851669704,16,32768
B16_g32_global_functional_eps_0p01,global/up,39,70,hot,up,2.578428924839291,13.176420742274559,16,32768
B16_g32_global_functional_eps_0p01,global/down,39,70,hot,down,2.5480647280211253,12.78234252119779,16,32768
B16_g32_global_functional_eps_0p01,global/gate,39,127,cold,gate,2.714916595729165,15.103350335440542,16,32768
B16_g32_global_functional_eps_0p01,global/up,39,127,cold,up,2.6897936811435414,14.728636811436475,16,32768
B16_g32_global_functional_eps_0p01,global/down,39,127,cold,down,2.7415991541798728,15.511770986238023,16,32768
B16_g32_global_functional_eps_0p01,global/gate,39,251,median,gate,2.6560210868210747,14.239518423265675,16,32768
B16_g32_global_functional_eps_0p01,global/up,39,251,median,up,2.5918141070800567,13.353975183542104,16,32768
B16_g32_global_functional_eps_0p01,global/down,39,251,median,down,2.5600656722774966,12.936666868023186,16,32768
