source_id,method_id,cohort,budget_bpw,n,recovery_p10,recovery_median,recovery_p90,physical_bytes_min,physical_bytes_median,physical_bytes_max,logical_bytes_min,logical_bytes_median,logical_bytes_max,page_amplification_p10,page_amplification_median,page_amplification_p90,physical_bpw_median,logical_bpw_median,resident_bpw_reported,suffix_storage_bpw,evidence_class
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,0.5,85,0.611385858987325,0.73450214099873,0.863313450214079,196608,196608,196608,196608,196608,196608,1,1,1,0.5,0.5,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,0.75,85,0.728239243525044,0.835270171132514,0.922865145823562,294912,294912,294912,294912,294912,294912,1,1,1,0.75,0.75,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,1,85,0.834753887393673,0.896134089095787,0.960089160489058,393216,393216,393216,393216,393216,393216,1,1,1,1,1,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,1.25,85,0.904549886504644,0.945190341008474,0.98054238560576,491520,491520,491520,491520,491520,491520,1,1,1,1.25,1.25,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,1.5,85,0.953352166016954,0.973172168955728,0.994494757132693,589824,589824,589824,589824,589824,589824,1,1,1,1.5,1.5,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,all_four,2,85,0.999999999998583,0.99999999999936,0.999999999999712,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,0.5,72,0.606128492226118,0.72539390888893,0.860484160630839,196608,196608,196608,196608,196608,196608,1,1,1,0.5,0.5,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,0.75,72,0.72666183249967,0.820074886497673,0.921354221984033,294912,294912,294912,294912,294912,294912,1,1,1,0.75,0.75,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,1,72,0.833364894021232,0.893499342980047,0.953527681468909,393216,393216,393216,393216,393216,393216,1,1,1,1,1,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,1.25,72,0.904146169966158,0.942861538720776,0.972663096596252,491520,491520,491520,491520,491520,491520,1,1,1,1.25,1.25,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,1.5,72,0.952720714036243,0.969813593173558,0.98850798498988,589824,589824,589824,589824,589824,589824,1,1,1,1.5,1.5,2.25,2,published_deployment_oriented_H0
pr4_headline,pr4_deployable_ordered_diagonal_coselection,difficult_4_20_39,2,72,0.999999999998551,0.999999999999334,0.999999999999713,786432,786432,786432,786432,786432,786432,1,1,1,2,2,2.25,2,published_deployment_oriented_H0
pr6_paired_hybrid,pr6_exact_training_separate,all_four,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,all_four,0.5,85,0.641653382690321,0.741648238581937,0.876295832085249,163840,196608,196608,163840,196608,196608,1,1,1,0.5,0.5,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,all_four,0.75,85,0.747893166556276,0.837658100325867,0.922498349197973,163840,294912,294912,163840,294912,294912,1,1,1,0.75,0.75,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,all_four,1,85,0.838531113863316,0.897336562628676,0.957035507931653,360448,393216,393216,360448,393216,393216,1,1,1,1,1,2.25,2,H0_full_Gram_selector_fixed_separate_representation
pr6_paired_hybrid,pr6_exact_training_separate,all_four,1.25,85,0.900441502746744,0.937214011967931,0.978177778232352,458752,491520,491520,458752,491520,491520,1,1,1,1.25,1.25,2.25,2,H0_full_Gram_selector_fixed_separate_representation
