candidate,design,sharing,families,group_size,selector_bytes,modifier_bytes,header_padding_bytes,table_bytes_per_expert,metadata_bytes_per_expert,metadata_bpw,resident_bytes_per_expert,resident_bpw,pilot_serialized_table_bytes
A_vector_functional,A,independent_vector,512,32,0.0,0.0,0.0,49152.0,49152.0,0.125,933888.0,2.375,589824
A_vector_functional_shrunk,A,independent_vector,512,32,0.0,0.0,0.0,49152.0,49152.0,0.125,933888.0,2.375,589824
B16_g32_cluster_functional,B,cluster_projection,16,32,49152.0,0.0,64.0,0.45,49216.45,0.12516390482584636,933952.45,2.3751639048258464,4608
B16_g32_expert_functional,B,expert_projection,16,32,49152.0,0.0,64.0,1536.0,50752.0,0.12906901041666666,935488.0,2.3790690104166665,18432
B16_g32_global_activation,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p0,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p001,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p0025,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p01,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p02,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_functional_eps_0p05,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_global_weight,B,global_projection,16,32,49152.0,0.0,64.0,0.15,49216.15,0.12516314188639324,933952.15,2.3751631418863934,1536
B16_g32_layer_functional,B,layer_projection,16,32,49152.0,0.0,64.0,6.0,49222.0,0.12517801920572916,933958.0,2.375178019205729,6144
C8_g32_layer_functional,C,layer_projection,8,32,36864.0,12288.0,64.0,3.0,49219.0,0.1251703898111979,933955.0,2.3751703898111978,3072
D4_g16_layer_functional,D,layer_projection,4,16,49152.0,0.0,64.0,1.5,49217.5,0.12516657511393228,933953.5,2.375166575113932,1536
E16_g64_layer_functional,E,layer_projection,16,64,49152.0,0.0,64.0,6.0,49222.0,0.12517801920572916,933958.0,2.375178019205729,6144
E32_g64_layer_functional,E,layer_projection,32,64,49152.0,0.0,64.0,12.0,49228.0,0.12519327799479166,933964.0,2.3751932779947915,12288
E64_g64_layer_functional,E,layer_projection,64,64,49152.0,0.0,64.0,24.0,49240.0,0.12522379557291666,933976.0,2.3752237955729165,24576
baseline_pr4_2p25,baseline,baseline_global,1,32,0.0,0.0,0.0,0.009375,0.009375,2.3841857910156248e-08,884736.009375,2.250000023841858,96
learned_16_leaf_scalar_global,learned_16_leaf,global_projection,1,32,0.0,0.0,0.0,0.01875,0.01875,4.7683715820312496e-08,884736.01875,2.250000047683716,192
