candidate,design,objective,sharing,projection,split,level,count,p10_relative_error,median_relative_error,p90_relative_error,p10_damage,median_damage,p90_damage,summed_damage,median_own_recovery
A_vector_functional,A,expert_functional_proxy,independent_vector,down,test,2,152,0.33621824383735655,0.36368900537490845,0.3854272723197937,0.022255219891667365,0.12034357339143753,9.517666912078859,623.545309998095,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,down,test,3,152,0.1780156299471855,0.1941942274570465,0.2078974351286888,0.00849524512887001,0.03427272289991379,3.331013417243958,179.21429212135263,0.6775694489479065
A_vector_functional,A,expert_functional_proxy,independent_vector,down,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,down,train,2,258,0.3318358063697815,0.36262889206409454,0.38192959129810333,0.025171438977122308,0.12092071399092674,9.552529621124268,1001.1550490930676,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,down,train,3,258,0.17406332343816758,0.1938830241560936,0.2033627897500992,0.007655114028602839,0.034458113834261894,3.0558885574340824,265.35714935767464,0.7170928716659546
A_vector_functional,A,expert_functional_proxy,independent_vector,down,train,4,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,down,validation,2,135,0.3343629002571106,0.3659555912017822,0.3851847887039185,0.028067536279559137,0.12160878628492355,12.740957260131854,652.1984671666287,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,down,validation,3,135,0.17488457262516022,0.19451652467250824,0.20626338124275206,0.007255473732948303,0.03411266580224037,2.9220649719238287,166.35249727312475,0.7304850220680237
A_vector_functional,A,expert_functional_proxy,independent_vector,down,validation,4,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,test,2,152,0.1598749577999115,0.25360317528247833,0.3139851212501526,1.948472535610199,12.257920265197754,136.4653121948242,6499.928514838219,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,test,3,152,0.05496185198426247,0.1267138570547104,0.16380122900009156,0.5072431921958923,3.1590025424957275,17.61237621307373,1085.8071826696396,0.760235458612442
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,test,4,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,train,2,258,0.1534106656908989,0.25094859302043915,0.3135683745145798,1.9099722981452942,12.420902729034424,131.2594223022461,10721.979382872581,0.0
A_vector_functional,A,expert_functional_proxy,independent_vector,gate,train,3,258,0.05591407008469105,0.1260039582848549,0.1675795540213585,0.5193935334682466,3.2963244915008545,17.930004882812508,1889.0026615262032,0.7527086436748505
