candidate,design,packet,statistic,target_recovery,interpolated_physical_bpw
A_vector_functional,A,paired,p10_common_recovery,0.9,0.9834135385162974
A_vector_functional,A,paired,p10_common_recovery,0.95,1.3577503307791776
A_vector_functional,A,paired,p10_common_recovery,0.975,1.6280553123481625
A_vector_functional,A,paired,median_common_recovery,0.9,0.669057230546799
A_vector_functional,A,paired,median_common_recovery,0.95,1.0384254821605292
A_vector_functional,A,paired,median_common_recovery,0.975,1.3486827723243704
A_vector_functional,A,paired,p90_common_recovery,0.9,0.41393041561220273
A_vector_functional,A,paired,p90_common_recovery,0.95,0.6558413668600097
A_vector_functional,A,paired,p90_common_recovery,0.975,0.9889009908115062
A_vector_functional,A,separate,p10_common_recovery,0.9,1.1528467508796125
A_vector_functional,A,separate,p10_common_recovery,0.95,1.4914178707144974
A_vector_functional,A,separate,p10_common_recovery,0.975,1.7437726834629828
A_vector_functional,A,separate,median_common_recovery,0.9,0.808454294312954
A_vector_functional,A,separate,median_common_recovery,0.95,1.1793262453592646
A_vector_functional,A,separate,median_common_recovery,0.975,1.4659521482339517
A_vector_functional,A,separate,p90_common_recovery,0.9,0.4796204480372658
A_vector_functional,A,separate,p90_common_recovery,0.95,0.7896007900782461
A_vector_functional,A,separate,p90_common_recovery,0.975,1.165338512682438
B16_g32_cluster_functional,B,paired,p10_common_recovery,0.9,0.9375702894449969
B16_g32_cluster_functional,B,paired,p10_common_recovery,0.95,1.3289458354967185
B16_g32_cluster_functional,B,paired,p10_common_recovery,0.975,1.6258448006510302
B16_g32_cluster_functional,B,paired,median_common_recovery,0.9,0.6019092674308761
B16_g32_cluster_functional,B,paired,median_common_recovery,0.95,0.9468651534242567
B16_g32_cluster_functional,B,paired,median_common_recovery,0.975,1.2918975083245001
B16_g32_cluster_functional,B,paired,p90_common_recovery,0.9,0.32269371896542953
B16_g32_cluster_functional,B,paired,p90_common_recovery,0.95,0.542463215292215
B16_g32_cluster_functional,B,paired,p90_common_recovery,0.975,0.925159478320845
B16_g32_cluster_functional,B,separate,p10_common_recovery,0.9,1.104969956927401
B16_g32_cluster_functional,B,separate,p10_common_recovery,0.95,1.4380645813171922
B16_g32_cluster_functional,B,separate,p10_common_recovery,0.975,1.7062057007888582
B16_g32_cluster_functional,B,separate,median_common_recovery,0.9,0.7378306605917782
B16_g32_cluster_functional,B,separate,median_common_recovery,0.95,1.1456081881788973
B16_g32_cluster_functional,B,separate,median_common_recovery,0.975,1.4521622026133534
B16_g32_cluster_functional,B,separate,p90_common_recovery,0.9,0.4134989299438069
B16_g32_cluster_functional,B,separate,p90_common_recovery,0.95,0.6815977375983343
B16_g32_cluster_functional,B,separate,p90_common_recovery,0.975,1.1129231152333996
B16_g32_expert_functional,B,paired,p10_common_recovery,0.9,0.9262937362649752
B16_g32_expert_functional,B,paired,p10_common_recovery,0.95,1.3217933068387477
B16_g32_expert_functional,B,paired,p10_common_recovery,0.975,1.6180560681795515
B16_g32_expert_functional,B,paired,median_common_recovery,0.9,0.6183622147764116
B16_g32_expert_functional,B,paired,median_common_recovery,0.95,0.9712497836678329
B16_g32_expert_functional,B,paired,median_common_recovery,0.975,1.2978432786897545
B16_g32_expert_functional,B,paired,p90_common_recovery,0.9,0.28455561333499124
B16_g32_expert_functional,B,paired,p90_common_recovery,0.95,0.49448923878550977
B16_g32_expert_functional,B,paired,p90_common_recovery,0.975,0.8679634614439499
B16_g32_expert_functional,B,separate,p10_common_recovery,0.9,1.0918882001882544
B16_g32_expert_functional,B,separate,p10_common_recovery,0.95,1.451686553247937
B16_g32_expert_functional,B,separate,p10_common_recovery,0.975,1.715649247331814
B16_g32_expert_functional,B,separate,median_common_recovery,0.9,0.7412010004744514
B16_g32_expert_functional,B,separate,median_common_recovery,0.95,1.1087512763248737
B16_g32_expert_functional,B,separate,median_common_recovery,0.975,1.4179074615029013
B16_g32_expert_functional,B,separate,p90_common_recovery,0.9,0.38940219898618356
B16_g32_expert_functional,B,separate,p90_common_recovery,0.95,0.657829651978163
B16_g32_expert_functional,B,separate,p90_common_recovery,0.975,1.0039366823906066
B16_g32_global_functional_eps_0p01,B,paired,p10_common_recovery,0.9,0.9758145715717287
B16_g32_global_functional_eps_0p01,B,paired,p10_common_recovery,0.95,1.3309972232853635
B16_g32_global_functional_eps_0p01,B,paired,p10_common_recovery,0.975,1.6098990619898692
B16_g32_global_functional_eps_0p01,B,paired,median_common_recovery,0.9,0.6263275881913
B16_g32_global_functional_eps_0p01,B,paired,median_common_recovery,0.95,0.9943516777250971
B16_g32_global_functional_eps_0p01,B,paired,median_common_recovery,0.975,1.3266498826335449
B16_g32_global_functional_eps_0p01,B,paired,p90_common_recovery,0.9,0.3453359987819566
B16_g32_global_functional_eps_0p01,B,paired,p90_common_recovery,0.95,0.5122752022995379
B16_g32_global_functional_eps_0p01,B,paired,p90_common_recovery,0.975,0.9122233865972553
B16_g32_global_functional_eps_0p01,B,separate,p10_common_recovery,0.9,1.1040119482022563
B16_g32_global_functional_eps_0p01,B,separate,p10_common_recovery,0.95,1.433803854484654
B16_g32_global_functional_eps_0p01,B,separate,p10_common_recovery,0.975,1.7049418709484436
B16_g32_global_functional_eps_0p01,B,separate,median_common_recovery,0.9,0.7634142898841564
B16_g32_global_functional_eps_0p01,B,separate,median_common_recovery,0.95,1.1101984945211232
