capture_source,request_id,position,layer,expert_id,projection,backward_elimination,diagonal,exact_marginal_fixed_greedy,diagonal_over_exact
cross_reference,tfprod-req000098-00e89186,176,4,134,gate,3126.0,1648.0,621.0,2.65378421900161
cross_reference,tfprod-req000098-00e89186,176,4,134,up,3189.0,1631.0,522.0,3.124521072796935
cross_reference,tfprod-req000098-00e89186,176,20,72,gate,3399.0,1496.0,567.0,2.638447971781305
cross_reference,tfprod-req000098-00e89186,176,20,72,up,3324.0,1659.0,489.0,3.392638036809816
cross_reference,tfprod-req000098-00e89186,192,20,72,gate,3383.0,1593.0,651.0,2.447004608294931
cross_reference,tfprod-req000098-00e89186,192,20,72,up,3290.0,1642.0,555.0,2.9585585585585585
cross_reference,tfprod-req000098-00e89186,192,39,235,gate,3392.0,1578.0,604.0,2.6125827814569536
cross_reference,tfprod-req000098-00e89186,192,39,235,up,3515.0,1536.0,446.0,3.4439461883408073
cross_reference,tfprod-req000098-00e89186,208,20,72,gate,3255.0,1701.0,581.0,2.927710843373494
cross_reference,tfprod-req000098-00e89186,208,20,72,up,3365.0,1677.0,491.0,3.415478615071283
cross_reference,tfprod-req000098-00e89186,224,4,134,gate,3017.0,1489.0,677.0,2.1994091580502215
cross_reference,tfprod-req000098-00e89186,224,4,134,up,3049.0,1529.0,489.0,3.1267893660531696
cross_reference,tfprod-req000098-00e89186,224,20,72,gate,3457.0,1784.0,611.0,2.9198036006546646
cross_reference,tfprod-req000098-00e89186,224,20,72,up,3441.0,1752.0,527.0,3.3244781783681217
cross_reference,tfprod-req000098-00e89186,240,0,207,gate,2866.0,1404.0,377.0,3.7241379310344827
cross_reference,tfprod-req000098-00e89186,240,0,207,up,2891.0,1329.0,394.0,3.3730964467005076
cross_reference,tfprod-req000098-00e89186,240,4,134,gate,3253.0,1633.0,664.0,2.4593373493975905
cross_reference,tfprod-req000098-00e89186,240,4,134,up,3075.0,1483.0,507.0,2.9250493096646943
cross_reference,tfprod-req000098-00e89186,240,20,72,gate,3544.0,1641.0,597.0,2.748743718592965
cross_reference,tfprod-req000098-00e89186,240,20,72,up,3474.0,1652.0,474.0,3.4852320675105486
cross_reference,tfprod-req000098-00e89186,240,39,235,gate,3442.0,1523.0,545.0,2.7944954128440367
cross_reference,tfprod-req000098-00e89186,240,39,235,up,3473.0,1594.0,485.0,3.2865979381443298
cross_reference,tfprod-req000098-00e89186,256,20,72,gate,3281.0,1545.0,609.0,2.5369458128078817
cross_reference,tfprod-req000098-00e89186,256,20,72,up,3247.0,1576.0,512.0,3.078125
cross_reference,tfprod-req000098-00e89186,272,0,238,gate,2525.0,919.0,361.0,2.5457063711911356
cross_reference,tfprod-req000098-00e89186,272,0,238,up,2748.0,918.0,320.0,2.86875
