comparison,left,right,group,budget_bpw,invocations,p10_difference,median_difference,p90_difference,mean_difference,fraction_improved,fraction_worsened,median_ci_low,median_ci_high
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,0.25,70,0.0,0.0,0.0,-0.0009858330020420835,0.05714285714285714,0.08571428571428572,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,0.5,70,-0.00012672354720496504,0.0,0.0,-0.00015074838138518114,0.08571428571428572,0.1,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,0.75,70,-4.1261201988040806e-05,0.0,0.00056741090768907,0.00024478594402383027,0.14285714285714285,0.1,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,1.0,70,-0.000165343983983246,0.0,0.00040568361227164804,0.0002651507982623956,0.11428571428571428,0.12857142857142856,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,1.25,70,0.0,0.0,0.00044802616481791726,0.00024231333741083454,0.14285714285714285,0.07142857142857142,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,1.5,70,-3.149996146870614e-05,0.0,0.0006240596167831348,6.204003165452793e-05,0.2,0.11428571428571428,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,all four layers,2.0,70,0.0,0.0,0.0002643694302185807,8.216211403236759e-05,0.3,0.014285714285714285,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,0.5,16,0.0,0.0,0.0,0.00029673872318364963,0.0625,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,0.75,16,0.0,0.0,0.0,4.182254287037057e-05,0.0625,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,1.0,16,0.0,0.0,0.0001176362114868601,0.000301882690152952,0.125,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,1.25,16,0.0,0.0,0.0,0.00014113085595759967,0.0625,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,1.5,16,0.0,0.0,0.0,-1.8769770582585665e-06,0.0,0.0625,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layer 0,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,0.25,54,-0.0026067320302700734,0.0,0.0,-0.0012779316693138118,0.07407407407407407,0.1111111111111111,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,0.5,54,-0.0021520707095669545,0.0,0.0,-0.00028333715310927915,0.09259259259259259,0.12962962962962962,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,0.75,54,-0.0007700278289086146,0.0,0.001567615446527608,0.0003049232480692998,0.16666666666666666,0.12962962962962962,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,1.0,54,-0.00025285638598424585,0.0,0.0013575690211670875,0.00025426727473926776,0.1111111111111111,0.16666666666666666,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,1.25,54,0.0,0.0,0.0008675966055021543,0.0002722933319154967,0.16666666666666666,0.09259259259259259,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,1.5,54,-0.00042939019565483254,0.0,0.0006840385238458424,8.097840460646466e-05,0.25925925925925924,0.12962962962962962,0.0,0.0
B-first only (no direct action),bidirectional_no_direct,ordered,layers 4/20/39,2.0,54,0.0,0.0,0.00031314242816059555,0.00010650644411603205,0.3888888888888889,0.018518518518518517,0.0,5.745009623581154e-07
direct AB with A-first,ordered_direct,ordered,all four layers,0.25,70,-0.013441744607430216,0.0,0.00828553854584946,-0.0007125422686795787,0.24285714285714285,0.2714285714285714,0.0,0.0
direct AB with A-first,ordered_direct,ordered,all four layers,0.5,70,-0.004438543016460017,0.0,0.005882176218074165,0.0004950515668645287,0.37142857142857144,0.2571428571428571,0.0,0.0
direct AB with A-first,ordered_direct,ordered,all four layers,0.75,70,-0.004893322894470185,0.0,0.007501680120472655,0.0009536585278424239,0.44285714285714284,0.34285714285714286,0.0,0.0006598770053762859
direct AB with A-first,ordered_direct,ordered,all four layers,1.0,70,-0.0034579783281545426,0.00010924613615731493,0.0053567430543353676,0.0016297336024275332,0.5142857142857142,0.34285714285714286,0.0,0.000907514629645112
direct AB with A-first,ordered_direct,ordered,all four layers,1.25,70,-0.0024882281514993607,8.894164624928536e-05,0.0035473509564937448,0.0010288307798791245,0.5,0.37142857142857144,0.0,0.0008486496178009562
direct AB with A-first,ordered_direct,ordered,all four layers,1.5,70,-0.001159776558158021,9.030275615062866e-05,0.0019294609220200432,0.0007522721455741257,0.5142857142857142,0.37142857142857144,0.0,0.0005012819131665069
direct AB with A-first,ordered_direct,ordered,all four layers,2.0,70,0.0,7.843091907139277e-05,0.0013786097700264287,0.0007601349865539128,0.8285714285714286,0.0,1.4916727070102276e-05,0.0002362539939830266
direct AB with A-first,ordered_direct,ordered,layer 0,0.25,16,-0.01483976995283387,0.0,0.018812221925178563,0.001851890990583173,0.3125,0.3125,-0.006546119135539652,0.0
direct AB with A-first,ordered_direct,ordered,layer 0,0.5,16,-0.0003926224813055601,0.0,0.014806461111914249,0.004131520767428905,0.375,0.125,0.0,0.0
direct AB with A-first,ordered_direct,ordered,layer 0,0.75,16,-0.0067442095748873054,0.0006689902595215513,0.014787500947964327,0.003431353244667326,0.5,0.3125,-0.004230222629282077,0.0021745112973844405
direct AB with A-first,ordered_direct,ordered,layer 0,1.0,16,-0.0017545077641655804,1.5229698070939879e-05,0.0072735784193226904,0.0030055289082219633,0.5,0.3125,-0.00046784029440760655,0.0014567861384846559
direct AB with A-first,ordered_direct,ordered,layer 0,1.25,16,-0.0003631046678445049,0.00030553797453913845,0.003556437463658191,0.0023482435935777424,0.5,0.1875,0.0,0.001228921457164911
direct AB with A-first,ordered_direct,ordered,layer 0,1.5,16,-0.00019695697649385613,0.0,0.001324619634549662,0.001787908074779694,0.4375,0.25,-7.027831859518496e-05,0.0005480949959518755
