policy,projection,budget_bpw,transition,actions
ordered_a,gate,0.25,first_a,21229
ordered_a,gate,0.25,upgrade_via_b,11011
ordered_a,down,0.25,first_a,7290
ordered_a,down,0.25,upgrade_via_b,3437
ordered_a,gate,0.5,first_a,41142
ordered_a,gate,0.5,upgrade_via_b,25899
ordered_a,up,0.5,first_a,56161
ordered_a,up,0.5,upgrade_via_b,15481
ordered_a,down,0.5,first_a,11799
ordered_a,down,0.5,upgrade_via_b,6964
ordered_a,gate,0.75,first_a,66266
ordered_a,gate,0.75,upgrade_via_b,47344
ordered_a,up,0.75,first_a,80611
ordered_a,up,0.75,upgrade_via_b,27863
ordered_a,down,0.75,first_a,14805
ordered_a,down,0.75,upgrade_via_b,9757
ordered_a,gate,1.0,first_a,93975
ordered_a,gate,1.0,upgrade_via_b,73876
ordered_a,up,1.0,first_a,98571
ordered_a,up,1.0,upgrade_via_b,43677
ordered_a,down,1.0,first_a,17442
ordered_a,down,1.0,upgrade_via_b,12280
ordered_a,gate,1.25,first_a,117183
ordered_a,gate,1.25,upgrade_via_b,99788
ordered_a,up,1.25,first_a,118438
ordered_a,up,1.25,upgrade_via_b,65767
ordered_a,down,1.25,first_a,19412
ordered_a,down,1.25,upgrade_via_b,14433
ordered_a,gate,1.5,first_a,129624
ordered_a,gate,1.5,upgrade_via_b,117535
ordered_a,up,1.5,first_a,134310
ordered_a,up,1.5,upgrade_via_b,98503
ordered_a,down,1.5,first_a,22674
ordered_a,down,1.5,upgrade_via_b,18277
ordered_a,gate,2.0,first_a,143274
ordered_a,gate,2.0,upgrade_via_b,143274
ordered_a,up,2.0,first_a,143274
ordered_a,up,2.0,upgrade_via_b,143274
ordered_a,down,2.0,first_a,31803
ordered_a,down,2.0,upgrade_via_b,31795
ordered_a,up,0.25,first_a,26308
ordered_a,up,0.25,upgrade_via_b,5423
bidirectional_ab,gate,0.25,first_a,21099
bidirectional_ab,gate,0.25,upgrade_via_b,10832
bidirectional_ab,gate,0.25,direct_ab,155
bidirectional_ab,down,0.25,first_a,6856
bidirectional_ab,down,0.25,direct_ab,416
bidirectional_ab,down,0.25,upgrade_via_b,3030
bidirectional_ab,gate,0.5,first_a,40656
bidirectional_ab,gate,0.5,upgrade_via_b,25300
bidirectional_ab,gate,0.5,direct_ab,543
bidirectional_ab,up,0.5,first_a,56624
bidirectional_ab,up,0.5,upgrade_via_b,15015
bidirectional_ab,down,0.5,first_a,10860
bidirectional_ab,down,0.5,direct_ab,869
bidirectional_ab,down,0.5,upgrade_via_b,6144
bidirectional_ab,gate,0.75,first_a,64717
bidirectional_ab,gate,0.75,upgrade_via_b,46131
bidirectional_ab,gate,0.75,direct_ab,1381
bidirectional_ab,up,0.75,first_a,80475
bidirectional_ab,up,0.75,upgrade_via_b,28000
bidirectional_ab,down,0.75,first_a,13426
bidirectional_ab,down,0.75,direct_ab,1181
bidirectional_ab,down,0.75,upgrade_via_b,8345
bidirectional_ab,gate,1.0,first_a,93893
bidirectional_ab,gate,1.0,upgrade_via_b,72865
bidirectional_ab,gate,1.0,direct_ab,2080
bidirectional_ab,up,1.0,first_a,98732
bidirectional_ab,up,1.0,upgrade_via_b,43003
bidirectional_ab,down,1.0,first_a,15674
bidirectional_ab,down,1.0,direct_ab,1488
bidirectional_ab,down,1.0,upgrade_via_b,10535
bidirectional_ab,gate,1.25,first_a,112795
bidirectional_ab,gate,1.25,upgrade_via_b,94756
bidirectional_ab,gate,1.25,direct_ab,2664
bidirectional_ab,up,1.25,first_a,118039
bidirectional_ab,up,1.25,upgrade_via_b,66676
