policy,projection,budget_bpw,transition,actions,fraction
bidirectional_ab,down,0.25,base_to_a,6856,0.6652435474480884
bidirectional_ab,down,0.25,base_to_a+b,416,0.04036483601785368
bidirectional_ab,down,0.25,base_to_b,2,0.00019406171162429653
bidirectional_ab,down,0.25,q3_to_exact_via_a,2,0.00019406171162429653
bidirectional_ab,down,0.25,q3_to_exact_via_b,3030,0.29400349311080926
bidirectional_ab,down,0.5,base_to_a,10860,0.6068056098787507
bidirectional_ab,down,0.5,base_to_a+b,869,0.04855562384757222
bidirectional_ab,down,0.5,base_to_b,12,0.0006705034363301112
bidirectional_ab,down,0.5,q3_to_exact_via_a,12,0.0006705034363301112
bidirectional_ab,down,0.5,q3_to_exact_via_b,6144,0.3432977594010169
bidirectional_ab,down,0.75,base_to_a,13426,0.5842471714534377
bidirectional_ab,down,0.75,base_to_a+b,1181,0.05139251523063534
bidirectional_ab,down,0.75,base_to_b,14,0.0006092254134029591
bidirectional_ab,down,0.75,q3_to_exact_via_a,14,0.0006092254134029591
bidirectional_ab,down,0.75,q3_to_exact_via_b,8345,0.36314186248912095
bidirectional_ab,down,1.0,base_to_a,15674,0.5650528137279642
bidirectional_ab,down,1.0,base_to_a+b,1488,0.05364288546811349
bidirectional_ab,down,1.0,base_to_b,21,0.0007570568513645048
bidirectional_ab,down,1.0,q3_to_exact_via_a,21,0.0007570568513645048
bidirectional_ab,down,1.0,q3_to_exact_via_b,10535,0.3797901871011933
bidirectional_ab,down,1.25,base_to_a,17950,0.5434947164441215
bidirectional_ab,down,1.25,base_to_a+b,1811,0.05483392375934841
bidirectional_ab,down,1.25,base_to_b,30,0.0009083477155054955
bidirectional_ab,down,1.25,q3_to_exact_via_a,30,0.0009083477155054955
bidirectional_ab,down,1.25,q3_to_exact_via_b,13206,0.39985466436551914
bidirectional_ab,down,1.5,base_to_a,20655,0.5276940370957028
bidirectional_ab,down,1.5,base_to_a+b,2222,0.05676766644525063
bidirectional_ab,down,1.5,base_to_b,34,0.0008686321598283174
bidirectional_ab,down,1.5,q3_to_exact_via_a,34,0.0008686321598283174
bidirectional_ab,down,1.5,q3_to_exact_via_b,16197,0.4138010321393899
bidirectional_ab,down,2.0,base_to_a,28044,0.4672131147540984
