layer,projection,description,invocations,p10,median,p90,mean
0,down,a,16,0.6779145675967241,0.6970383818044033,0.7080199242073874,0.6945700588835164
0,down,b,16,0.08314512466822443,0.10012337669195265,0.12408931580846061,0.10128803939701948
0,down,q,16,0.038842191529355086,0.07348919327128106,0.10177487662951068,0.07342424612505351
0,gate,a,16,0.37599341919586954,0.4962339807688807,0.5661012939593593,0.4859869555109354
0,gate,b,16,0.09787898942784168,0.18157401372174764,0.2668096313667563,0.18567306165641112
0,gate,q,16,-0.09102382803897546,-0.03135068577765299,0.06315890748297454,-0.02145517327530954
0,up,a,16,0.6975901687463922,0.721094495943361,0.7877698813406966,0.7315232911673755
0,up,b,16,0.0723760457987131,0.14268057350412827,0.15078040332138226,0.12562658850944927
0,up,q,16,0.07953809185726451,0.10732916204939075,0.16290545876747742,0.11591703369952497
4,down,a,17,0.6869706606400741,0.6927662119578768,0.7132241601085604,0.6967101672895798
4,down,b,17,0.12245965678059874,0.14142343519083533,0.1672431652000328,0.14503921661288088
4,down,q,17,0.09160947582021144,0.11824128652632182,0.14819314891044472,0.1200150962036403
4,gate,a,17,0.38521552871011805,0.44170783667432023,0.5118595422913982,0.45028431747869885
4,gate,b,17,0.13669811364054593,0.18555124800122424,0.21379525283940332,0.1790738009005824
4,gate,q,17,-0.10309631211720154,-0.0440697317677774,-0.003362146610156369,-0.052271721257822916
4,up,a,17,0.7134745131113956,0.7378462226536775,0.7548602784740917,0.7352565549720298
4,up,b,17,0.09284864982270895,0.11581898646160615,0.15086734836491428,0.12061341788759805
4,up,q,17,0.04560101314649308,0.07268820421594724,0.10913108502246496,0.07446411607107992
20,down,a,18,0.6944369828979051,0.7061953789837304,0.7234875734617066,0.7058377243873317
20,down,b,18,0.1387644803396985,0.15240373910714217,0.17835204025432552,0.15499498975667708
20,down,q,18,0.12684896389286993,0.1453872068041493,0.15975012840712804,0.14483681527642656
20,gate,a,18,0.4306373142012852,0.5718175357052386,0.5852509329447093,0.5265763263751208
20,gate,b,18,-0.051365938476992244,0.1737331540379285,0.5246839664370192,0.2404603611345038
20,gate,q,18,-0.20063711873494544,-0.07562140107202175,0.0685246669950208,-0.05703918282386944
20,up,a,18,0.6708063162104245,0.703304096987869,0.7287035026921592,0.6985543673557602
20,up,b,18,0.09842832006401954,0.15376686689330404,0.1854553654371889,0.14337026044057194
20,up,q,18,0.06570603803246926,0.10633788304497604,0.1707302051266576,0.11606699812847346
39,down,a,19,0.6925487493327314,0.7173596471989081,0.7380514819530509,0.7147151153185609
39,down,b,19,0.15094284599736002,0.16659374169030328,0.18129949506823104,0.16716672315136025
39,down,q,19,0.12807662537567485,0.14867180373443545,0.17281590920812018,0.14844772732563283
39,gate,a,19,0.10401261160919889,0.3378645629830126,0.4624351773744158,0.29483367876796496
39,gate,b,19,0.10358161326093754,0.2173214880762775,0.2619823268717189,0.1950129025838583
39,gate,q,19,-0.1664382635325075,-0.09085445631750155,-0.0523412570462647,-0.10919810792010826
39,up,a,19,0.7399056009755068,0.7695053915194267,0.8109807004027114,0.7689854923454507
39,up,b,19,0.13844053100668136,0.1821810274986594,0.21226053858089258,0.17914299188101146
39,up,q,19,0.0899369936155486,0.11379390112653831,0.14435817250874164,0.11642435611357907
