policy,page_size,budget_bpw,invocations,median_recovery,median_physical_bpw,median_amplification
bidirectional_ab,1024,0.25,4,0.645493602453624,0.25,1.000325732899023
bidirectional_ab,1024,0.5,4,0.7862920201664148,0.5,1.0004887585532747
bidirectional_ab,1024,0.75,4,0.8784469310594751,0.75,1.0005428410188664
bidirectional_ab,1024,1.0,4,0.9273938589923936,1.0,1.0005699927915486
bidirectional_ab,1024,1.25,4,0.9526940121271397,1.25,1.0005211047420532
bidirectional_ab,1024,1.5,4,0.9791332221478644,1.5,1.0003799215356692
bidirectional_ab,1024,2.0,4,0.9999999999997514,2.0,1.000325626831651
bidirectional_ab,4096,0.25,4,0.46160431723314255,0.25,1.000325732899023
bidirectional_ab,4096,0.5,4,0.6747164435106611,0.5,1.0008144914522976
bidirectional_ab,4096,0.75,4,0.7720407080972813,0.75,1.0006514657980456
bidirectional_ab,4096,1.0,4,0.8761924807154334,1.0,1.0005699927915486
bidirectional_ab,4096,1.25,4,0.9322745797853205,1.25,1.0003907776475185
bidirectional_ab,4096,1.5,4,0.9708528064442028,1.5,1.0004342162396873
bidirectional_ab,4096,2.0,4,0.9999999999997514,2.0,1.000325626831651
ordered_a,1024,0.25,4,0.6455184807693373,0.25,1.000325732899023
ordered_a,1024,0.5,4,0.7877451609274455,0.5,1.0004887585532747
ordered_a,1024,0.75,4,0.8768427822416321,0.75,1.0005428410188664
ordered_a,1024,1.0,4,0.9253978236811928,1.0,1.0009776233814218
ordered_a,1024,1.25,4,0.9506991913392123,1.25,1.0007819288048119
ordered_a,1024,1.5,4,0.9790005368350422,1.5,1.0006515129851783
ordered_a,1024,2.0,4,0.9998027549702146,2.0,1.0008144914522976
ordered_a,4096,0.25,4,0.46160431723314255,0.25,1.000325732899023
ordered_a,4096,0.5,4,0.6732130244750094,0.5,1.0008144914522976
ordered_a,4096,0.75,4,0.7724644321473862,0.75,1.0011952981164143
ordered_a,4096,1.0,4,0.8761021930970405,1.0,1.0007329653473043
ordered_a,4096,1.25,4,0.9322745797853205,1.25,1.0007167652575446
ordered_a,4096,1.5,4,0.9708528064442028,1.5,1.0006515129851783
ordered_a,4096,2.0,4,0.9998027549702146,2.0,1.0008144914522976
parity_abq,1024,0.25,4,0.5341411075348954,0.25,1.0006514657980456
parity_abq,1024,0.5,4,0.6730188996343276,0.5,1.0008144914522976
parity_abq,1024,0.75,4,0.7907551781551229,0.75,1.0007601377643573
parity_abq,1024,1.0,4,0.8983718159561009,1.0,1.0005699927915486
parity_abq,1024,1.25,4,0.9550689967744757,1.25,1.0005211047420532
parity_abq,1024,1.5,4,0.9782546327578611,1.5,1.0004342162396873
parity_abq,1024,2.0,4,0.9999999999997514,2.0,1.000325626831651
parity_abq,4096,0.25,4,0.5216771557884634,0.25,1.0006514657980456
parity_abq,4096,0.5,4,0.7040979600834683,0.5,1.0008147038982245
parity_abq,4096,0.75,4,0.8146503789540028,0.75,1.0005429353624042
parity_abq,4096,1.0,4,0.900497278893811,1.0,1.000407126354989
parity_abq,4096,1.25,4,0.941237503569545,1.25,1.0004559411947858
parity_abq,4096,1.5,4,0.9659439703779495,1.5,1.0003799215356692
parity_abq,4096,2.0,4,0.9999999999997514,2.0,1.000325626831651
