group,left,right,budget_bpw,invocations,p10_difference,median_difference,p90_difference,mean_difference,median_ci_low,median_ci_high
all four layers,bidirectional_ab,ordered_a,0.25,70,-0.013441744607430216,0.0,0.00828553854584946,-0.0007125422686795787,0.0,0.0
all four layers,bidirectional_ab,ordered_a,0.5,70,-0.004438543016460017,0.0,0.005882176218074165,0.00047331197690967704,0.0,0.0
all four layers,bidirectional_ab,ordered_a,0.75,70,-0.004893322894470185,0.0,0.007501680120472655,0.0009536585278424239,0.0,0.0006598770053762859
all four layers,bidirectional_ab,ordered_a,1.0,70,-0.0034579783281545426,0.00010924613615731493,0.0053567430543353676,0.0016058862838173513,0.0,0.000907514629645112
all four layers,bidirectional_ab,ordered_a,1.25,70,-0.0024882281514993607,8.894164624928536e-05,0.0035473509564937448,0.0010288307798791245,0.0,0.0008486496178009562
all four layers,bidirectional_ab,ordered_a,1.5,70,-0.001159776558158021,9.030275615062866e-05,0.0019294609220200432,0.0007425434558508003,0.0,0.0005012819131665069
all four layers,bidirectional_ab,ordered_a,2.0,70,0.0,7.843091907139277e-05,0.0013786097700264287,0.0007601349865539128,1.4916727070102276e-05,0.0002362539939830266
layer 0,bidirectional_ab,ordered_a,0.25,16,-0.01483976995283387,0.0,0.018812221925178563,0.001851890990583173,-0.006546119135539652,0.0
layer 0,bidirectional_ab,ordered_a,0.5,16,-0.0003926224813055601,0.0,0.014806461111914249,0.004131520767428905,0.0,0.0
layer 0,bidirectional_ab,ordered_a,0.75,16,-0.0067442095748873054,0.0006689902595215513,0.014787500947964327,0.003431353244667326,-0.004230222629282077,0.0021745112973844405
layer 0,bidirectional_ab,ordered_a,1.0,16,-0.0017545077641655804,1.5229698070939879e-05,0.0072735784193226904,0.0030055289082219633,-0.00046784029440760655,0.0014567861384846559
layer 0,bidirectional_ab,ordered_a,1.25,16,-0.0003631046678445049,0.00030553797453913845,0.003556437463658191,0.0023482435935777424,0.0,0.001228921457164911
layer 0,bidirectional_ab,ordered_a,1.5,16,-0.00019695697649385613,0.0,0.001324619634549662,0.001787908074779694,-7.027831859518496e-05,0.0005480949959518755
layer 0,bidirectional_ab,ordered_a,2.0,16,0.0,1.4649473855266049e-05,0.0003419989233157672,0.0017627321757950135,5.964742866293449e-08,3.228164880431095e-05
layers 4/20/39,bidirectional_ab,ordered_a,0.25,54,-0.010369068331720887,0.0,0.007116963051061454,-0.0014723743454981718,0.0,0.0
layers 4/20/39,bidirectional_ab,ordered_a,0.5,54,-0.005112780064896049,0.0,0.004071269127923006,-0.0006106017387997238,0.0,0.0
layers 4/20/39,bidirectional_ab,ordered_a,0.75,54,-0.004160116520761625,0.0,0.0049659589609881375,0.00021952675989430462,-8.819905752915913e-05,0.0006908430733693072
layers 4/20/39,bidirectional_ab,ordered_a,1.0,54,-0.003923547778168134,0.0001915403816806771,0.004161156674031031,0.0011911773580678367,0.0,0.0007400944755021621
layers 4/20/39,bidirectional_ab,ordered_a,1.25,54,-0.0025687142942010465,8.894164624928536e-05,0.003432969721853042,0.0006378936498943487,-3.9605155641608825e-05,0.0008501526217553068
layers 4/20/39,bidirectional_ab,ordered_a,1.5,54,-0.0014030332585047156,0.0001747733838989851,0.0019537629733565433,0.0004328057909829798,-3.330923547084641e-05,0.0007620474730257731
layers 4/20/39,bidirectional_ab,ordered_a,2.0,54,0.0,8.812224591281392e-05,0.0013872686623007558,0.00046306915270469777,1.5425671383684225e-05,0.0003018669116086614
all four layers,parity_abq,bidirectional_ab,0.25,70,-0.050040553887129274,-0.005759232624181931,0.08921282137438881,0.011840723782666523,-0.011222710479584008,0.01954484850368188
all four layers,parity_abq,bidirectional_ab,0.5,70,-0.05334054917617976,-0.0017705220434607316,0.05815771206451052,-0.0007914871384873361,-0.010149427855593918,0.0034796052178772334
all four layers,parity_abq,bidirectional_ab,0.75,70,-0.027125699635796918,-0.000996397793471715,0.031224901601840552,-5.4477755025174525e-06,-0.002424539393694136,0.0016944534243259048
all four layers,parity_abq,bidirectional_ab,1.0,70,-0.021113282254594544,0.00035464307829458086,0.020332872010454358,0.0005285334585357705,-0.002402312107962974,0.0030797524982553483
all four layers,parity_abq,bidirectional_ab,1.25,70,-0.013796963461676314,-0.0001163805158626019,0.011214321148845545,-0.0011273999900732476,-0.0008333508019349178,0.00022841453467581374
all four layers,parity_abq,bidirectional_ab,1.5,70,-0.006788182511916952,0.00013939985403832456,0.007839412076860676,0.0008279716273189701,-0.00036608632387724604,0.0016835442665856792
all four layers,parity_abq,bidirectional_ab,2.0,70,0.0,0.0,0.0,0.0,0.0,0.0
layer 0,parity_abq,bidirectional_ab,0.25,16,-0.06409713583532672,0.023119156285629272,0.10613233354587798,0.015900177943463892,-0.03551164441825849,0.05239913076558933
layer 0,parity_abq,bidirectional_ab,0.5,16,-0.06381421722448988,0.009522206946786516,0.05766366764991587,0.0025871470800591517,-0.025896549064626462,0.022027189428668215
layer 0,parity_abq,bidirectional_ab,0.75,16,-0.031094935567246462,0.001077331724237629,0.03152233802959642,-0.002750053889343365,-0.007868522903626884,0.024455841360261243
layer 0,parity_abq,bidirectional_ab,1.0,16,-0.013261042678983148,0.002985264358933648,0.016835029824267767,0.0028355156547794566,-0.002758379409848355,0.007934496652050704
layer 0,parity_abq,bidirectional_ab,1.25,16,-0.008610579249265116,-0.001479984077752572,0.011337856102170418,-0.00011597129108106147,-0.0038235604598715334,0.007990446399337825
layer 0,parity_abq,bidirectional_ab,1.5,16,-0.004133416780748411,0.00020829261348387362,0.002646214455758855,-0.00020375171007652043,-0.0026961400362827126,0.0008133850265893416
layer 0,parity_abq,bidirectional_ab,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0
layers 4/20/39,parity_abq,bidirectional_ab,0.25,54,-0.048352474944404346,-0.006781472785311493,0.08340272067105534,0.010637922549837673,-0.015858533951809473,0.017412177448417852
layers 4/20/39,parity_abq,bidirectional_ab,0.5,54,-0.05076872207073045,-0.0037770831505204994,0.056618348506469074,-0.0017925639439825918,-0.010149427855593918,0.003023812383195327
layers 4/20/39,parity_abq,bidirectional_ab,0.75,54,-0.02495407183813337,-0.0014650898398546608,0.03100178790238627,0.0008077688508206967,-0.002946880697934917,0.004058692270458075
layers 4/20/39,parity_abq,bidirectional_ab,1.0,54,-0.0219706930555245,-0.0005544354873691093,0.02287919142914362,-0.00015501682183272902,-0.0026359302464830092,0.001931811314860199
layers 4/20/39,parity_abq,bidirectional_ab,1.25,54,-0.016202690482980307,0.00014503581473601646,0.010167011533784694,-0.0014270825675524138,-0.00011990016809493298,0.0005388344921170574
layers 4/20/39,parity_abq,bidirectional_ab,1.5,54,-0.007683697221493012,0.00011010602060024244,0.008267344931669142,0.0011336674309917081,-0.00036608632387724604,0.002806614669159102
layers 4/20/39,parity_abq,bidirectional_ab,2.0,54,0.0,0.0,0.0,0.0,0.0,0.0
all four layers,parity_abq,ordered_a,0.25,70,-0.05813189338046963,-0.0012014299947255003,0.08921282137438881,0.011128181513986944,-0.011817666572047303,0.018671960200446924
all four layers,parity_abq,ordered_a,0.5,70,-0.05972825441194892,-0.0009343821959920673,0.056541203531773235,-0.0003181751615776591,-0.010315602371948729,0.003336861343607278
all four layers,parity_abq,ordered_a,0.75,70,-0.02709819979833897,-0.0003430715591978828,0.03301252010807915,0.0009482107523399064,-0.0010035100430803023,0.0005841959676629127
all four layers,parity_abq,ordered_a,1.0,70,-0.0200011841031136,0.0017060423685904547,0.026030397576977005,0.002134419742353122,-0.003540593242759127,0.003942988251708448
all four layers,parity_abq,ordered_a,1.25,70,-0.01423819637814646,0.00020522958931101787,0.010774020387297493,-9.856921019412316e-05,-0.0004589115799209509,0.0010979444615953904
all four layers,parity_abq,ordered_a,1.5,70,-0.007390512648965675,0.000862606278538236,0.007916496488987236,0.0015705150831697703,-0.000102812836621613,0.0020727078539601873
all four layers,parity_abq,ordered_a,2.0,70,0.0,7.843091907139277e-05,0.0013786097700264287,0.0007601349865539128,1.4916727070102276e-05,0.0002362539939830266
layer 0,parity_abq,ordered_a,0.25,16,-0.06753433370353534,0.01849233802861977,0.11639609860270761,0.017752068934047065,-0.03551164441825849,0.035811829131000894
layer 0,parity_abq,ordered_a,0.5,16,-0.06128547707058102,0.009817753436407728,0.07115239957965613,0.0067186678474880565,-0.025896549064626462,0.022027189428668215
layer 0,parity_abq,ordered_a,0.75,16,-0.028093061688356735,0.001959486869749394,0.04045524703748704,0.000681299355323961,-0.006802338027970922,0.018673053103639647
layer 0,parity_abq,ordered_a,1.0,16,-0.01737971252577547,0.0042691866143663715,0.028272208638489615,0.00584104456300142,-0.0029172384296970444,0.01187720915700785
layer 0,parity_abq,ordered_a,1.25,16,-0.005976045175477618,-0.0009637880706485635,0.01721868341902122,0.002232272302496681,-0.0038235604598715334,0.008689688178887323
layer 0,parity_abq,ordered_a,1.5,16,-0.003904437985051301,0.0006838288370238366,0.00567115788684186,0.0015841563647031737,-0.0012404191770916118,0.0008149129110875952
layer 0,parity_abq,ordered_a,2.0,16,0.0,1.4649473855266049e-05,0.0003419989233157672,0.0017627321757950135,5.964742866293449e-08,3.228164880431095e-05
layers 4/20/39,parity_abq,ordered_a,0.25,54,-0.05544034452705357,-0.005920398219239453,0.08633710010383831,0.009165548204339501,-0.013657628752587803,0.017439354511029157
layers 4/20/39,parity_abq,ordered_a,0.5,54,-0.056718501837223184,-0.007367361194446809,0.053629116647269666,-0.0024031656827823156,-0.010315602371948729,0.002397344646300148
layers 4/20/39,parity_abq,ordered_a,0.75,54,-0.024068256738333876,-0.0007159933004106112,0.03209310936985144,0.0010272956107150013,-0.002629468323019468,0.002552663697529156
layers 4/20/39,parity_abq,ordered_a,1.0,54,-0.021643616296511303,7.346021106946488e-05,0.0241791344173986,0.0010361605362351077,-0.003540593242759127,0.0021465733639951523
layers 4/20/39,parity_abq,ordered_a,1.25,54,-0.015345244848380945,0.00036236289631941254,0.008829596119904717,-0.0007891889176580651,-0.0004589115799209509,0.0011741223433687775
layers 4/20/39,parity_abq,ordered_a,1.5,54,-0.007913821819371036,0.0012955891845292666,0.007595822632080798,0.0015664732219746878,-0.0003240363773783228,0.002914816818802519
layers 4/20/39,parity_abq,ordered_a,2.0,54,0.0,8.812224591281392e-05,0.0013872686623007558,0.00046306915270469777,1.5425671383684225e-05,0.0003018669116086614
