group,policy,budget_bpw,invocations,requests,p10_recovery,median_recovery,p90_recovery,mean_recovery,median_ci_low,median_ci_high,median_logical_bpw,median_physical_bpw,median_page_amplification
all four layers,bidirectional_ab,0.25,70,6,0.4125237130617267,0.6090035521448908,0.8340630282161065,0.6184994480569067,0.5621172773279902,0.6745932166239679,0.25,0.25,1.0
all four layers,bidirectional_ab,0.5,70,6,0.6153139761592209,0.7880842843820564,0.9526607971782853,0.7803289899584125,0.7655080164071135,0.8298427752788765,0.4998372395833333,0.5,1.000325626831651
all four layers,bidirectional_ab,0.75,70,6,0.7536012431479192,0.8685029055535392,0.9762125080917875,0.8634765918142868,0.8513411926354887,0.8997689631054872,0.7496744791666666,0.75,1.0004342162396873
all four layers,bidirectional_ab,1.0,70,6,0.8545207752776762,0.9205218781576696,0.9877461180162895,0.9174474483799688,0.9136279354040202,0.9302373717831325,0.99951171875,1.0,1.0004885197850513
all four layers,bidirectional_ab,1.25,70,6,0.92551203885977,0.9557056738055796,0.9932494798843866,0.9559990541634934,0.9523035558357245,0.9614357228127878,1.2494303385416665,1.25,1.0004559411947858
all four layers,bidirectional_ab,1.5,70,6,0.9605739429516971,0.9821069110525448,0.997632556887189,0.9797859365030025,0.9802508253689832,0.9845499456647725,1.4993489583333333,1.5,1.0004342162396873
all four layers,bidirectional_ab,2.0,70,6,0.9999999999993742,0.9999999999996961,0.9999999999998535,0.9999999999996276,0.9999999999995897,0.9999999999997219,1.9993489583333333,2.0,1.000325626831651
all four layers,ordered_a,0.25,70,6,0.40660908141053015,0.6195087305552504,0.8293039947721637,0.6192119903255863,0.5734523397330898,0.6875621999940728,0.25,0.25,1.0
all four layers,ordered_a,0.5,70,6,0.610195526446594,0.7990242005114053,0.9514309390817799,0.7798556779815028,0.7655129220632682,0.8298427752788765,0.4998372395833333,0.5,1.000325626831651
all four layers,ordered_a,0.75,70,6,0.7495688693772433,0.8670581863835847,0.9773508768689408,0.8625229332864444,0.8515412681381211,0.8996605610355874,0.7496744791666666,0.75,1.0004342162396873
all four layers,ordered_a,1.0,70,6,0.8546341998099782,0.9170678927351581,0.987703733784352,0.9158415620961516,0.9140847542403749,0.9261216692490587,0.99951171875,1.0,1.0004885197850513
