representation_label,layer,physical_budget_bpw,recovery_n,recovery_p10,recovery_median,recovery_p90,recovery_min,recovery_max,physical_pages_median,physical_bytes_median,physical_bpw_median,logical_actions_median,logical_bytes_median,logical_bpw_median,page_amplification_median,selector_runtime_ms_median,selector_bytes_read_median,selector_metadata_bpw_median,storage_multiplier_median,gate_up_actions_median,down_actions_median,path_actions_evaluated_median
PR7 independent-unit score,0,0.0625,7,0.5530355278768595,0.6612641688201732,0.7547616737533539,0.4639441364251474,0.7725683519703135,48.0,24576.0,0.0625,16.0,24576.0,0.0625,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,0.125,7,0.7509464924242024,0.7930655913941507,0.8684317295872761,0.733828075071227,0.8802100664608629,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,0.25,7,0.9010587695204236,0.9163365233272467,0.9685960200499067,0.8963703505686699,0.9726567305169553,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,0.375,7,0.9528371343377156,0.9628739271007742,0.9782231563420664,0.9508218658460449,0.9804942596114715,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,0.5,7,0.9782517022579723,0.9880463931518088,0.9950695249168492,0.9673390063535715,0.9960808941884394,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,0.75,7,0.9991452759033187,0.9996297957236909,0.9998573570275501,0.9990944935967576,0.9999151822558473,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,1.0,7,1.0,1.0,1.0,1.0,1.0,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,1.25,7,1.0,1.0,1.0,1.0,1.0,960.0,491520.0,1.25,320.0,491520.0,1.25,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,1.5,7,1.0,1.0,1.0,1.0,1.0,1152.0,589824.0,1.5,384.0,589824.0,1.5,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0,2.0,7,1.0,1.0,1.0,1.0,1.0,1536.0,786432.0,2.0,512.0,786432.0,2.0,1.0,5.013696849346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.0625,16,0.2691191641853386,0.41443150990166105,0.6317403026245276,0.2615856646976491,0.7721748819293979,48.0,24576.0,0.0625,16.0,24576.0,0.0625,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.125,16,0.341490226949635,0.5038693466344519,0.7211666966634798,0.18973561459091814,0.7646484784070393,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.25,16,0.45138583980633606,0.639635247536531,0.8174246715979999,0.39464685402080024,0.8449895098866861,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.375,16,0.5421919857213964,0.7565233482635898,0.8522957894234398,0.5117444868206682,0.904324347562754,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.5,16,0.7112981103095819,0.8206272901172107,0.9067930078756493,0.5693636976005678,0.931926707350743,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,0.75,16,0.837280156669286,0.8887556964766803,0.9525220320988761,0.715959753737178,0.9642969596860312,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,1.0,16,0.9022552869571403,0.9477832379240614,0.9746771144635676,0.8798964100086705,0.9824270320731346,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,1.25,16,0.9605957056982317,0.9779573022808784,0.9890217340599771,0.9233361913309582,0.9935711339745589,960.0,491520.0,1.25,320.0,491520.0,1.25,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,1.5,16,0.9857337702868155,0.9917108522369134,0.9964579099149864,0.9827254105264175,0.9975633609931244,1152.0,589824.0,1.5,384.0,589824.0,1.5,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,4,2.0,16,1.0,1.0,1.0,1.0,1.0,1536.0,786432.0,2.0,512.0,786432.0,2.0,1.0,5.257837474346161,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.0625,16,-0.2108876359603904,0.2677105246730735,0.48296386393500534,-0.44683531377030294,0.5835769257205785,48.0,24576.0,0.0625,16.0,24576.0,0.0625,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.125,16,0.06250749935785921,0.4154040616629214,0.5778673590087364,-0.08429506060540692,0.6225848321132849,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.25,16,0.31179333249321406,0.6265122596551629,0.7265942657792351,0.16573721351935433,0.739577812225239,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.375,16,0.5112207164099603,0.6960903693327177,0.7728007857050082,0.4506648523626626,0.7933999297729588,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.5,16,0.6295927335034005,0.7613705320243915,0.8613617955449049,0.5606038801680917,0.8877669928950052,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,0.75,16,0.8156769606928758,0.8760361217655543,0.9324330132874629,0.7596009279722917,0.9428301330123735,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,20,1.0,16,0.9104990848269257,0.933509520378686,0.959625764460571,0.8751018392051053,0.965885894504138,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,6.447720341384411,8388608.0,0.0,1.4705882352941178,,,
