representation_label,physical_budget_bpw,recovery_n,recovery_p10,recovery_median,recovery_p90,recovery_min,recovery_max,physical_pages_median,physical_bytes_median,physical_bpw_median,logical_actions_median,logical_bytes_median,logical_bpw_median,page_amplification_median,selector_runtime_ms_median,selector_bytes_read_median,selector_metadata_bpw_median,storage_multiplier_median,gate_up_actions_median,down_actions_median,path_actions_evaluated_median
PR7 independent-unit score,0.0625,55,0.04868805451332282,0.43580730799768863,0.7644474381183264,-0.44683531377030294,0.941448230654968,48.0,24576.0,0.0625,16.0,24576.0,0.0625,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0.125,55,0.2682768919648336,0.5597531654967661,0.8356284666792998,-0.08429506060540692,0.9661373671979128,96.0,49152.0,0.125,32.0,49152.0,0.125,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0.25,55,0.4900183195011441,0.695904933361251,0.913424310580758,0.16573721351935433,0.9892330664426452,192.0,98304.0,0.25,64.0,98304.0,0.25,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0.375,55,0.555807883291489,0.7908535494437381,0.9607312325892869,0.4506648523626626,0.9931717554350817,288.0,147456.0,0.375,96.0,147456.0,0.375,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0.5,55,0.7179991499200172,0.8656589970731902,0.9876665069709233,0.5606038801680917,0.9960808941884394,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,0.75,55,0.8388049711516452,0.9258120628176464,0.9991452759033187,0.715959753737178,0.9999151822558473,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,1.0,55,0.9150146729817187,0.9582892117517475,1.0,0.8751018392051053,1.0,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,1.25,55,0.9651722356109719,0.9828427878681996,1.0,0.9233361913309582,1.0,960.0,491520.0,1.25,320.0,491520.0,1.25,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,1.5,55,0.9876694753859652,0.9940924285379208,1.0,0.9827254105264175,1.0,1152.0,589824.0,1.5,384.0,589824.0,1.5,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
PR7 independent-unit score,2.0,55,1.0,1.0,1.0,1.0,1.0,1536.0,786432.0,2.0,512.0,786432.0,2.0,1.0,5.66936656832695,8388608.0,0.0,1.4705882352941178,,,
coherent complete-unit packet,0.5,55,0.7179991499200176,0.8656589970731903,0.9876665069709231,0.5606038801680924,0.9960808941884393,384.0,196608.0,0.5,128.0,196608.0,0.5,1.0,2.1270476281642914,8388608.0,0.0,1.4705882352941178,128.0,128.0,
coherent complete-unit packet,0.75,55,0.8388049711516448,0.9258120628176464,0.999145275903319,0.7159597537371793,0.9999151822558473,576.0,294912.0,0.75,192.0,294912.0,0.75,1.0,2.9870178550481796,8388608.0,0.0,1.4705882352941178,192.0,192.0,
coherent complete-unit packet,1.0,55,0.9150146729817183,0.9582892117517472,1.0,0.8751018392051054,1.0,768.0,393216.0,1.0,256.0,393216.0,1.0,1.0,4.014462232589722,8388608.0,0.0,1.4705882352941178,256.0,256.0,
exact 64x16 tile,0.25,55,0.7838556721045243,0.8642470253766308,0.9501866838019717,0.6819756288189587,0.9937295284180789,192.0,98304.0,0.25,192.0,98304.0,0.25,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0.5,55,0.893323818056617,0.9386850413095122,0.9792881576730765,0.8419686719217232,0.9969109501885587,384.0,196608.0,0.5,384.0,196608.0,0.5,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,0.75,55,0.9262094962407221,0.9605891789502987,0.9817321591929514,0.887557607523121,0.9976258871300876,576.0,294912.0,0.75,576.0,294912.0,0.75,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,1.0,55,0.9351834099261213,0.9660252450754732,0.9819135785763975,0.9114936512392582,0.9977293746668979,768.0,393216.0,1.0,768.0,393216.0,1.0,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,1.25,55,0.9476976838425971,0.9718505420853019,0.9843437872051422,0.9202818731591171,0.9981956615803219,960.0,491520.0,1.25,960.0,491520.0,1.25,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
exact 64x16 tile,1.5,55,0.9543657934331425,0.9786865005736138,0.9880068832414037,0.9245508952155632,0.9982789188470319,1152.0,589824.0,1.5,1152.0,589824.0,1.5,1.0,1395.575505681336,25174016.0,0.0,1.4705882352941178,,,
factorized G/D fixed-greedy,0.5,55,0.8271370184621551,0.9015412349953803,0.9587169008700148,0.779085746759468,0.99543988280282,384.0,196608.0,0.5,281.0,196608.0,0.5,1.0,240.83763733506203,33554432.0,0.0,1.4705882352941178,103.0,178.0,281.0
factorized G/D fixed-greedy,0.75,55,0.8583822505424018,0.9232276108381623,0.9625743991531444,0.8107552685082944,0.9960849834619111,576.0,294912.0,0.75,413.0,294912.0,0.75,1.0,250.0841487199068,33554432.0,0.0,1.4705882352941178,163.0,250.0,413.0
factorized G/D fixed-greedy,1.0,55,0.8698418590619473,0.9328098836655759,0.9654314070314003,0.8186466711453779,0.9963388673653795,768.0,393216.0,1.0,536.0,393216.0,1.0,1.0,320.8846431225538,33554432.0,0.0,1.4705882352941178,229.0,308.0,538.0
