training_cohort,basis_variant,rank,synthesis_encoding,n,delta_gate_relative_mse_median,delta_up_relative_mse_median,hidden_q4_relative_mse_p10,hidden_q4_relative_mse_median,hidden_q4_relative_mse_p90,unit_score_ndcg_192_median,utility_weighted_recall_192_p10,utility_weighted_recall_192_median,predictor_runtime_ms_median
combined_exact_and_cross_train,layer_shared_joint_gate_up,8,fp16,69,0.7608046163573049,0.8016814101776829,0.09604656500239059,0.15315727225022,0.20543232809596693,0.7997627665114061,0.8185357787020747,0.8884628709835661,0.1369435340166092
combined_exact_and_cross_train,layer_shared_joint_gate_up,8,fp8_e4m3fn_per_row,69,0.7622406119218994,0.8017194050799612,0.0962156759323811,0.15306452651885447,0.20509855925739315,0.8036770500066552,0.8184074848031838,0.888462870983566,0.13434141874313354
combined_exact_and_cross_train,layer_shared_joint_gate_up,8,int8_per_row,69,0.7610810275092947,0.8016978231935097,0.09590713084996987,0.1530268782111851,0.2054745227077034,0.7982396150420392,0.8185357787020747,0.8884628709835661,0.13405084609985352
combined_exact_and_cross_train,layer_shared_joint_gate_up,16,fp16,69,0.7173846519242427,0.7728670996096471,0.08825466407790883,0.14563482147032983,0.19361048839467732,0.8202389839104415,0.8337339462655105,0.8928854940956771,0.13596005737781525
combined_exact_and_cross_train,layer_shared_joint_gate_up,16,fp8_e4m3fn_per_row,69,0.717153989356172,0.7731528940399648,0.08866227196734587,0.1457276907125505,0.19364738723476796,0.8199707668231577,0.8340714003940696,0.8946828231436137,0.13699010014533997
combined_exact_and_cross_train,layer_shared_joint_gate_up,16,int8_per_row,69,0.7174875763421387,0.7726857500069267,0.08830812535619685,0.14553488704605816,0.19354865548176253,0.8202306882837032,0.8337339462655103,0.8928854940956771,0.13663992285728455
combined_exact_and_cross_train,layer_shared_joint_gate_up,32,fp16,69,0.6736143692370465,0.7143313512922566,0.08355470090340568,0.13238761326103102,0.18716233303842286,0.8366413512119822,0.8403889409532753,0.8967701768929075,0.14405883848667145
combined_exact_and_cross_train,layer_shared_joint_gate_up,32,fp8_e4m3fn_per_row,69,0.6738469103860595,0.714829831489794,0.08388944627554375,0.13226414366973194,0.18713357400217667,0.8373467020519346,0.8435264641745677,0.8967188005791661,0.14447979629039764
combined_exact_and_cross_train,layer_shared_joint_gate_up,32,int8_per_row,69,0.6737326976509194,0.7142089434651925,0.08358851858197416,0.13229158210578806,0.1871655060079187,0.8382518976392515,0.8403889409532752,0.8967188005791661,0.14363043010234833
combined_exact_and_cross_train,layer_shared_joint_gate_up,64,fp16,69,0.6246639806559638,0.6717888514421234,0.07737073152934747,0.12792220711841581,0.17934066805876853,0.8574124539958882,0.8450887974445078,0.9142171054391814,0.16270019114017487
combined_exact_and_cross_train,layer_shared_joint_gate_up,64,fp8_e4m3fn_per_row,69,0.6242321532423638,0.6725117637985355,0.0772001828283921,0.1278919593501432,0.17953582525217796,0.8575570809886365,0.8447485620074492,0.9113387824775963,0.161830335855484
