layout_id,metric,target,minimum_total_bpw
q2q4_monolithic_same_solver_reference,median,0.99,0.5391031901041666
q2q4_monolithic_same_solver_reference,median,0.995,0.6849365234375
q2q4_monolithic_same_solver_reference,median,0.998,0.8854573567708334
q2q4_monolithic_same_solver_reference,median,0.999,1.0391031901041667
q2q4_monolithic_same_solver_reference,p10,0.99,0.8099365234375
q2q4_monolithic_same_solver_reference,p10,0.995,0.9557698567708334
q3_ideal_logical_256_byte_plane_ceiling,median,0.99,0.4766031901041667
q3_ideal_logical_256_byte_plane_ceiling,median,0.995,0.6016031901041666
q3_ideal_logical_256_byte_plane_ceiling,median,0.998,0.7891031901041666
q3_ideal_logical_256_byte_plane_ceiling,median,0.999,0.9219156901041666
q3_ideal_logical_256_byte_plane_ceiling,p10,0.99,0.7057698567708334
q3_ideal_logical_256_byte_plane_ceiling,p10,0.995,0.8516031901041666
q3_physical_fixed_gate_up_pairing,median,0.99,0.5182698567708334
q3_physical_fixed_gate_up_pairing,median,0.995,0.6849365234375
q3_physical_fixed_gate_up_pairing,median,0.998,0.8646240234375
q3_physical_fixed_gate_up_pairing,median,0.999,1.0182698567708333
q3_physical_fixed_gate_up_pairing,p10,0.99,0.7891031901041666
q3_physical_fixed_gate_up_pairing,p10,0.995,0.9349365234375
q3_physical_training_coselection_replicated2,median,0.99,0.5183512369791666
q3_physical_training_coselection_replicated2,median,0.995,0.6850179036458334
q3_physical_training_coselection_replicated2,median,0.998,0.8594970703125
q3_physical_training_coselection_replicated2,median,0.999,1.0131429036458333
q3_physical_training_coselection_replicated2,p10,0.99,0.7891845703125
q3_physical_training_coselection_replicated2,p10,0.995,0.9298095703125
q3_physical_training_coselection_single,median,0.99,0.5391438802083334
q3_physical_training_coselection_single,median,0.995,0.6849772135416666
q3_physical_training_coselection_single,median,0.998,0.8672688802083334
q3_physical_training_coselection_single,median,0.999,1.0131022135416667
q3_physical_training_coselection_single,p10,0.99,0.7891438802083334
q3_physical_training_coselection_single,p10,0.995,0.9297688802083334
