layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q2q4_monolithic_same_solver_reference,384,50.380859375,50.380859375,61.455078125,61.455078125,79.8056640625,383.283203125
q2q4_monolithic_same_solver_reference,416,54.4189453125,54.4189453125,66.7080078125,66.7080078125,86.466796875,415.1875
q2q4_monolithic_same_solver_reference,448,58.4130859375,58.4130859375,72.138671875,72.138671875,93.0693359375,447.2421875
q2q4_monolithic_same_solver_reference,480,62.3466796875,62.3466796875,77.4921875,77.4921875,99.8681640625,479.4140625
q2q4_monolithic_same_solver_reference,512,66.1845703125,66.1845703125,82.96875,82.96875,106.5634765625,511.43359375
q2q4_monolithic_same_solver_reference,544,70.0703125,70.0703125,88.4892578125,88.4892578125,113.1494140625,543.41796875
q2q4_monolithic_same_solver_reference,576,74.1689453125,74.1689453125,93.84375,93.84375,119.75,575.525390625
q2q4_monolithic_same_solver_reference,608,78.1357421875,78.1357421875,99.21484375,99.21484375,126.3828125,607.466796875
q2q4_monolithic_same_solver_reference,640,82.1806640625,82.1806640625,104.81640625,104.81640625,132.7216796875,639.4375
q2q4_monolithic_same_solver_reference,672,86.1357421875,86.1357421875,110.439453125,110.439453125,139.142578125,671.435546875
q2q4_monolithic_same_solver_reference,704,90.0595703125,90.0595703125,115.951171875,115.951171875,145.71875,703.458984375
q2q4_monolithic_same_solver_reference,736,94.1142578125,94.1142578125,121.365234375,121.365234375,152.2490234375,735.45703125
q2q4_monolithic_same_solver_reference,768,97.9970703125,97.9970703125,127.0029296875,127.0029296875,158.779296875,767.55859375
q2q4_monolithic_same_solver_reference,800,102.2421875,102.2421875,132.486328125,132.486328125,165.0341796875,799.525390625
q2q4_monolithic_same_solver_reference,832,106.2568359375,106.2568359375,138.1845703125,138.1845703125,171.3916015625,831.666015625
q2q4_monolithic_same_solver_reference,864,110.412109375,110.412109375,143.701171875,143.701171875,177.693359375,863.61328125
q2q4_monolithic_same_solver_reference,896,114.5478515625,114.5478515625,149.28515625,149.28515625,184.017578125,895.701171875
q2q4_monolithic_same_solver_reference,928,118.7490234375,118.7490234375,154.9013671875,154.9013671875,190.171875,927.64453125
q2q4_monolithic_same_solver_reference,960,122.9013671875,122.9013671875,160.3662109375,160.3662109375,196.541015625,959.6171875
q2q4_monolithic_same_solver_reference,992,127.2548828125,127.2548828125,165.7861328125,165.7861328125,202.736328125,991.5546875
q2q4_monolithic_same_solver_reference,1024,131.744140625,131.744140625,171.4189453125,171.4189453125,208.595703125,1023.517578125
q2q4_monolithic_same_solver_reference,1056,136.26953125,136.26953125,176.8984375,176.8984375,214.60546875,1055.546875
q2q4_monolithic_same_solver_reference,1088,140.48046875,140.48046875,182.5126953125,182.5126953125,220.75390625,1087.494140625
q2q4_monolithic_same_solver_reference,1120,144.87890625,144.87890625,188.2138671875,188.2138671875,226.6787109375,1119.54296875
q2q4_monolithic_same_solver_reference,1152,149.3662109375,149.3662109375,193.7451171875,193.7451171875,232.6376953125,1151.498046875
q2q4_monolithic_same_solver_reference,1184,153.7470703125,153.7470703125,199.3408203125,199.3408203125,238.7265625,1183.62890625
q2q4_monolithic_same_solver_reference,1216,158.1259765625,158.1259765625,204.9501953125,204.9501953125,244.701171875,1215.5546875
q2q4_monolithic_same_solver_reference,1248,162.70703125,162.70703125,210.62109375,210.62109375,250.4599609375,1247.576171875
q2q4_monolithic_same_solver_reference,1280,167.376953125,167.376953125,216.0859375,216.0859375,256.3134765625,1279.552734375
q2q4_monolithic_same_solver_reference,1284,167.9990234375,167.9990234375,216.830078125,216.830078125,256.994140625,1283.646484375
q2q4_monolithic_same_solver_reference,1288,168.626953125,168.626953125,217.44921875,217.44921875,257.708984375,1287.5703125
q2q4_monolithic_same_solver_reference,1292,169.2314453125,169.2314453125,218.2236328125,218.2236328125,258.3857421875,1291.681640625
q2q4_monolithic_same_solver_reference,1296,169.7568359375,169.7568359375,218.98046875,218.98046875,259.0791015625,1295.6328125
q2q4_monolithic_same_solver_reference,1300,170.3876953125,170.3876953125,219.5869140625,219.5869140625,259.806640625,1299.5625
q2q4_monolithic_same_solver_reference,1304,171.033203125,171.033203125,220.3125,220.3125,260.45703125,1303.60546875
q2q4_monolithic_same_solver_reference,1308,171.6220703125,171.6220703125,220.9912109375,220.9912109375,261.158203125,1307.54296875
q2q4_monolithic_same_solver_reference,1312,172.203125,172.203125,221.828125,221.828125,261.7705078125,1311.603515625
q2q4_monolithic_same_solver_reference,1316,172.8984375,172.8984375,222.4111328125,222.4111328125,262.50390625,1315.626953125
q2q4_monolithic_same_solver_reference,1320,173.3359375,173.3359375,223.1748046875,223.1748046875,263.291015625,1319.603515625
q2q4_monolithic_same_solver_reference,1324,174.009765625,174.009765625,223.837890625,223.837890625,263.939453125,1323.57421875
q2q4_monolithic_same_solver_reference,1328,174.5322265625,174.5322265625,224.6240234375,224.6240234375,264.6826171875,1327.677734375
q2q4_monolithic_same_solver_reference,1332,175.171875,175.171875,225.248046875,225.248046875,265.392578125,1331.625
q2q4_monolithic_same_solver_reference,1336,175.736328125,175.736328125,225.927734375,225.927734375,266.14453125,1335.6171875
q2q4_monolithic_same_solver_reference,1340,176.376953125,176.376953125,226.6435546875,226.6435546875,266.759765625,1339.560546875
