layout_id,metric,target,minimum_total_bpw
q2q4_monolithic_same_solver_reference,median,0.99,
q2q4_monolithic_same_solver_reference,median,0.995,
q2q4_monolithic_same_solver_reference,median,0.998,
q2q4_monolithic_same_solver_reference,median,0.999,
q2q4_monolithic_same_solver_reference,p10,0.99,
q2q4_monolithic_same_solver_reference,p10,0.995,
q3_ideal_logical_256_byte_plane_ceiling,median,0.99,
q3_ideal_logical_256_byte_plane_ceiling,median,0.995,
q3_ideal_logical_256_byte_plane_ceiling,median,0.998,
q3_ideal_logical_256_byte_plane_ceiling,median,0.999,
q3_ideal_logical_256_byte_plane_ceiling,p10,0.99,
q3_ideal_logical_256_byte_plane_ceiling,p10,0.995,
q3_physical_fixed_gate_up_pairing,median,0.99,
q3_physical_fixed_gate_up_pairing,median,0.995,
q3_physical_fixed_gate_up_pairing,median,0.998,
q3_physical_fixed_gate_up_pairing,median,0.999,
q3_physical_fixed_gate_up_pairing,p10,0.99,
q3_physical_fixed_gate_up_pairing,p10,0.995,
q3_physical_training_coselection_replicated2,median,0.99,
q3_physical_training_coselection_replicated2,median,0.995,
q3_physical_training_coselection_replicated2,median,0.998,
q3_physical_training_coselection_replicated2,median,0.999,
q3_physical_training_coselection_replicated2,p10,0.99,
q3_physical_training_coselection_replicated2,p10,0.995,
q3_physical_training_coselection_single,median,0.99,
q3_physical_training_coselection_single,median,0.995,
q3_physical_training_coselection_single,median,0.998,
q3_physical_training_coselection_single,median,0.999,
q3_physical_training_coselection_single,p10,0.99,
q3_physical_training_coselection_single,p10,0.995,
