layout_id,mean_budget_quanta_per_expert,gate_q3_or_above_mean,gate_q4_mean,up_q3_or_above_mean,up_q4_mean,down_q4_mean,selected_quanta_mean
q2q4_monolithic_same_solver_reference,384,50.923828125,50.923828125,61.8466796875,61.8466796875,78.8935546875,383.328125
q2q4_monolithic_same_solver_reference,416,54.912109375,54.912109375,67.2265625,67.2265625,85.498046875,415.2734375
q2q4_monolithic_same_solver_reference,448,58.806640625,58.806640625,72.54296875,72.54296875,92.3740234375,447.447265625
q2q4_monolithic_same_solver_reference,480,62.857421875,62.857421875,77.953125,77.953125,98.8681640625,479.357421875
q2q4_monolithic_same_solver_reference,512,66.6943359375,66.6943359375,83.5615234375,83.5615234375,105.4287109375,511.369140625
q2q4_monolithic_same_solver_reference,544,70.783203125,70.783203125,89.0361328125,89.0361328125,111.84375,543.326171875
q2q4_monolithic_same_solver_reference,576,74.638671875,74.638671875,94.666015625,94.666015625,118.341796875,575.29296875
q2q4_monolithic_same_solver_reference,608,78.69140625,78.69140625,100.251953125,100.251953125,124.7578125,607.40234375
q2q4_monolithic_same_solver_reference,640,82.6943359375,82.6943359375,105.8974609375,105.8974609375,131.125,639.43359375
q2q4_monolithic_same_solver_reference,672,86.6572265625,86.6572265625,111.416015625,111.416015625,137.59765625,671.341796875
q2q4_monolithic_same_solver_reference,704,90.7890625,90.7890625,117.099609375,117.099609375,143.734375,703.24609375
q2q4_monolithic_same_solver_reference,736,94.8896484375,94.8896484375,122.748046875,122.748046875,150.0771484375,735.4296875
q2q4_monolithic_same_solver_reference,768,99.0947265625,99.0947265625,128.3115234375,128.3115234375,156.296875,767.40625
q2q4_monolithic_same_solver_reference,800,103.2724609375,103.2724609375,133.87890625,133.87890625,162.5703125,799.443359375
q2q4_monolithic_same_solver_reference,832,107.4638671875,107.4638671875,139.4619140625,139.4619140625,168.8193359375,831.490234375
q2q4_monolithic_same_solver_reference,864,111.60546875,111.60546875,144.8974609375,144.8974609375,175.0859375,863.177734375
q2q4_monolithic_same_solver_reference,896,115.947265625,115.947265625,150.48828125,150.48828125,181.1630859375,895.197265625
q2q4_monolithic_same_solver_reference,928,120.18359375,120.18359375,156.1865234375,156.1865234375,187.265625,927.271484375
q2q4_monolithic_same_solver_reference,960,124.6181640625,124.6181640625,161.7666015625,161.7666015625,193.240234375,959.25
q2q4_monolithic_same_solver_reference,992,128.8955078125,128.8955078125,167.3916015625,167.3916015625,199.2314453125,991.037109375
q2q4_monolithic_same_solver_reference,1024,133.412109375,133.412109375,173.1396484375,173.1396484375,205.068359375,1023.240234375
q2q4_monolithic_same_solver_reference,1056,137.9013671875,137.9013671875,178.7275390625,178.7275390625,211.0078125,1055.2734375
q2q4_monolithic_same_solver_reference,1088,142.55078125,142.55078125,184.197265625,184.197265625,216.8359375,1087.16796875
q2q4_monolithic_same_solver_reference,1120,146.9912109375,146.9912109375,189.919921875,189.919921875,222.6796875,1119.181640625
q2q4_monolithic_same_solver_reference,1152,151.5634765625,151.5634765625,195.5595703125,195.5595703125,228.435546875,1151.1171875
