method,target_recovery,n,success_fraction,actions_p10,actions_median,actions_p90,action_bpw_median,physically_encoded
activation_pca_full_int2,0.9,55,0.0,,,,,True
activation_pca_full_int2,0.95,55,0.0,,,,,True
activation_pca_full_int2,0.99,55,0.0,,,,,True
activation_pca_rank1024_int4,0.9,55,0.0,,,,,True
activation_pca_rank1024_int4,0.95,55,0.0,,,,,True
activation_pca_rank1024_int4,0.99,55,0.0,,,,,True
block_ajd_full_int2,0.9,55,0.0,,,,,True
block_ajd_full_int2,0.95,55,0.0,,,,,True
block_ajd_full_int2,0.99,55,0.0,,,,,True
block_ajd_rank1024_int4,0.9,55,0.0,,,,,True
block_ajd_rank1024_int4,0.95,55,0.0,,,,,True
block_ajd_rank1024_int4,0.99,55,0.0,,,,,True
identity_full_int2,0.9,55,0.0,,,,,True
identity_full_int2,0.95,55,0.0,,,,,True
identity_full_int2,0.99,55,0.0,,,,,True
identity_paired_int4,0.9,55,1.0,799.2,878.0,952.0,1.1432291666666667,True
identity_paired_int4,0.95,55,1.0,1129.0,1178.0,1257.4,1.5338541666666667,True
identity_paired_int4,0.99,55,0.0,,,,,True
native_row_diagonal,0.9,55,1.0,313.2,758.0,835.6,0.9869791666666666,True
native_row_diagonal,0.95,55,1.0,364.4,875.0,922.6,1.1393229166666667,True
native_row_diagonal,0.99,55,1.0,417.0,982.0,1000.8,1.2786458333333333,True
native_row_exact_greedy,0.9,55,1.0,955.0,967.0,996.6,1.2591145833333333,True
native_row_exact_greedy,0.95,55,1.0,992.0,1001.0,1014.0,1.3033854166666667,True
native_row_exact_greedy,0.99,55,1.0,1017.0,1020.0,1023.0,1.328125,True
per_expert_joint_rank1024_fp32_oracle,0.9,55,1.0,185.6,375.0,387.6,,False
per_expert_joint_rank1024_fp32_oracle,0.95,55,1.0,237.0,493.0,507.6,,False
per_expert_joint_rank1024_fp32_oracle,0.99,55,1.0,317.0,700.0,711.6,,False
per_expert_joint_rank1024_int2,0.9,55,0.0,,,,,True
per_expert_joint_rank1024_int2,0.95,55,0.0,,,,,True
per_expert_joint_rank1024_int2,0.99,55,0.0,,,,,True
per_expert_joint_rank1024_int4,0.9,55,1.0,206.4,420.0,434.6,0.546875,True
per_expert_joint_rank1024_int4,0.95,55,1.0,266.2,581.0,612.8,0.7565104166666666,True
per_expert_joint_rank1024_int4,0.99,55,0.0,,,,,True
per_expert_output_jacobian_train_rank1024_int4,0.9,55,1.0,209.2,470.0,499.2,0.6119791666666666,True
per_expert_output_jacobian_train_rank1024_int4,0.95,55,1.0,282.6,655.0,686.0,0.8528645833333334,True
per_expert_output_jacobian_train_rank1024_int4,0.99,55,0.0,,,,,True
per_expert_separate_rank512_int8,0.9,55,1.0,188.2,414.0,430.0,0.5390625,True
per_expert_separate_rank512_int8,0.95,55,1.0,234.2,531.0,545.0,0.69140625,True
per_expert_separate_rank512_int8,0.99,55,1.0,316.2,729.0,745.6,0.94921875,True
refinement_router_full_int2,0.9,55,0.0,,,,,True
refinement_router_full_int2,0.95,55,0.0,,,,,True
refinement_router_full_int2,0.99,55,0.0,,,,,True
refinement_router_rank1024_int4,0.9,55,0.0,,,,,True
refinement_router_rank1024_int4,0.95,55,0.0,,,,,True
refinement_router_rank1024_int4,0.99,55,0.0,,,,,True
refinement_uniform_full_int2,0.9,55,0.0,,,,,True
refinement_uniform_full_int2,0.95,55,0.0,,,,,True
refinement_uniform_full_int2,0.99,55,0.0,,,,,True
refinement_uniform_rank1024_int4,0.9,55,0.0,,,,,True
refinement_uniform_rank1024_int4,0.95,55,0.0,,,,,True
refinement_uniform_rank1024_int4,0.99,55,0.0,,,,,True
