method,physical_pages,n,isolated_recovery_p10,isolated_recovery_median,isolated_recovery_p90,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90,physically_encoded,budget_semantics
activation_pca_full_int2,64,55,0.30711459882230846,0.41301740571587864,0.5738941645941861,0.1015123496493362,0.4332214004659688,0.6796417214375409,True,physical_512_byte_pages
activation_pca_full_int2,128,55,0.393187631421069,0.521081544805299,0.6366130443226019,0.2711841772244335,0.49153336119625957,0.7285129833706946,True,physical_512_byte_pages
activation_pca_full_int2,256,55,0.5280375821830905,0.6383469058976516,0.7237820180274295,0.3372316000472442,0.6249086486441484,0.8048978317818779,True,physical_512_byte_pages
activation_pca_full_int2,384,55,0.6401456464172726,0.7273273001023774,0.7783834967587911,0.4328464507374286,0.7159263230124673,0.8571932035314316,True,physical_512_byte_pages
activation_pca_full_int2,512,55,0.7206178883595189,0.7839923661510284,0.8165142780780967,0.535487125566953,0.7527642358683417,0.8795731054377033,True,physical_512_byte_pages
activation_pca_full_int2,688,55,0.7762361706817186,0.8335977998791928,0.8560964394245835,0.5833886318124885,0.8195900429852262,0.8923905836018141,True,physical_512_byte_pages
activation_pca_full_int2,728,55,0.7840479076955015,0.840045955432853,0.8661180545733396,0.6124215748650631,0.8190006980339744,0.9008885987173376,True,physical_512_byte_pages
activation_pca_full_int2,750,55,0.7858948575189074,0.844846117488393,0.868841710874679,0.595387800558295,0.8336025596635689,0.9016803237033423,True,physical_512_byte_pages
activation_pca_full_int2,752,55,0.7855390681172045,0.8450359309154782,0.8692396689743641,0.5999898358171898,0.8307184096954645,0.9018657141388614,True,physical_512_byte_pages
activation_pca_full_int2,758,55,0.7845194167710073,0.8469129247020772,0.8715372533210635,0.6227974944722415,0.8292319405284095,0.9077312116895708,True,physical_512_byte_pages
activation_pca_full_int2,760,55,0.78550230392135,0.8475966450591654,0.8713762879445934,0.6188105181691761,0.8255036448975742,0.9076937303430862,True,physical_512_byte_pages
activation_pca_full_int2,764,55,0.7856327465516542,0.8468342808479881,0.8720769590330787,0.6138993516686648,0.8307609520509098,0.9106989122979814,True,physical_512_byte_pages
activation_pca_full_int2,768,55,0.7863859962764633,0.8468884013303303,0.8724725260810764,0.6161968477401609,0.8257928569876807,0.9106952790104188,True,physical_512_byte_pages
activation_pca_full_int2,1024,55,0.806945120495268,0.8689445847172733,0.8866487816058969,0.6952682910568335,0.8535787800227344,0.919899664385142,True,physical_512_byte_pages
activation_pca_rank1024_int4,64,55,0.2926090657752414,0.4467386321277732,0.6369939666899903,0.12226543683860608,0.48381735672855786,0.7097132129247592,True,physical_512_byte_pages
activation_pca_rank1024_int4,128,55,0.37359571847058204,0.5082381048402611,0.6724616483736222,0.24344230938818825,0.5460910087073592,0.7626632997994078,True,physical_512_byte_pages
activation_pca_rank1024_int4,256,55,0.48002259831561556,0.5785945897151341,0.7206435660193445,0.22150931144361138,0.5932873093806783,0.7896960299810893,True,physical_512_byte_pages
activation_pca_rank1024_int4,384,55,0.5262267524121016,0.6221731792029306,0.7512036099527207,0.29916718480315374,0.634649434822031,0.8278467032360826,True,physical_512_byte_pages
activation_pca_rank1024_int4,512,55,0.559799112527429,0.6435707534601103,0.7703199497640731,0.35080354182890905,0.6681969407574921,0.8407827968310032,True,physical_512_byte_pages
activation_pca_rank1024_int4,688,55,0.5791600895784674,0.6631304584122892,0.779245490431677,0.41000495538103426,0.6883427255627533,0.8429673193954523,True,physical_512_byte_pages
activation_pca_rank1024_int4,728,55,0.5820954135031835,0.6651696105542,0.7809077747852459,0.43668134485171556,0.6810876302766151,0.8444205790955884,True,physical_512_byte_pages
activation_pca_rank1024_int4,750,55,0.5828480431323793,0.6653040640596544,0.7815083607191379,0.4273324853520146,0.6756398832184368,0.8476295114790041,True,physical_512_byte_pages
activation_pca_rank1024_int4,752,55,0.5836624378053247,0.6654326798049578,0.7816901825771101,0.433381487539657,0.6754304814093256,0.8471819155902605,True,physical_512_byte_pages
activation_pca_rank1024_int4,758,55,0.582709679084818,0.6660802327810403,0.781992379268627,0.43500539186895093,0.677270182886557,0.8448040389796206,True,physical_512_byte_pages
activation_pca_rank1024_int4,760,55,0.5823140306734838,0.6661929142125718,0.7819945750953617,0.4330821299002966,0.6770335373103555,0.8447571540367668,True,physical_512_byte_pages
activation_pca_rank1024_int4,764,55,0.5821094665867754,0.6655958157311248,0.7820708477866547,0.4308365776745774,0.6682587151376223,0.8457371220878577,True,physical_512_byte_pages
activation_pca_rank1024_int4,768,55,0.5824730071002326,0.6658971069345706,0.7823382035645238,0.4316981846313072,0.6679924588709223,0.8443088779833665,True,physical_512_byte_pages
activation_pca_rank1024_int4,1024,55,0.589102830730484,0.6681885362334368,0.7849264149970309,0.42163940248193976,0.6595073305693566,0.8486317676191729,True,physical_512_byte_pages
block_ajd_full_int2,64,55,0.2102876656736235,0.2870911812222223,0.35473093602614914,-0.06029926672671565,0.2753774891301619,0.4759676301645451,True,physical_512_byte_pages
block_ajd_full_int2,128,55,0.33513277111775597,0.4037404329307718,0.46358117376069113,0.20989136988115947,0.4116261722160184,0.5818462628602035,True,physical_512_byte_pages
block_ajd_full_int2,256,55,0.48526913263555893,0.5604661055255398,0.6100074410303089,0.35204226210101586,0.5686136750160979,0.7111973276207388,True,physical_512_byte_pages
block_ajd_full_int2,384,55,0.5925257964202063,0.6705003819608331,0.7031620452967011,0.4791601457025418,0.6638509861313677,0.7954114617859968,True,physical_512_byte_pages
block_ajd_full_int2,512,55,0.6600398747559821,0.7441801022884869,0.7706048813893667,0.5222032091271555,0.7223008987395688,0.8359080190070888,True,physical_512_byte_pages
block_ajd_full_int2,688,55,0.7236158716607242,0.8111938373909799,0.8244987036945189,0.6657409681655986,0.7814160095420865,0.8768445840032101,True,physical_512_byte_pages
block_ajd_full_int2,728,55,0.7316068933323403,0.8201393360540461,0.833476941138114,0.6878158056290049,0.7987542545828227,0.8843679647417804,True,physical_512_byte_pages
block_ajd_full_int2,750,55,0.7396341399139678,0.8241287706334112,0.8382064686508294,0.6778409029190472,0.8092609051935321,0.8877935802694588,True,physical_512_byte_pages
block_ajd_full_int2,752,55,0.7400124417961371,0.8240085256071279,0.8386938536516683,0.6844892256859485,0.8100220755027658,0.8852625600972822,True,physical_512_byte_pages
block_ajd_full_int2,758,55,0.7410505139011642,0.8255319274360955,0.8398056589327457,0.6887736370751182,0.8066170680319975,0.8894161137010563,True,physical_512_byte_pages
block_ajd_full_int2,760,55,0.7410299472753598,0.826035379481495,0.8402217477931767,0.6900427352118428,0.8061453066505313,0.8875711284788648,True,physical_512_byte_pages
block_ajd_full_int2,764,55,0.7423209770840177,0.827332552843353,0.8412741453403579,0.6973741336353347,0.8053245656909629,0.8885517694843252,True,physical_512_byte_pages
block_ajd_full_int2,768,55,0.7433489866335078,0.8284302856168433,0.8421688878206267,0.6946939039077098,0.8095764228791609,0.8899649005359317,True,physical_512_byte_pages
block_ajd_full_int2,1024,55,0.7637268486719454,0.8498203995779668,0.8639421585615051,0.7148968053824977,0.8239400596935516,0.906996902420091,True,physical_512_byte_pages
block_ajd_rank1024_int4,64,55,0.13325631759128173,0.18736849702378677,0.24328235982556268,-0.08183441681119791,0.11459661153635703,0.4138612715702102,True,physical_512_byte_pages
block_ajd_rank1024_int4,128,55,0.1944764648518185,0.2775016695043174,0.3365722671745498,0.008556319184808776,0.24309948091397848,0.5173032129768201,True,physical_512_byte_pages
block_ajd_rank1024_int4,256,55,0.2831102956640027,0.36923372752005057,0.41634200345279576,0.09913950117573474,0.38261950515089693,0.6058405604033226,True,physical_512_byte_pages
block_ajd_rank1024_int4,384,55,0.34295426955917807,0.4263549445101146,0.4821934203406323,0.09816396915847447,0.4402558205908318,0.6521090116526364,True,physical_512_byte_pages
block_ajd_rank1024_int4,512,55,0.36092928062459906,0.46098867253869413,0.5068151191474348,0.17407582660158222,0.48584134107905397,0.6705590467459224,True,physical_512_byte_pages
block_ajd_rank1024_int4,688,55,0.3861241465359924,0.4850183405598627,0.5293185743848005,0.07240130317169939,0.5355769574491596,0.6660846578288386,True,physical_512_byte_pages
block_ajd_rank1024_int4,728,55,0.38884762549852314,0.48566910928437923,0.5296398256991339,0.08565105533787931,0.5262160228418388,0.6733926152681117,True,physical_512_byte_pages
block_ajd_rank1024_int4,750,55,0.38961162271359373,0.4866344918073553,0.531875898157524,0.10188798010023942,0.5407057461764306,0.6717205787994113,True,physical_512_byte_pages
block_ajd_rank1024_int4,752,55,0.3906205054315245,0.48705818518964994,0.5319064835084525,0.10707798694527539,0.541916796321354,0.6707181257748764,True,physical_512_byte_pages
block_ajd_rank1024_int4,758,55,0.3916835621510736,0.4877755432710087,0.5325519347119375,0.11629551986445197,0.5406979981681393,0.6726345077077178,True,physical_512_byte_pages
block_ajd_rank1024_int4,760,55,0.3916009468166186,0.48770158575506783,0.5326652685624328,0.11516532263611115,0.5355919997826313,0.6703562341516549,True,physical_512_byte_pages
block_ajd_rank1024_int4,764,55,0.3915227547714317,0.4879356934571568,0.532288453016003,0.11536966314828745,0.5372455356846952,0.6705150994492849,True,physical_512_byte_pages
block_ajd_rank1024_int4,768,55,0.39222606116759406,0.4881451974119889,0.5327235679001454,0.1188206868387966,0.5353672999755124,0.6677192520634385,True,physical_512_byte_pages
block_ajd_rank1024_int4,1024,55,0.39604924432364563,0.49024782752894414,0.5370830868849914,0.11804071155505146,0.5338047444369958,0.6723613656653076,True,physical_512_byte_pages
identity_full_int2,64,55,0.219129551751035,0.2745297597934587,0.3411913086931673,0.08561518940131557,0.3041658122101648,0.5090201525159237,True,physical_512_byte_pages
identity_full_int2,128,55,0.34059193337258725,0.3895244767079826,0.45388673067767576,0.13934444541916818,0.4332838910779855,0.6124495112243069,True,physical_512_byte_pages
identity_full_int2,256,55,0.47630539254245213,0.5449232705369276,0.592273271018455,0.3130643703857401,0.5699037473416789,0.7234648043084398,True,physical_512_byte_pages
identity_full_int2,384,55,0.5710736862717466,0.647821092396123,0.6873383032391303,0.4262512510755816,0.621942901206707,0.7885886922114925,True,physical_512_byte_pages
identity_full_int2,512,55,0.6403151333146939,0.7028145215049446,0.7492421093784174,0.5126915239894356,0.7096079217131733,0.8355685911667033,True,physical_512_byte_pages
identity_full_int2,688,55,0.6944829647669678,0.7660620283495481,0.8031826825883986,0.5348040871602896,0.7386650380356403,0.8686662767538773,True,physical_512_byte_pages
identity_full_int2,728,55,0.7038720882040013,0.7739852554966616,0.8123110182742701,0.5955074457312799,0.7612037683064269,0.8638071307849755,True,physical_512_byte_pages
identity_full_int2,750,55,0.7066945487020674,0.777230158281661,0.8178196071562013,0.6025099700265029,0.7573979371000852,0.8726067079007414,True,physical_512_byte_pages
identity_full_int2,752,55,0.7073144877794759,0.7782610780142875,0.817917585891601,0.6010390927282359,0.7618980501987868,0.8715995350599471,True,physical_512_byte_pages
identity_full_int2,758,55,0.7062091941841024,0.779236350555411,0.8191145883113635,0.6072652804922882,0.7628905762961743,0.8633963866643743,True,physical_512_byte_pages
identity_full_int2,760,55,0.7080555629513573,0.7790984318782382,0.8196343441570586,0.6033732875020017,0.7651019338942879,0.8650774092371387,True,physical_512_byte_pages
identity_full_int2,764,55,0.7107050977860992,0.7800020860890913,0.820658906900241,0.6115226493996196,0.7706148336491694,0.8659156445873709,True,physical_512_byte_pages
identity_full_int2,768,55,0.7126678488982757,0.7806834755882782,0.8203936672011672,0.6148545436131123,0.7619899383240751,0.8649709057663049,True,physical_512_byte_pages
identity_full_int2,1024,55,0.7284981893726614,0.8075869919739702,0.8418254967783154,0.6107777677234948,0.7912551081587452,0.882052744806689,True,physical_512_byte_pages
identity_paired_int4,64,55,0.2653452915901818,0.322781291721979,0.4079519009328438,0.06833299639216567,0.34132180510084653,0.5603305594301459,True,physical_512_byte_pages
identity_paired_int4,128,55,0.3728303610070254,0.4404571077978009,0.516312600973475,0.16648962459840802,0.45814207625625114,0.6961531673950949,True,physical_512_byte_pages
identity_paired_int4,256,55,0.547715790962118,0.5965101997496998,0.6603502695179592,0.28318455343997123,0.6077009902014596,0.7955456147342115,True,physical_512_byte_pages
identity_paired_int4,384,55,0.656077380918435,0.6972681058899739,0.7499358337843605,0.4678380683091385,0.6985920301050788,0.8564667783486575,True,physical_512_byte_pages
identity_paired_int4,512,55,0.736187968769707,0.7716527714494649,0.8100473985383061,0.5914990181074067,0.7686304358529368,0.8849791294706144,True,physical_512_byte_pages
identity_paired_int4,688,55,0.8173721858942937,0.8483181637917292,0.8697678194623004,0.7032058271717082,0.8479350446321033,0.9186015961395954,True,physical_512_byte_pages
identity_paired_int4,728,55,0.8336486360578664,0.8608433067109543,0.8808687941447547,0.7297392195288503,0.8603488382611895,0.9265664352092289,True,physical_512_byte_pages
identity_paired_int4,750,55,0.8434913655533103,0.8687208627472365,0.8871798753514597,0.7587453936916428,0.862043677463008,0.9166084421216333,True,physical_512_byte_pages
