layer,method,physical_pages,n,expert_output_recovery_p10,expert_output_recovery_median,expert_output_recovery_p90
0,activation_pca_full_int2,64,7,0.1265234570259129,0.29332857868387197,0.5478682693919043
0,activation_pca_full_int2,128,7,0.2943830945308332,0.39970049294912113,0.6342754557895797
0,activation_pca_full_int2,256,7,0.4721094858187454,0.5283841405597451,0.6499021688108614
0,activation_pca_full_int2,384,7,0.5381803696828753,0.6530201925893637,0.7077755056824098
0,activation_pca_full_int2,512,7,0.6115963634501664,0.6826116002846248,0.7547855600996594
0,activation_pca_full_int2,688,7,0.6023699668641987,0.7133492199868118,0.8149688292322039
0,activation_pca_full_int2,728,7,0.5962363187106873,0.7011679172134369,0.8331998082558539
0,activation_pca_full_int2,750,7,0.584405101123208,0.7180956619310985,0.8439978699974371
0,activation_pca_full_int2,752,7,0.5859683452864846,0.7144811267200073,0.8451726407961014
0,activation_pca_full_int2,758,7,0.5844674445297509,0.7212860533814198,0.8461885731420322
0,activation_pca_full_int2,760,7,0.5842375667362478,0.7276834927371791,0.8437664703385946
0,activation_pca_full_int2,764,7,0.5952069741765915,0.7284131358307931,0.8389043737472698
0,activation_pca_full_int2,768,7,0.5875221922450798,0.7209837085630051,0.8321735992933506
0,activation_pca_full_int2,1024,7,0.6126548670036087,0.7708925681703641,0.8375777312035378
0,activation_pca_rank1024_int4,64,7,0.3272660781518143,0.49282561710806416,0.6238644857106204
0,activation_pca_rank1024_int4,128,7,0.4650112704459378,0.547358039058523,0.6178706456961287
0,activation_pca_rank1024_int4,256,7,0.4430837507691547,0.6013276669422265,0.7219081971947846
0,activation_pca_rank1024_int4,384,7,0.5045068503606258,0.6220379589047798,0.7703103098843633
0,activation_pca_rank1024_int4,512,7,0.5187043104395148,0.5984991109742218,0.7845017808277535
0,activation_pca_rank1024_int4,688,7,0.5625650771693447,0.6322551518337316,0.8014571937079248
0,activation_pca_rank1024_int4,728,7,0.5866538524668415,0.6064287249078542,0.8027807143733681
0,activation_pca_rank1024_int4,750,7,0.5719979513256879,0.616980628893411,0.7999730636999283
0,activation_pca_rank1024_int4,752,7,0.5721793123394534,0.6171575252438466,0.7983763695599472
