method,target_recovery,n,finite_fraction,diagonal_to_exact_ratio_median,diagonal_to_exact_ratio_p90
block_ajd_full_int2,0.9,4,0.0,,
block_ajd_full_int2,0.95,4,0.0,,
block_ajd_full_int2,0.99,4,0.0,,
block_ajd_rank1024_int4,0.9,4,0.0,,
block_ajd_rank1024_int4,0.95,4,0.0,,
block_ajd_rank1024_int4,0.99,4,0.0,,
identity_full_int2,0.9,4,0.0,,
identity_full_int2,0.95,4,0.0,,
identity_full_int2,0.99,4,0.0,,
identity_paired_int4,0.9,4,1.0,1.7780663234403393,2.419547817047817
identity_paired_int4,0.95,4,1.0,1.4676958353954777,2.3125821650527536
identity_paired_int4,0.99,4,0.0,,
per_expert_joint_rank1024_fp32_oracle,0.9,4,1.0,1.0,1.0
per_expert_joint_rank1024_fp32_oracle,0.95,4,1.0,1.0,1.0
per_expert_joint_rank1024_fp32_oracle,0.99,4,1.0,1.0,1.0
per_expert_joint_rank1024_int2,0.9,4,0.0,,
per_expert_joint_rank1024_int2,0.95,4,0.0,,
per_expert_joint_rank1024_int2,0.99,4,0.0,,
per_expert_joint_rank1024_int4,0.9,4,1.0,1.0590528370804206,1.069752560269703
per_expert_joint_rank1024_int4,0.95,4,1.0,1.0672546366576463,1.0723769808173478
per_expert_joint_rank1024_int4,0.99,4,0.0,,
