method,physically_encoded,budget_semantics,action_payload_bytes,coordinates_per_action,representation_code_bytes,representation_scale_bytes,representation_bytes,basis_scope,basis_storage_bytes,transform_macs,amortized_basis_bytes_per_expert,resident_metadata_bytes_per_expert,resident_metadata_equivalent_bpw,strict_one_bpw_action_pages
activation_pca_full_int2,True,physical_512_byte_pages,512,2,524288,8192,532480,layer_shared,8388608,4194304,32768,40960,0.10416666666666667,688
activation_pca_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,layer_shared,4194304,2097152,16384,20480,0.052083333333333336,728
block_ajd_full_int2,True,physical_512_byte_pages,512,2,524288,8192,532480,layer_shared,135168,65536,528,8720,0.022176106770833332,750
block_ajd_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,layer_shared,133120,32768,520,4616,0.011739095052083334,758
identity_full_int2,True,physical_512_byte_pages,512,2,524288,8192,532480,fixed,0,0,0,8192,0.020833333333333332,752
identity_paired_int4,True,physical_512_byte_pages,512,1,1048576,8192,1056768,fixed,0,0,0,8192,0.020833333333333332,752
native_row_diagonal,True,physical_512_byte_pages,512,1,524288,0,524288,native,0,0,0,0,0.0,768
native_row_exact_greedy,True,physical_512_byte_pages,512,1,524288,0,524288,native,0,0,0,0,0.0,768
per_expert_joint_rank1024_fp32_oracle,False,action_count_only,4096,1,4194304,0,4194304,per_expert,4194304,2097152,4194304,4194304,10.666666666666666,0
per_expert_joint_rank1024_int2,True,physical_512_byte_pages,512,2,262144,4096,266240,per_expert,4194304,2097152,4194304,4198400,10.677083333333334,0
per_expert_joint_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,per_expert,4194304,2097152,4194304,4198400,10.677083333333334,0
per_expert_output_jacobian_train_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,per_expert,4194304,2097152,4194304,4198400,10.677083333333334,0
per_expert_separate_rank512_int8,True,physical_512_byte_pages,512,1,524288,2048,526336,per_expert,4194304,2097152,4194304,4196352,10.671875,0
refinement_router_full_int2,True,physical_512_byte_pages,512,2,524288,8192,532480,layer_shared,8388608,4194304,32768,40960,0.10416666666666667,688
refinement_router_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,layer_shared,4194304,2097152,16384,20480,0.052083333333333336,728
refinement_uniform_full_int2,True,physical_512_byte_pages,512,2,524288,8192,532480,layer_shared,8388608,4194304,32768,40960,0.10416666666666667,688
refinement_uniform_rank1024_int4,True,physical_512_byte_pages,512,1,524288,4096,528384,layer_shared,4194304,2097152,16384,20480,0.052083333333333336,728
