injection_layer,mean_budget_pages_per_expert,charged_bpw,realized_layer_error_energy,layer_output_unchanged_fraction,live_logit_kl,fully_frozen_logit_kl,live_over_frozen_logit_kl,live_final_hidden_mse,fully_frozen_final_hidden_mse,live_over_frozen_final_hidden_mse,first_route_membership_distance_median
0,384,0.5234781901041666,4.8962428956430506e-05,0.4249101000625391,0.002480178703775205,0.000596666271222001,4.156726839436861,0.00018530883815515153,1.6332105192614936e-05,11.346292224406234,1.0
0,576,0.7734781901041666,9.607577178255141e-06,0.6040240184600238,0.002503772010280937,0.0006147856121956406,4.07259369870252,0.00016483479842318874,1.523803169851073e-05,10.817328752459458,2.0
0,749,0.9987386067708334,1.2952572653761527e-06,0.8665509556143489,0.002012703772905891,0.0008809390764019046,2.2847252742227653,0.00016212259531946736,1.725062683923604e-05,9.398069811047348,2.0
0,768,1.0234781901041665,9.918252195382986e-07,0.8916257360862746,0.0025738525230232213,0.0007568958477079732,3.4005372480471965,0.00017204819002617197,1.6154687123368852e-05,10.650047798034576,2.0
1,384,0.5234781901041666,0.0004651220272533855,0.3333071557785139,0.002721420388045693,0.000539884623693772,5.040744389840801,0.0001784026698833879,1.547657825281848e-05,11.527268299819342,1.0
1,576,0.7734781901041666,0.00016529252714219924,0.37064562827963765,0.002533348995044916,0.0006663677560325189,3.8017280579843784,0.0001736303730288052,1.678978290765475e-05,10.34143049876149,1.0
1,749,0.9987386067708334,6.30440826499814e-05,0.42906544526119844,0.0026944083086753255,0.0007276586877616179,3.702846339901074,0.00017597151438570273,1.76133132521789e-05,9.990824092334456,1.0
1,768,1.0234781901041665,5.6953521244124335e-05,0.43552283501162836,0.0029585010525912995,0.0007815398871399209,3.7854767252098447,0.00018651860571594625,1.5434766994040025e-05,12.084316257444538,2.0
4,384,0.5234781901041666,0.0013086052504922884,0.33150283212285997,0.0034344854726891323,0.0007140030883865852,4.810182936953329,0.00018212619799194064,1.9226851533589567e-05,9.472492034057877,1.0
4,576,0.7734781901041666,0.0004643657436106862,0.3681471490054819,0.002830421404309731,0.0004885409119030771,5.793622059786194,0.00018647970675544912,1.6036650309429618e-05,11.62834526894923,1.0
4,749,0.9987386067708334,0.00018108879540511353,0.42304037069066597,0.0031811458434174334,0.0005772896499692529,5.510484803576271,0.00018219281602165955,1.723600353319522e-05,10.57047915259301,1.0
4,768,1.0234781901041665,0.00016253855733641643,0.4310536721559374,0.0023399968124466525,0.0007108895047593784,3.291646306184663,0.00018648514000832702,1.6735197016776677e-05,11.14328918992586,1.0
6,384,0.5234781901041666,0.001649793505902779,0.35404598195527476,0.0025044659074997715,0.0006326621110435995,3.958615292084684,0.00014830237325856967,1.566136679219777e-05,9.469312303728906,1.0
6,576,0.7734781901041666,0.000590258638638238,0.39744499736163225,0.0017487888296607898,0.0005127857884989806,3.4103691422100835,0.00018356800768838286,1.4516341633105414e-05,12.64561087965474,2.0
6,749,0.9987386067708334,0.00022748598457192622,0.4540489211091405,0.0020810376677785625,0.0006669221486712984,3.120360707654695,0.00017727799902189645,1.5083621336357696e-05,11.753013090734648,1.0
6,768,1.0234781901041665,0.00020420164319329666,0.4614145971969786,0.0023721363835140508,0.0006013466792128745,3.9447068812602906,0.0001907759757380425,1.455463372417915e-05,13.107576552827464,1.0
12,384,0.5234781901041666,0.0025597967097239754,0.36693349603267666,0.0025434223098075295,0.0006618339034208988,3.842991869502368,0.0001616425679122296,1.5159351195589723e-05,10.662894857878609,1.0
12,576,0.7734781901041666,0.0009388481241656086,0.410338824894221,0.0011953950665366505,0.0006799141906895632,1.758155783341264,9.703476124203999e-05,1.4294052616295714e-05,6.788470970885962,1.0
12,749,0.9987386067708334,0.00037087933542728833,0.46669167619410573,0.001476779420135972,0.0006281333027398552,2.35106053714141,0.00011089249019588269,1.3271324289379747e-05,8.35579688792801,2.0
12,768,1.0234781901041665,0.0003307800734008853,0.4754675621237883,0.0013889070253188186,0.0005471661283056896,2.5383644079351106,0.00011188354874424145,1.3801849775063602e-05,8.106416934517451,1.0
23,384,0.5234781901041666,0.00386920613563525,0.38020303140512623,0.0015067997955864267,0.0007013548544313137,2.1484128698420424,8.283476263283195e-05,1.3494154299823178e-05,6.138566433460554,1.0
23,576,0.7734781901041666,0.0014445696151133254,0.4240424923780488,0.00123390065775497,0.0006561317557195877,1.8805684178503692,8.931057536446215e-05,1.2580244543869412e-05,7.0992718029463795,2.0
23,749,0.9987386067708334,0.0005932769100270704,0.4827257796926302,0.0016060701659430647,0.0004775142730678953,3.3633971936053646,8.55984747338632e-05,1.1797917135357817e-05,7.2553887056324955,1.0
23,768,1.0234781901041665,0.0005271564429830736,0.49250545919202426,0.002048095900267274,0.0005016510644000305,4.082710165714042,8.127513054422376e-05,1.1390372959981091e-05,7.135423118257462,1.0
39,384,0.5234781901041666,0.040449431381029674,0.3746860869158947,0.000566635739735337,0.000566635739735337,1.0,1.4381495263519769e-05,1.4381495263519769e-05,1.0,
39,576,0.7734781901041666,0.015170315162850723,0.43408899742637,0.0003164878869535972,0.0003164878869535972,1.0,5.392208529222196e-06,5.392208529222196e-06,1.0,
39,749,0.9987386067708334,0.006198554092065513,0.5144167443824753,0.00013383406185854736,0.00013383406185854736,1.0,2.203092386501091e-06,2.203092386501091e-06,1.0,
39,768,1.0234781901041665,0.005637487434728075,0.5230715715266377,0.00018143175191156856,0.00018143175191156856,1.0,2.0039546279352036e-06,2.0039546279352036e-06,1.0,
