injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,sequence_tokens,hidden_mse,rmsnorm_normalized_mse,cosine_distance,router_logit_kl,route_membership_change_fraction,router_mass_churn
post_xplus_bf16_delta,live,0,384,0.5234781901041666,1.0,3,44,0.0001780233128175465,0.0017695073733648792,0.0007190218192629015,0.0002535567380919703,0.13636363636363635,0.016833437082585688
post_xplus_bf16_delta,live,0,576,0.7734781901041666,1.0,3,44,0.00015716428354876783,0.0014147389579212918,0.000634088551404591,0.00020928310700640007,0.11363636363636363,0.014729634052669804
post_xplus_bf16_delta,live,0,749,0.9987386067708334,1.0,3,44,0.00021045255460514701,0.0018783963077580784,0.0008530922933917551,0.0002558398254488408,0.09090909090909091,0.013279128003313673
post_xplus_bf16_delta,live,0,768,1.0234781901041665,1.0,3,44,0.000133553172291427,0.0012378096777177577,0.0005419863850679441,0.00019333868553664537,0.09090909090909091,0.014492442227292636
post_xplus_bf16_delta,live,1,384,0.5234781901041666,1.0,3,44,0.0001444260686119298,0.0012369292317096117,0.0005848802868066868,0.0002092448513824909,0.09090909090909091,0.014030041068292325
post_xplus_bf16_delta,live,1,576,0.7734781901041666,1.0,3,44,0.00017785803078657574,0.0015787322761964073,0.000720417235937031,0.00024401119885649462,0.13636363636363635,0.019510917585633638
post_xplus_bf16_delta,live,1,749,0.9987386067708334,1.0,3,44,0.0001676251431878096,0.001434226356314392,0.0006773846958542662,0.0002245034087866498,0.20454545454545456,0.02066801895936474
post_xplus_bf16_delta,live,1,768,1.0234781901041665,1.0,3,44,0.0001692359423993201,0.0015631185802529174,0.0006836866549652654,0.0002247431115454194,0.11363636363636363,0.015044430449790853
post_xplus_bf16_delta,live,4,384,0.5234781901041666,1.0,3,44,0.00017188493596749637,0.0017448322413281365,0.0006969828470071968,0.0002632819994609886,0.13636363636363635,0.018570066067700286
post_xplus_bf16_delta,live,4,576,0.7734781901041666,1.0,3,44,0.00017813262799845378,0.0016813541809527633,0.0007192348876455282,0.0002311129398313132,0.11363636363636363,0.01665823437321223
post_xplus_bf16_delta,live,4,749,0.9987386067708334,1.0,3,44,0.0001871446492833167,0.00172220828927942,0.0007618391166579803,0.00022780705837439737,0.11363636363636363,0.015356539447349321
post_xplus_bf16_delta,live,4,768,1.0234781901041665,1.0,3,44,0.00014714776975275547,0.001371506265629363,0.0005935838839540626,0.0002047625791962962,0.06818181818181818,0.010831510445893526
post_xplus_bf16_delta,live,6,384,0.5234781901041666,1.0,3,44,0.000142084998238736,0.0012760548261264157,0.0005721201322420751,0.00020360666393258643,0.18181818181818182,0.020775134670839898
post_xplus_bf16_delta,live,6,576,0.7734781901041666,1.0,3,44,0.0002129115847021074,0.0018602620758942777,0.0008586829010086435,0.0002451192139082958,0.13636363636363635,0.016431687037910828
post_xplus_bf16_delta,live,6,749,0.9987386067708334,1.0,3,44,0.00013980490799460975,0.001251056728105365,0.0005645220461843434,0.00018646680072747007,0.11363636363636363,0.01318214255138362
post_xplus_bf16_delta,live,6,768,1.0234781901041665,1.0,3,44,0.0001989785805666212,0.0016966414556841185,0.0008027138014304551,0.00023561720133274033,0.13636363636363635,0.016066456397127928
post_xplus_bf16_delta,live,12,384,0.5234781901041666,1.0,3,44,0.0001586809344112019,0.0013624423830231986,0.0006353966560403864,0.00020443532931411422,0.11363636363636363,0.01372570556644696
post_xplus_bf16_delta,live,12,576,0.7734781901041666,1.0,3,44,0.0001221998151534494,0.00102359624178186,0.0004949239650611049,0.00018245362801885153,0.09090909090909091,0.01421563508587596
post_xplus_bf16_delta,live,12,749,0.9987386067708334,1.0,3,44,0.0001028375722569308,0.0009155894444574465,0.0004155695215008344,0.00016712277780471255,0.11363636363636363,0.012831925439378845
post_xplus_bf16_delta,live,12,768,1.0234781901041665,1.0,3,44,0.0001192868390040241,0.0010483398829605082,0.0004820346665180578,0.000169854554221414,0.13636363636363635,0.016718964079369132
post_xplus_bf16_delta,live,23,384,0.5234781901041666,1.0,3,44,0.00011017904191280469,0.0010131607351777908,0.0004454517730203606,0.00017767485773817544,0.11363636363636363,0.013853595689649563
post_xplus_bf16_delta,live,23,576,0.7734781901041666,1.0,3,44,7.89827592846202e-05,0.0006861708191357799,0.0003196848306743746,0.00014591192329826717,0.13636363636363635,0.015556033327631353
post_xplus_bf16_delta,live,23,749,0.9987386067708334,1.0,3,44,9.941864678094961e-05,0.0009425298492978889,0.00040207467821409067,0.00015817111533990898,0.09090909090909091,0.011725879015807657
post_xplus_bf16_delta,live,23,768,1.0234781901041665,1.0,3,44,8.427920501090243e-05,0.0007809316412751386,0.00034175239778694804,0.00015338017779865001,0.13636363636363635,0.014659637825524707
