injection_mode,route_mode,injection_layer,mean_budget_pages_per_expert,charged_bpw,alpha,requests,label_tokens,intended_delta_energy,realized_layer_error_energy,layer_output_unchanged_fraction,first_route_membership_crossing_fraction,first_route_membership_distance_median,final_router_mass_churn,delta_nll,ppl_ratio,logit_kl,top1_agreement
post_xplus_bf16_delta,live,0,384,0.5234781901041666,1.0,3,41,4.466996231859737e-05,4.5847091112515966e-05,0.3974408214728932,1.0,2.0,0.016838728885868993,0.014327123099456412,1.014430248234547,0.0031478528116369404,0.975609756097561
post_xplus_bf16_delta,live,0,576,0.7734781901041666,1.0,3,41,6.220031691365662e-06,6.560862194763831e-06,0.567796462144309,1.0,1.0,0.014726641762753184,-0.0005493515410571937,0.9994507993248732,0.0023472842795112113,1.0
post_xplus_bf16_delta,live,0,749,0.9987386067708334,1.0,3,41,5.668071780622763e-07,5.004803725253719e-07,0.8336367532564297,1.0,2.0,0.013294859925979187,-0.010054118814582208,0.9899962548756138,0.0028146378624447177,0.975609756097561
post_xplus_bf16_delta,live,0,768,1.0234781901041665,1.0,3,41,4.085047189241406e-07,3.5118360386600404e-07,0.8607298010658517,1.0,2.0,0.014510949299868807,0.009780516556846135,1.0098285021225226,0.002376401225424499,1.0
post_xplus_bf16_delta,live,1,384,0.5234781901041666,1.0,3,41,0.0004558713228720567,0.00045822481134804894,0.3241929617876407,1.0,1.0,0.014012838232527162,-0.011805144498967583,0.9882642628296971,0.0019070209130419102,1.0
post_xplus_bf16_delta,live,1,576,0.7734781901041666,1.0,3,41,0.0001570053193316364,0.000158832244017575,0.35802541688653067,1.0,1.0,0.019568617092847306,0.00494946943689157,1.0049617382938376,0.0025740910470876386,1.0
post_xplus_bf16_delta,live,1,749,0.9987386067708334,1.0,3,41,5.61244708675503e-05,5.791358500772283e-05,0.40993904652932495,1.0,1.0,0.020687284582393228,0.0030070029350318037,1.003011528503353,0.002235316118360421,1.0
post_xplus_bf16_delta,live,1,768,1.0234781901041665,1.0,3,41,5.00421483979062e-05,5.148301637504325e-05,0.4160085481282247,1.0,1.0,0.015018199421129166,0.00903187090199106,1.0090727813211036,0.0029535230812183077,1.0
post_xplus_bf16_delta,live,4,384,0.5234781901041666,1.0,3,41,0.001286601771500365,0.0012938983968647625,0.32257924416871875,1.0,1.0,0.018582058877737426,0.0056184785306921375,1.0056342917827932,0.002431373210651257,1.0
post_xplus_bf16_delta,live,4,576,0.7734781901041666,1.0,3,41,0.0004440638685789863,0.0004484605036002749,0.35552569706041864,1.0,1.0,0.016654362815026667,0.010791151363940201,1.0108495858404267,0.002598619489720659,1.0
post_xplus_bf16_delta,live,4,749,0.9987386067708334,1.0,3,41,0.00016185694462150828,0.00016546555454983756,0.40630916478560813,1.0,1.0,0.015379970240513768,-0.0021500099414186297,0.9978522996744266,0.0029254045709689253,0.975609756097561
post_xplus_bf16_delta,live,4,768,1.0234781901041665,1.0,3,41,0.00014410953322435062,0.00014833620641289166,0.41308416637351475,1.0,1.0,0.010818294087018645,0.006837598178348527,1.0068610279233916,0.001963641624372246,1.0
post_xplus_bf16_delta,live,6,384,0.5234781901041666,1.0,3,41,0.0016175608903892381,0.0016257841876856627,0.3477682699331125,1.0,1.0,0.02076454202892127,0.011887263867387362,1.0119581981814987,0.001877405066381037,1.0
post_xplus_bf16_delta,live,6,576,0.7734781901041666,1.0,3,41,0.0005589690470901307,0.0005659393760153609,0.3880680621005805,1.0,1.0,0.016453156547189648,0.0028183166808524443,1.0028222918688783,0.002760506421988306,1.0
post_xplus_bf16_delta,live,6,749,0.9987386067708334,1.0,3,41,0.00020482917062402425,0.00020990620323713827,0.4423655096630218,1.0,1.0,0.013177734134733424,0.009660960786555536,1.0097077785148358,0.0019935629797814174,0.975609756097561
post_xplus_bf16_delta,live,6,768,1.0234781901041665,1.0,3,41,0.00018036138850230103,0.00018527400987473406,0.44851223466693046,1.0,1.0,0.016054622936791618,-0.009885507836285308,0.9901631931860791,0.0019538182541288278,1.0
post_xplus_bf16_delta,live,12,384,0.5234781901041666,1.0,3,41,0.0025040800603062445,0.002519038960774263,0.36580813982249644,1.0,1.0,0.013701752420641571,0.01691644443928986,1.0170603377280274,0.002545410029617797,1.0
post_xplus_bf16_delta,live,12,576,0.7734781901041666,1.0,3,41,0.0008890808991978643,0.0009003062482805379,0.4084981206210425,1.0,1.0,0.014222386772580262,-0.011444938918627518,0.9886203052524032,0.0013473537140920346,1.0
post_xplus_bf16_delta,live,12,749,0.9987386067708334,1.0,3,41,0.00032541883387868204,0.00033339315836570263,0.46366735939087905,1.0,3.0,0.012833077398888901,0.001960767124620016,1.0019626906854913,0.00135767544016019,1.0
post_xplus_bf16_delta,live,12,768,1.0234781901041665,1.0,3,41,0.0002889488651932126,0.0002966915594552064,0.4706331082475864,1.0,1.0,0.016724130844340625,0.005467644886264375,1.0054826197365134,0.0017874349566835744,0.975609756097561
