source_run_mode,capture_source,evaluation_split,layer,top_k,n,p10_top_k_energy_fraction,median_top_k_energy_fraction,p90_top_k_energy_fraction,median_exact_zero_fraction,p10_coordinates_for_90pct_energy,median_coordinates_for_90pct_energy,p90_coordinates_for_90pct_energy
full,cross_reference,test,0,64,39,0.49876438122107736,0.6978122718575956,0.7799218340698614,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,128,39,0.5870400897985587,0.7578813621467262,0.8279868266153434,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,256,39,0.7015712674555854,0.8311524529822714,0.88235474433769,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,384,39,0.7788854218406805,0.8787900082771732,0.9146927126688814,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,512,39,0.8344665533037836,0.9116028996840575,0.9372648649701308,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,768,39,0.9108301682018969,0.9538411073571487,0.9670409343173977,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,1024,39,0.956686307937831,0.9780701808415253,0.9841156599496181,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,0,2048,39,1.0,1.0,1.0,0.0009765625,319.8,462.0,723.4000000000001
full,cross_reference,test,4,64,35,0.3556271039906371,0.4130687900935554,0.536083511692085,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,128,35,0.4628111779049467,0.5173810633700859,0.6206122068758243,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,256,35,0.608734740382151,0.6498933839889118,0.7271083535381477,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,384,35,0.7101625851496792,0.742360159505953,0.799083259357269,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,512,35,0.7843322213647044,0.8098762909515906,0.8510914342883965,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,768,35,0.8858522975516444,0.9005883957501315,0.9212914723556165,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,1024,35,0.9454472556800454,0.9515921192003028,0.9621061803437109,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,4,2048,35,1.0,1.0,1.0,0.00048828125,675.0,766.0,816.6
full,cross_reference,test,20,64,36,0.2821813223570945,0.3175005815416569,0.3755519206206164,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,128,36,0.39758291339677543,0.43649594553612003,0.47742779490618176,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,256,36,0.5624545460156105,0.5924882814423844,0.6170583125893543,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,384,36,0.6736515776775426,0.6973616187267371,0.7145464239887026,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,512,36,0.7574259918171515,0.7766950414982234,0.7875794724773573,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,768,36,0.8716386474897596,0.8806673678926189,0.886950236920732,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,1024,36,0.9376963482378682,0.9418654303228786,0.9462565058949342,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,20,2048,36,1.0,1.0,1.0,0.00048828125,814.0,835.0,862.0
full,cross_reference,test,39,64,32,0.23671210312025753,0.3290098893277673,0.3808913125390372,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,128,32,0.3552829967276778,0.4437402642823457,0.4869853308116277,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,256,32,0.5268720896954038,0.5979058081747128,0.6326445207387297,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,384,32,0.6482160881223723,0.7014624077853678,0.7293452270319917,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,512,32,0.7396657702721721,0.7776112308762312,0.797827426246251,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,768,32,0.8614908796070802,0.8811337619895974,0.8918498998651894,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,1024,32,0.9329273867001036,0.941724047327442,0.9478140696002116,0.00048828125,798.4,834.5,888.6
full,cross_reference,test,39,2048,32,1.0,1.0,1.0,0.00048828125,798.4,834.5,888.6
full,exact_checkpoint,test,0,64,13,0.4388052885011614,0.4766222972621494,0.5186551052108825,0.0009765625,692.6,741.0,756.6
full,exact_checkpoint,test,0,128,13,0.5333835080590418,0.5638739753461948,0.6038880434716536,0.0009765625,692.6,741.0,756.6
full,exact_checkpoint,test,0,256,13,0.6615136451429959,0.6852125422633256,0.7132538331149686,0.0009765625,692.6,741.0,756.6
full,exact_checkpoint,test,0,384,13,0.7483856772607831,0.7677504537542844,0.7889454249996312,0.0009765625,692.6,741.0,756.6
full,exact_checkpoint,test,0,512,13,0.8137611074133214,0.8266629230047458,0.8445837643395304,0.0009765625,692.6,741.0,756.6
