source_run_mode,capture_source,evaluation_split,layer,projection,selected_actions,distinct_requests,unique_occurrences,experts,actions_per_occurrence,q2_q3_actions,q3_q4_actions,q2_q3_fraction,q3_q4_fraction,median_marginal_gain,coordinate_rank_abs_activation_p10,coordinate_rank_abs_activation_median,coordinate_rank_abs_activation_p90,coordinate_rank_activation_weighted_delta_norm_p10,coordinate_rank_activation_weighted_delta_norm_median,coordinate_rank_activation_weighted_delta_norm_p90,coordinate_rank_future_proxy_weighted_p10,coordinate_rank_future_proxy_weighted_median,coordinate_rank_future_proxy_weighted_p90
pilot,exact_checkpoint,test,0,gate,4096,1,1,1,4096.0,2048,2048,0.5,0.5,1.2468221939343493e-06,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,0,up,4096,1,1,1,4096.0,2048,2048,0.5,0.5,-4.347111826064065e-08,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,4,gate,4096,1,1,1,4096.0,2048,2048,0.5,0.5,0.0001713422971079126,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,4,up,4096,1,1,1,4096.0,2048,2048,0.5,0.5,6.549040335812606e-05,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,20,gate,4096,1,1,1,4096.0,2048,2048,0.5,0.5,0.00012892125232610852,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,20,up,4096,1,1,1,4096.0,2048,2048,0.5,0.5,0.00010419807222206146,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,39,gate,4096,1,1,1,4096.0,2048,2048,0.5,0.5,0.0007523122476413846,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,test,39,up,4096,1,1,1,4096.0,2048,2048,0.5,0.5,0.00036057192482985556,205.5,1024.5,1843.5,205.5,1024.5,1843.5,205.5,1024.5,1843.5
pilot,exact_checkpoint,validation,0,gate,28672,2,7,1,4096.0,14336,14336,0.5,0.5,3.0961237484916637e-07,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,0,up,28672,2,7,1,4096.0,14336,14336,0.5,0.5,-3.021368968347815e-07,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,4,gate,65536,3,16,1,4096.0,32768,32768,0.5,0.5,0.00011973298387601972,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,4,up,65536,3,16,1,4096.0,32768,32768,0.5,0.5,6.499170558527112e-05,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,20,gate,65536,3,16,1,4096.0,32768,32768,0.5,0.5,0.0001944946125149727,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,20,up,65536,3,16,1,4096.0,32768,32768,0.5,0.5,0.00010575149281066842,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,39,gate,65536,3,16,1,4096.0,32768,32768,0.5,0.5,0.0003954772837460041,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
pilot,exact_checkpoint,validation,39,up,65536,3,16,1,4096.0,32768,32768,0.5,0.5,0.00020633840176742524,205.0,1024.5,1844.0,205.0,1024.5,1844.0,205.0,1024.5,1844.0
