source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.0625,142,0.4830636404119789,0.6680093599321759,0.8967036534825386,48.0,16.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.125,142,0.5752682798831311,0.7478382137615154,0.9232905627715446,96.0,32.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.25,142,0.6800370003181151,0.8275024824358435,0.9465068309524406,192.0,64.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.375,142,0.7480167449395159,0.8622037635891859,0.9610519265841523,288.0,96.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.5,142,0.7921087103403551,0.8853549002124987,0.9683396069012835,384.0,128.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.75,142,0.8403567642327335,0.919347045571632,0.9756268562713396,576.0,192.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.0,142,0.8692220740671264,0.9329989761419718,0.9782992412874929,768.0,256.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.25,142,0.8824549124136583,0.9396877593414286,0.9801063749437202,960.0,320.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.5,142,0.8894562372728221,0.9427318378069572,0.9819853536129245,1152.0,384.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,2.0,142,0.9999999999980722,0.9999999999990502,0.9999999999994782,1536.0,512.0,1.0,151.20329428464174,5242880.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.0625,142,0.1828558647401283,0.4898214048281516,0.8627166128654747,48.0,16.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.125,142,0.29485173488472727,0.574974628891345,0.8921275265132225,96.0,32.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.25,142,0.45513021877788273,0.7239273479095386,0.9272967293508466,192.0,64.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.375,142,0.6210522540748112,0.8003121987716306,0.9560404082697813,288.0,96.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.5,142,0.6890898499776302,0.8676315187217626,0.9713375100525968,384.0,128.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.75,142,0.8226837783328136,0.9349104467161524,0.990822406260704,576.0,192.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.0,142,0.8988799672273258,0.9664398783702512,0.9980135321023316,768.0,256.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.25,142,0.9589214120146067,0.9849798365965088,0.9999342306458521,960.0,320.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.5,142,0.98280731067246,0.9951231520037238,1.0,1152.0,384.0,1.0,5.562088917940855,8388608.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,2.0,142,1.0,1.0,1.0,1536.0,512.0,1.0,5.562088917940855,8388608.0
