source_run_mode,capture_source,evaluation_split,layer,projection,score_method,shortlist_size,relationship,token_gap,n,p10_support_jaccard,median_support_jaccard,p10_importance_weighted_overlap,median_importance_weighted_overlap
pilot,exact_checkpoint,test,0,gate_up,abs_activation,64,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,128,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,256,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,384,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,512,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,768,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,abs_activation,1024,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,64,same_invocation_gate_up,0,1,0.8823529411764706,0.8823529411764706,0.8342359780741854,0.8342359780741854
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,128,same_invocation_gate_up,0,1,0.855072463768116,0.855072463768116,0.8244029746568173,0.8244029746568173
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,256,same_invocation_gate_up,0,1,0.841726618705036,0.841726618705036,0.8174021225124039,0.8174021225124039
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,384,same_invocation_gate_up,0,1,0.92,0.92,0.8492105067781598,0.8492105067781598
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,512,same_invocation_gate_up,0,1,0.924812030075188,0.924812030075188,0.8546012278836185,0.8546012278836185
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,768,same_invocation_gate_up,0,1,0.9443037974683545,0.9443037974683545,0.8632997028799332,0.8632997028799332
pilot,exact_checkpoint,test,0,gate_up,activation_weighted_delta_norm,1024,same_invocation_gate_up,0,1,0.9523355576739753,0.9523355576739753,0.8679294057973195,0.8679294057973195
pilot,exact_checkpoint,test,0,gate_up,exact_marginal_fixed_greedy,256,same_invocation_gate_up,0,1,0.1588677065280185,0.1588677065280185,0.1443162544311944,0.1443162544311944
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,64,same_invocation_gate_up,0,1,0.5802469135802469,0.5802469135802469,0.5237936966097639,0.5237936966097639
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,128,same_invocation_gate_up,0,1,0.5329341317365269,0.5329341317365269,0.5014570414084493,0.5014570414084493
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,256,same_invocation_gate_up,0,1,0.5851393188854489,0.5851393188854489,0.5156574192845456,0.5156574192845456
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,384,same_invocation_gate_up,0,1,0.7219730941704036,0.7219730941704036,0.5642544887743437,0.5642544887743437
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,512,same_invocation_gate_up,0,1,0.7444633730834753,0.7444633730834753,0.5765214971304902,0.5765214971304902
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,768,same_invocation_gate_up,0,1,0.779837775202781,0.779837775202781,0.5939035674671771,0.5939035674671771
pilot,exact_checkpoint,test,0,gate_up,future_proxy_weighted,1024,same_invocation_gate_up,0,1,0.8450450450450451,0.8450450450450451,0.6110050985025051,0.6110050985025051
pilot,exact_checkpoint,test,4,gate_up,abs_activation,64,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,128,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,256,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,384,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,512,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,768,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,abs_activation,1024,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,64,same_invocation_gate_up,0,1,0.8028169014084507,0.8028169014084507,0.715748627417349,0.715748627417349
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,128,same_invocation_gate_up,0,1,0.8962962962962963,0.8962962962962963,0.7827947149136821,0.7827947149136821
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,256,same_invocation_gate_up,0,1,0.8892988929889298,0.8892988929889298,0.793492870312806,0.793492870312806
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,384,same_invocation_gate_up,0,1,0.9345088161209067,0.9345088161209067,0.824419617406802,0.824419617406802
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,512,same_invocation_gate_up,0,1,0.924812030075188,0.924812030075188,0.8264407696353772,0.8264407696353772
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,768,same_invocation_gate_up,0,1,0.9667093469910372,0.9667093469910372,0.8477357726049826,0.8477357726049826
pilot,exact_checkpoint,test,4,gate_up,activation_weighted_delta_norm,1024,same_invocation_gate_up,0,1,0.9692307692307692,0.9692307692307692,0.8527939557855198,0.8527939557855198
pilot,exact_checkpoint,test,4,gate_up,exact_marginal_fixed_greedy,256,same_invocation_gate_up,0,1,0.22030456852791877,0.22030456852791877,0.14926952615800887,0.14926952615800887
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,64,same_invocation_gate_up,0,1,0.5058823529411764,0.5058823529411764,0.48967437887079895,0.48967437887079895
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,128,same_invocation_gate_up,0,1,0.5609756097560976,0.5609756097560976,0.5316382163304392,0.5316382163304392
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,256,same_invocation_gate_up,0,1,0.6463022508038585,0.6463022508038585,0.5861577041900571,0.5861577041900571
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,384,same_invocation_gate_up,0,1,0.7142857142857143,0.7142857142857143,0.6263772836443873,0.6263772836443873
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,512,same_invocation_gate_up,0,1,0.7655172413793103,0.7655172413793103,0.6566262881628179,0.6566262881628179
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,768,same_invocation_gate_up,0,1,0.8307508939213349,0.8307508939213349,0.6891640609629462,0.6891640609629462
pilot,exact_checkpoint,test,4,gate_up,future_proxy_weighted,1024,same_invocation_gate_up,0,1,0.8754578754578755,0.8754578754578755,0.7080263022969007,0.7080263022969007
pilot,exact_checkpoint,test,20,gate_up,abs_activation,64,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,20,gate_up,abs_activation,128,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,20,gate_up,abs_activation,256,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,20,gate_up,abs_activation,384,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
pilot,exact_checkpoint,test,20,gate_up,abs_activation,512,same_invocation_gate_up,0,1,1.0,1.0,1.0,1.0
