source_run_mode,capture_source,evaluation_split,layer,objective,selection_category,selection_regime,action_family,tile_shape,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_logical_bytes,median_page_amplification
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.25,39,0.819442285019755,0.9242741824476605,0.9854833496186803,192.0,192.0,98304.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.5,39,0.9179605470784243,0.9613873375181663,0.9934752923981647,384.0,384.0,196608.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.75,39,0.938402911252544,0.9735686989295509,0.9959520078096851,576.0,576.0,294912.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.0,39,0.9404854431422398,0.9749463683761254,0.9960213153349937,768.0,768.0,393216.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.25,39,0.9441496319632687,0.9780207214700253,0.9963729308805452,960.0,960.0,491520.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.5,39,0.9504298643468224,0.9787160926691378,0.996617158689595,1152.0,1152.0,589824.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.25,39,0.8347017763535917,0.9277558044818468,0.9864232092795469,192.0,192.0,98304.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.5,39,0.9173472013427705,0.9603675902343068,0.9939502994514907,384.0,384.0,196608.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.75,39,0.9401282133759716,0.9739939711810868,0.9960529864925425,576.0,576.0,294912.0,1.0
full,cross_reference,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.0,39,0.9431538927189091,0.9753004247671087,0.9961292139119998,768.0,768.0,393216.0,1.0
