source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,tile_shape,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.25,142,0.7792745623565666,0.8667445073134737,0.9580967208407267,192.0,192.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.5,142,0.8877219111020381,0.9352216887990024,0.9791811738255838,384.0,384.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.75,142,0.9227041717194304,0.9564871582605213,0.9850204673472589,576.0,576.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.0,142,0.9318333093509807,0.9619004668427071,0.9868586539801313,768.0,768.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.25,142,0.9437077715170975,0.9679386892048853,0.9885603889909077,960.0,960.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.5,142,0.9508587823991949,0.9729262713400195,0.9912092711564753,1152.0,1152.0,1.0,1405.650201253593,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.25,142,0.7820319495426086,0.8692456878484897,0.9573887999224793,192.0,192.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.5,142,0.8908149359828699,0.9355703783395797,0.9804081970942269,384.0,384.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.75,142,0.92217586809769,0.9574265760447265,0.9863501601735605,576.0,576.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.0,142,0.930618045567091,0.9624730129764741,0.9872707498157072,768.0,768.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.25,142,0.9426870453613103,0.9690411805609693,0.9883549995042911,960.0,960.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.5,142,0.9509756025735671,0.9733578608029672,0.9899319164432258,1152.0,1152.0,1.0,1409.6485767513514,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.25,142,-6.786455213159669,-2.9934898340704263,-0.5092852371873661,192.0,192.0,1.0,628.2374644652009,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.5,142,-14.771837760553206,-7.119058093751797,-1.9676246488486018,384.0,384.0,1.0,628.2374644652009,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.75,142,-18.617546334689013,-9.522683482456607,-2.643336682271345,576.0,576.0,1.0,628.2374644652009,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.0,142,-20.078315811987224,-10.184775715940734,-2.747175720363255,768.0,768.0,1.0,628.2374644652009,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.25,142,-19.490053081291002,-10.021411967666495,-2.698131595730692,960.0,960.0,1.0,628.2374644652009,25174016.0
full,cross_reference,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.5,142,-14.959462393519829,-7.9851356267856675,-2.3388089680404067,1152.0,1152.0,1.0,628.2374644652009,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.25,85,0.7939411727120478,0.8799180084833812,0.9575748259383874,192.0,192.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.5,85,0.8967437885311609,0.9418602308631348,0.9851025851370893,384.0,384.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.75,85,0.9315641489158111,0.960068538979413,0.9898656401017845,576.0,576.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.0,85,0.9394318958532094,0.9664779922706682,0.9904853616112426,768.0,768.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.25,85,0.9481717117620915,0.9746041878545787,0.9920964771983818,960.0,960.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.5,85,0.953750848057043,0.9782416096773401,0.9932671276933741,1152.0,1152.0,1.0,1385.6258122250438,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.25,85,0.7902018669585834,0.8825701301000485,0.9563267608305194,192.0,192.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.5,85,0.8958329492227054,0.9428566582496981,0.9833397035192687,384.0,384.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.75,85,0.929918793197803,0.961650108786268,0.9879694392127232,576.0,576.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.0,85,0.9375300726487903,0.968255966655318,0.989903877368243,768.0,768.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.25,85,0.9485552620620075,0.9738040715582489,0.9919148635047235,960.0,960.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.5,85,0.9583340195614862,0.9785451039208721,0.9932141217681152,1152.0,1152.0,1.0,1386.53480168432,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.25,85,-9.090129414286386,-4.418665210482389,-1.582776608623454,192.0,192.0,1.0,619.5918060839176,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.5,85,-20.076396455892773,-9.947176792159896,-4.893569079353962,384.0,384.0,1.0,619.5918060839176,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.75,85,-25.804665707334472,-13.142172025250696,-6.5661110518003305,576.0,576.0,1.0,619.5918060839176,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.0,85,-27.638051896293405,-13.853430515070434,-6.8064886877395425,768.0,768.0,1.0,619.5918060839176,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.25,85,-26.906495019893278,-13.438464995557073,-6.758489106266833,960.0,960.0,1.0,619.5918060839176,25174016.0
full,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.5,85,-22.171726380965296,-11.30728440990358,-5.740184516254587,1152.0,1152.0,1.0,619.5918060839176,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.25,4,-3.420052944449507,-2.9319347839758794,-1.9512109481422948,192.0,192.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.5,4,-8.388758090018001,-7.302621575248191,-5.394354637320437,384.0,384.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.75,4,-12.162827142083419,-9.504949483019486,-7.986203312144034,576.0,576.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.0,4,-13.207397263541061,-9.66748864731494,-8.673256024360766,768.0,768.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.25,4,-12.694548325424911,-9.589140811567834,-8.540436499656435,960.0,960.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.5,4,-10.498385600012849,-8.224923047837379,-6.875080497415924,1152.0,1152.0,1.0,546.7145447619259,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.25,4,0.2835513562353189,0.5449203323419208,0.7660292287246697,192.0,192.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.5,4,0.5411906468532157,0.7509727944951156,0.8532782624336496,384.0,384.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.75,4,0.43771047331744406,0.8360479469607338,0.9020664486513401,576.0,576.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,1.0,4,0.6527265673358245,0.904503778371795,0.9587010184905672,768.0,768.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,1.25,4,0.8246742828610324,0.9387281277439388,0.9854845090184838,960.0,960.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,1.5,4,0.9062597087093701,0.9628934888342062,0.994162116104219,1152.0,1152.0,1.0,567.3109400086105,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,0.25,55,0.7853428836732234,0.8729624581138827,0.9517659987866399,192.0,192.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,0.5,55,0.8989726426693123,0.9369387139661319,0.9784791188401402,384.0,384.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,0.75,55,0.9245317039856075,0.9613944557310729,0.9824352612770055,576.0,576.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,1.0,55,0.9375036926366112,0.9659270635614904,0.9840443777007982,768.0,768.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,1.25,55,0.9491968291754611,0.9721434010481924,0.9851852312293133,960.0,960.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,16x64,exact_dynamic_tile_marginal_refresh_1,1.5,55,0.9564984809049835,0.9776511360934281,0.9874093680691346,1152.0,1152.0,1.0,1384.6316020935774,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.25,55,0.7881799370183533,0.8618817001768125,0.9490162018181931,192.0,192.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.5,55,0.898815493934849,0.935206401376838,0.9789863944551294,384.0,384.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.75,55,0.9295506613258763,0.9593609718634634,0.982214729877012,576.0,576.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.0,55,0.9394330679063129,0.9649685630983746,0.9828127064885855,768.0,768.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.25,55,0.950899669067493,0.9716121483149578,0.9851151269353461,960.0,960.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.5,55,0.9541028303820749,0.9775634674416742,0.9885641305902811,1152.0,1152.0,1.0,1402.2118654102087,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.25,55,0.7838556721045243,0.8642470253766308,0.9501866838019717,192.0,192.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.5,55,0.893323818056617,0.9386850413095122,0.9792881576730765,384.0,384.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,0.75,55,0.9262094962407221,0.9605891789502987,0.9817321591929514,576.0,576.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.0,55,0.9351834099261213,0.9660252450754732,0.9819135785763975,768.0,768.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.25,55,0.9476976838425971,0.9718505420853019,0.9843437872051422,960.0,960.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,64x16,exact_dynamic_tile_marginal_refresh_1,1.5,55,0.9543657934331425,0.9786865005736138,0.9880068832414037,1152.0,1152.0,1.0,1395.575505681336,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.25,55,-11.686862381547796,-4.499713010149201,-1.6017767239674119,192.0,192.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.5,55,-23.330845445909464,-10.199200240745016,-4.890050305305676,384.0,384.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.75,55,-30.721311259524235,-13.680099232369292,-7.121807565037911,576.0,576.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.0,55,-32.803119891933854,-14.441323496225568,-7.951880893701726,768.0,768.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.25,55,-31.050990740583483,-13.767221585781112,-7.8172571035575995,960.0,960.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.5,55,-25.157653343064094,-11.822453148690235,-6.316161063351695,1152.0,1152.0,1.0,619.023154489696,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,16x64,activation_energy_x_weight,0.25,55,0.18133393858216992,0.41368272438121056,0.7764829786075266,192.0,192.0,1.0,554.7564066946507,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,16x64,activation_energy_x_weight,0.5,55,0.2746536458454492,0.6372653654724063,0.8663736295759247,384.0,384.0,1.0,554.7564066946507,25174016.0
pilot,exact_checkpoint,validation,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,16x64,activation_energy_x_weight,0.75,55,0.5418540987460655,0.7474243143005442,0.9195528710192249,576.0,576.0,1.0,554.7564066946507,25174016.0
