source_run_mode,capture_source,evaluation_split,layer,top_k,n,p10_top_k_energy_fraction,median_top_k_energy_fraction,p90_top_k_energy_fraction,median_exact_zero_fraction,p10_coordinates_for_90pct_energy,median_coordinates_for_90pct_energy,p90_coordinates_for_90pct_energy
pilot,exact_checkpoint,test,0,64,1,0.5013793248115339,0.5013793248115339,0.5013793248115339,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,128,1,0.5868389954483082,0.5868389954483082,0.5868389954483082,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,256,1,0.7023780415933424,0.7023780415933424,0.7023780415933424,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,384,1,0.7816182872614972,0.7816182872614972,0.7816182872614972,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,512,1,0.8381437031485351,0.8381437031485351,0.8381437031485351,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,768,1,0.9128379240206362,0.9128379240206362,0.9128379240206362,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,1024,1,0.9567861941187835,0.9567861941187835,0.9567861941187835,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,0,2048,1,1.0,1.0,1.0,0.0009765625,715.0,715.0,715.0
pilot,exact_checkpoint,test,4,64,1,0.326224380892956,0.326224380892956,0.326224380892956,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,128,1,0.43857875080096326,0.43857875080096326,0.43857875080096326,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,256,1,0.5937494491032888,0.5937494491032888,0.5937494491032888,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,384,1,0.7019147691762859,0.7019147691762859,0.7019147691762859,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,512,1,0.7797192296881182,0.7797192296881182,0.7797192296881182,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,768,1,0.8849732507786291,0.8849732507786291,0.8849732507786291,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,1024,1,0.9454457452397188,0.9454457452397188,0.9454457452397188,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,4,2048,1,1.0,1.0,1.0,0.0009765625,820.0,820.0,820.0
pilot,exact_checkpoint,test,20,64,1,0.33324749579790686,0.33324749579790686,0.33324749579790686,0.0,802.0,802.0,802.0
pilot,exact_checkpoint,test,20,128,1,0.4530710092665347,0.4530710092665347,0.4530710092665347,0.0,802.0,802.0,802.0
pilot,exact_checkpoint,test,20,256,1,0.6134438855112085,0.6134438855112085,0.6134438855112085,0.0,802.0,802.0,802.0
