source_run_mode,capture_source,evaluation_split,layer,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_fetched_pages,median_logical_actions,median_logical_bytes,p90_candidate_overfetch
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.25,1,0.4831190361435203,0.4831190361435203,0.4831190361435203,60.0,224.0,14336.0,0.9375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.5,1,0.4831190361435203,0.4831190361435203,0.4831190361435203,60.0,224.0,14336.0,0.46875
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.75,1,0.4831190361435203,0.4831190361435203,0.4831190361435203,60.0,224.0,14336.0,0.3125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,1.0,1,0.4831190361435203,0.4831190361435203,0.4831190361435203,60.0,224.0,14336.0,0.234375
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.25,1,0.5577648632316268,0.5577648632316268,0.5577648632316268,116.0,588.0,37632.0,1.8125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.5,1,0.5577648632316268,0.5577648632316268,0.5577648632316268,116.0,588.0,37632.0,0.90625
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.75,1,0.5577648632316268,0.5577648632316268,0.5577648632316268,116.0,588.0,37632.0,0.6041666666666666
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,1.0,1,0.5577648632316268,0.5577648632316268,0.5577648632316268,116.0,588.0,37632.0,0.453125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.25,1,0.7151321474294499,0.7151321474294499,0.7151321474294499,210.0,1126.0,72064.0,3.28125
pilot,exact_checkpoint,test,0,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.5,1,0.7151321474294499,0.7151321474294499,0.7151321474294499,210.0,1126.0,72064.0,1.640625
