source_run_mode,capture_source,evaluation_split,projection,selection_category,selection_regime,score_method,shortlist_size,refresh_block,physical_budget_bpw,n,p10_exact_gain_retained_matched_fetched_pages,median_exact_gain_retained_matched_fetched_pages,p90_exact_gain_retained_matched_fetched_pages,median_planned_prefix_exact_gain_retained,median_action_recall,median_importance_weighted_recall,median_candidate_pages,median_fetched_pages,p10_candidate_overfetch,median_candidate_overfetch,p90_candidate_overfetch,max_candidate_overfetch,median_runtime_ms,median_selector_bytes
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.25,4,0.40653343576459305,0.47883167275641564,0.5506334291529672,0.8435434573859341,0.13237577639751552,0.4767721760176239,61.0,61.0,0.9265625,0.953125,0.96875,0.96875,36.97864757850766,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.5,4,0.40653343576459305,0.47883167275641564,0.5506334291529672,0.6143685180320898,0.08307950191570881,0.3820620359539118,61.0,61.0,0.46328125,0.4765625,0.484375,0.484375,36.97864757850766,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,0.75,4,0.40653343576459305,0.47883167275641564,0.5506334291529672,0.5257043493133233,0.05600701487491548,0.33720470254411294,61.0,61.0,0.3088541666666667,0.31770833333333337,0.3229166666666667,0.3229166666666667,36.97864757850766,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,64,1,1.0,4,0.40653343576459305,0.47883167275641564,0.5506334291529672,0.4877497180184844,0.045759622251178377,0.3126840512509509,61.0,61.0,0.231640625,0.23828125,0.2421875,0.2421875,36.97864757850766,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.25,4,0.5624728433655479,0.6154170732817426,0.742775008258725,1.0028321436440057,0.2054531853647451,0.6101630947926069,117.0,117.0,1.8125,1.828125,1.8765625,1.890625,137.17993767932057,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.5,4,0.5624728433655479,0.6154170732817426,0.742775008258725,0.8687796344611654,0.14813697318007663,0.5181061254281687,117.0,117.0,0.90625,0.9140625,0.93828125,0.9453125,137.17993767932057,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,0.75,4,0.5624728433655479,0.6154170732817426,0.742775008258725,0.7641663448418557,0.10568041871921183,0.46594600719726953,117.0,117.0,0.6041666666666666,0.609375,0.6255208333333334,0.6302083333333334,137.17993767932057,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,128,1,1.0,4,0.5624728433655479,0.6154170732817426,0.742775008258725,0.7255704196114414,0.08655862784676699,0.44344758146358587,117.0,117.0,0.453125,0.45703125,0.469140625,0.47265625,137.17993767932057,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.25,4,0.7333878110844444,0.781145813138095,0.7999933335744454,0.9899971494172359,0.3125541672685252,0.7639252854913412,216.0,216.0,3.3,3.375,3.40625,3.40625,195.31443435698748,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.5,4,0.7333878110844444,0.781145813138095,0.7999933335744454,0.9810912739762803,0.24794523660739648,0.6873932364031379,216.0,216.0,1.65,1.6875,1.703125,1.703125,195.31443435698748,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,0.75,4,0.7333878110844444,0.781145813138095,0.7999933335744454,0.9714718022981483,0.20228687739463602,0.6341215633072093,216.0,216.0,1.1,1.125,1.1354166666666667,1.1354166666666667,195.31443435698748,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,256,1,1.0,4,0.7333878110844444,0.781145813138095,0.7999933335744454,0.9309255750403387,0.1634376842698002,0.5977773546470588,216.0,216.0,0.825,0.84375,0.8515625,0.8515625,195.31443435698748,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.25,4,0.6521432115132845,0.7694992131759503,0.8445419268945032,0.9673584976302766,0.36511447349414994,0.8419884786357956,289.5,289.5,4.5,4.5234375,4.56875,4.578125,382.06056505441666,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.5,4,0.6521432115132845,0.7694992131759503,0.8445419268945032,0.9632037697336275,0.3121743295019157,0.781379931640663,289.5,289.5,2.25,2.26171875,2.284375,2.2890625,382.06056505441666,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,0.75,4,0.6521432115132845,0.7694992131759503,0.8445419268945032,0.9780857077242557,0.2696360153256705,0.7295534041251068,289.5,289.5,1.5,1.5078125,1.5229166666666667,1.5260416666666667,382.06056505441666,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,384,1,1.0,4,0.6521432115132845,0.7694992131759503,0.8445419268945032,0.9786788939787014,0.23542201992606532,0.693045884683164,289.5,289.5,1.125,1.130859375,1.1421875,1.14453125,382.06056505441666,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.25,4,0.7227576050741246,0.7570317930541001,0.8792407212427172,0.972090273986838,0.41030803120034665,0.8879508462181116,350.0,350.0,5.453125,5.46875,5.528125,5.546875,278.94998574629426,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.5,4,0.7227576050741246,0.7570317930541001,0.8792407212427172,0.9691700554423883,0.3654645593869732,0.8414247272290564,350.0,350.0,2.7265625,2.734375,2.7640625,2.7734375,278.94998574629426,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,0.75,4,0.7227576050741246,0.7570317930541001,0.8792407212427172,0.9706761343179412,0.3394110098322293,0.80425829529989,350.0,350.0,1.8177083333333333,1.8229166666666665,1.8427083333333334,1.8489583333333333,278.94998574629426,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,512,1,1.0,4,0.7227576050741246,0.7570317930541001,0.8792407212427172,0.9806442885259863,0.3078876214049342,0.7773487776265653,350.0,350.0,1.36328125,1.3671875,1.38203125,1.38671875,278.94998574629426,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.25,4,-0.2434091197819266,0.4131027257060739,0.8833124196173721,0.9381017924492105,0.49079616036137774,0.9404931770031253,437.5,437.5,6.828125,6.8359375,6.8875,6.90625,310.8408930711448,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.5,4,-0.2434091197819266,0.4131027257060739,0.8833124196173721,0.9142900435744603,0.4596946284032377,0.9135192849267146,437.5,437.5,3.4140625,3.41796875,3.44375,3.453125,310.8408930711448,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,0.75,4,-0.2434091197819266,0.4131027257060739,0.8833124196173721,0.9285391619026279,0.45779624409917963,0.8967379868979812,437.5,437.5,2.2760416666666665,2.278645833333333,2.2958333333333334,2.3020833333333335,310.8408930711448,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,768,1,1.0,4,-0.2434091197819266,0.4131027257060739,0.8833124196173721,0.9416215145442522,0.43422273937959055,0.8814798190708626,437.5,437.5,1.70703125,1.708984375,1.721875,1.7265625,310.8408930711448,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.25,4,0.0,0.0,0.6464819070074159,0.9122740831823757,0.5603242813809042,0.9585215260289943,480.5,480.5,7.4890625,7.5078125,7.559375,7.578125,347.58211812004447,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.5,4,0.0,0.0,0.6464819070074159,0.87766398063825,0.5428256070640176,0.9570614058764715,480.5,480.5,3.74453125,3.75390625,3.7796875,3.7890625,347.58211812004447,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,0.75,4,0.0,0.0,0.6464819070074159,0.8691166392059931,0.5542600373482727,0.9498131044432933,480.5,480.5,2.4963541666666664,2.502604166666667,2.5197916666666664,2.5260416666666665,347.58211812004447,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,abs_activation,1024,1,1.0,4,0.0,0.0,0.6464819070074159,0.8828425082097124,0.543503419971602,0.9430618117833591,480.5,480.5,1.872265625,1.876953125,1.88984375,1.89453125,347.58211812004447,67117056.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.25,4,0.44671143494032484,0.5726027307681256,0.6181279003194862,0.8653405040988753,0.12927018633540371,0.4777842074220735,61.0,61.0,0.9265625,0.953125,0.9796875,0.984375,54.9023118801415,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.5,4,0.44671143494032484,0.5726027307681256,0.6181279003194862,0.6297939678321594,0.08099616858237549,0.3784942387629937,61.0,61.0,0.46328125,0.4765625,0.48984375,0.4921875,54.9023118801415,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,0.75,4,0.44671143494032484,0.5726027307681256,0.6181279003194862,0.5388414979564424,0.05649721095334686,0.33614361173736884,61.0,61.0,0.3088541666666667,0.31770833333333337,0.32656250000000003,0.328125,54.9023118801415,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,64,1,1.0,4,0.44671143494032484,0.5726027307681256,0.6181279003194862,0.4999513610268277,0.04621458130486354,0.3133101046214806,61.0,61.0,0.231640625,0.23828125,0.244921875,0.24609375,54.9023118801415,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.25,4,0.6164564102105334,0.6347618245764135,0.6712870588144794,1.008239537508623,0.20399969699265208,0.6096094806927956,117.5,117.5,1.8171875,1.8359375,1.8765625,1.890625,109.40585611388087,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.5,4,0.6164564102105334,0.6347618245764135,0.6712870588144794,0.8767520461171572,0.1531386695449639,0.5244258448080055,117.5,117.5,0.90859375,0.91796875,0.93828125,0.9453125,109.40585611388087,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,0.75,4,0.6164564102105334,0.6347618245764135,0.6712870588144794,0.7728061778752676,0.1087848932676519,0.4730456483018024,117.5,117.5,0.6057291666666667,0.6119791666666667,0.6255208333333334,0.6302083333333334,109.40585611388087,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,128,1,1.0,4,0.6164564102105334,0.6347618245764135,0.6712870588144794,0.7200440756975883,0.09027236323429133,0.4494718427069411,117.5,117.5,0.454296875,0.458984375,0.469140625,0.47265625,109.40585611388087,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.25,4,0.7081838069132651,0.7478440148809762,0.7749675716295785,0.9833796976011664,0.3081937021522462,0.756438662143715,215.0,215.0,3.246875,3.359375,3.4171875,3.421875,175.8790099993348,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.5,4,0.7081838069132651,0.7478440148809762,0.7749675716295785,0.9779749898323519,0.248500823723229,0.6853627883742814,215.0,215.0,1.6234375,1.6796875,1.70859375,1.7109375,175.8790099993348,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,0.75,4,0.7081838069132651,0.7478440148809762,0.7749675716295785,0.9705950085006882,0.20435652709359606,0.6324858910739719,215.0,215.0,1.0822916666666667,1.1197916666666667,1.1390625,1.140625,175.8790099993348,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,256,1,1.0,4,0.7081838069132651,0.7478440148809762,0.7749675716295785,0.9216809553601724,0.16614619131578162,0.5985607776216122,215.0,215.0,0.81171875,0.83984375,0.854296875,0.85546875,175.8790099993348,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.25,4,0.6402304237158463,0.7189031576541375,0.8392911776927674,0.9738679999865987,0.3684186768741875,0.840352138406013,287.0,287.0,4.4734375,4.484375,4.5609375,4.59375,229.5310953631997,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.5,4,0.6402304237158463,0.7189031576541375,0.8392911776927674,0.963894273813273,0.31010536398467436,0.7751222256758353,287.0,287.0,2.23671875,2.2421875,2.28046875,2.296875,229.5310953631997,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,0.75,4,0.6402304237158463,0.7189031576541375,0.8392911776927674,0.9739479743368895,0.27278325123152714,0.7283263880159814,287.0,287.0,1.4911458333333334,1.4947916666666667,1.5203125,1.53125,229.5310953631997,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,384,1,1.0,4,0.6402304237158463,0.7189031576541375,0.8392911776927674,0.9733923919693956,0.2367247127150458,0.6947769625794511,287.0,287.0,1.118359375,1.12109375,1.140234375,1.1484375,229.5310953631997,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.25,4,0.7456234343106222,0.7954165850118613,0.8850306684728146,0.9529113694068128,0.40392433653303217,0.8804373769926255,350.5,350.5,5.4578125,5.4765625,5.571875,5.609375,286.1119778826833,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.5,4,0.7456234343106222,0.7954165850118613,0.8850306684728146,0.9597213270785461,0.3592289272030651,0.8378514417900875,350.5,350.5,2.72890625,2.73828125,2.7859375,2.8046875,286.1119778826833,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,0.75,4,0.7456234343106222,0.7954165850118613,0.8850306684728146,0.9641280540582703,0.3365325822340486,0.7960983281996266,350.5,350.5,1.8192708333333334,1.8255208333333335,1.8572916666666668,1.8697916666666667,286.1119778826833,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,512,1,1.0,4,0.7456234343106222,0.7954165850118613,0.8850306684728146,0.972605884861369,0.30519416526128285,0.7681327676638665,350.5,350.5,1.364453125,1.369140625,1.39296875,1.40234375,286.1119778826833,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.25,4,0.0938502923232622,0.4643694854045086,0.8253205798733123,0.9306784434012545,0.49649915302089215,0.9416043245535533,436.0,436.0,6.8015625,6.8125,6.8671875,6.890625,317.45685916393995,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.5,4,0.0938502923232622,0.4643694854045086,0.8253205798733123,0.9130126110825245,0.4650892200147167,0.9159208806075831,436.0,436.0,3.40078125,3.40625,3.43359375,3.4453125,317.45685916393995,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,0.75,4,0.0938502923232622,0.4643694854045086,0.8253205798733123,0.9257987308621782,0.4592399399605848,0.9004962022871927,436.0,436.0,2.2671875,2.2708333333333335,2.2890625,2.296875,317.45685916393995,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,768,1,1.0,4,0.0938502923232622,0.4643694854045086,0.8253205798733123,0.9415691750663604,0.4359224435129166,0.8829228578198809,436.0,436.0,1.700390625,1.703125,1.716796875,1.72265625,317.45685916393995,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.25,4,0.0,0.0,0.6243577660600721,0.9152849587559007,0.5663368481872021,0.9605746424573783,481.0,481.0,7.5,7.515625,7.5421875,7.546875,368.530691601336,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.5,4,0.0,0.0,0.6243577660600721,0.8796741083467325,0.5442144959529065,0.9576184754664264,481.0,481.0,3.75,3.7578125,3.77109375,3.7734375,368.530691601336,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,0.75,4,0.0,0.0,0.6243577660600721,0.8712905012171659,0.552546423606337,0.9509709087196919,481.0,481.0,2.5,2.505208333333333,2.5140625,2.515625,368.530691601336,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,activation_weighted_delta_norm,1024,1,1.0,4,0.0,0.0,0.6243577660600721,0.8925914157216999,0.5435413648468052,0.9429132530297739,481.0,481.0,1.875,1.87890625,1.885546875,1.88671875,368.530691601336,75505664.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.25,4,0.339692408583579,0.5635528495884512,0.6207081414079012,0.8378017140569598,0.12811461794019932,0.4713869463196795,61.5,61.5,0.9421875,0.9609375,0.9796875,0.984375,63.23849689215422,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.5,4,0.339692408583579,0.5635528495884512,0.6207081414079012,0.6162064542065686,0.08390615236039312,0.38237443342799293,61.5,61.5,0.47109375,0.48046875,0.48984375,0.4921875,63.23849689215422,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,0.75,4,0.339692408583579,0.5635528495884512,0.6207081414079012,0.5326929158101257,0.058555189317106154,0.3410650007041256,61.5,61.5,0.3140625,0.3203125,0.32656250000000003,0.328125,63.23849689215422,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,64,1,1.0,4,0.339692408583579,0.5635528495884512,0.6207081414079012,0.49521856742456793,0.04742767896510665,0.31746996030938957,61.5,61.5,0.235546875,0.240234375,0.244921875,0.24609375,63.23849689215422,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.25,4,0.5105171228640984,0.5380327542160623,0.565872480492875,1.001690720516153,0.19167108552382395,0.5931510699579383,118.0,118.0,1.7890625,1.84375,1.865625,1.875,114.26606960594654,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.5,4,0.5105171228640984,0.5380327542160623,0.565872480492875,0.8519854246560761,0.139384195875703,0.5046802145325417,118.0,118.0,0.89453125,0.921875,0.9328125,0.9375,114.26606960594654,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,0.75,4,0.5105171228640984,0.5380327542160623,0.565872480492875,0.7557152905360245,0.10770730706075535,0.4569935073778109,118.0,118.0,0.5963541666666666,0.6145833333333334,0.6218750000000001,0.625,114.26606960594654,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,128,1,1.0,4,0.5105171228640984,0.5380327542160623,0.565872480492875,0.7026510224677083,0.08780967038221318,0.43483293937745676,118.0,118.0,0.447265625,0.4609375,0.46640625,0.46875,114.26606960594654,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.25,4,0.5990036229509312,0.6484420361306427,0.7325023063515218,0.9852601449658187,0.3021030603742141,0.744120207503985,214.5,214.5,3.2515625,3.3515625,3.4078125,3.421875,204.13422374986112,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.5,4,0.5990036229509312,0.6484420361306427,0.7325023063515218,0.9843678878897936,0.2379264898028745,0.6670764464484225,214.5,214.5,1.62578125,1.67578125,1.70390625,1.7109375,204.13422374986112,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,0.75,4,0.5990036229509312,0.6484420361306427,0.7325023063515218,0.9597096938744059,0.20150862068965517,0.6117401475235464,214.5,214.5,1.0838541666666668,1.1171875,1.1359375,1.140625,204.13422374986112,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,256,1,1.0,4,0.5990036229509312,0.6484420361306427,0.7325023063515218,0.9101111631074402,0.16855964389434192,0.5837133401364991,214.5,214.5,0.812890625,0.837890625,0.851953125,0.85546875,204.13422374986112,77602816.0
pilot,exact_checkpoint,test,gate,h0_oracle,h0_oracle_full_target_residual,future_proxy_weighted,384,1,0.25,4,0.5689171705554785,0.717792213893125,0.8216634825854726,0.9776486672806114,0.35794633829264766,0.8300074869655414,289.0,289.0,4.4421875,4.515625,4.5890625,4.59375,263.1804447155446,77602816.0
