source_run_mode,capture_source,evaluation_split,layer,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_logical_bytes,median_page_amplification
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.0625,1,0.6109498453537576,0.6109498453537576,0.6109498453537576,48.0,16.0,24576.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.125,1,0.4368489266023894,0.4368489266023894,0.4368489266023894,96.0,32.0,49152.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.25,1,0.7173860985652442,0.7173860985652442,0.7173860985652442,192.0,64.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.375,1,0.8203564079951573,0.8203564079951573,0.8203564079951573,288.0,96.0,147456.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.5,1,0.8900281323665238,0.8900281323665238,0.8900281323665238,384.0,128.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.75,1,0.9937147637251028,0.9937147637251028,0.9937147637251028,576.0,192.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.0,1,1.0,1.0,1.0,768.0,256.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.25,1,1.0,1.0,1.0,960.0,320.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.5,1,1.0,1.0,1.0,1152.0,384.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,2.0,1,1.0,1.0,1.0,1536.0,512.0,786432.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.0625,1,0.8310161906740593,0.8310161906740593,0.8310161906740593,48.0,16.0,24576.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.125,1,0.8927890794751259,0.8927890794751259,0.8927890794751259,96.0,32.0,49152.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.25,1,0.9300078457867144,0.9300078457867144,0.9300078457867144,192.0,64.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.375,1,0.9487772056582521,0.9487772056582521,0.9487772056582521,288.0,96.0,147456.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.5,1,0.9639989335951151,0.9639989335951151,0.9639989335951151,384.0,128.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,0.75,1,0.9720179520327258,0.9720179520327258,0.9720179520327258,576.0,192.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.0,1,0.9720179520327258,0.9720179520327258,0.9720179520327258,768.0,256.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.25,1,0.9720179520327258,0.9720179520327258,0.9720179520327258,960.0,320.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,1.5,1,0.9720179520327258,0.9720179520327258,0.9720179520327258,1152.0,384.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,exact_unit_output_marginal_fixed_greedy,2.0,1,0.9999999999992675,0.9999999999992675,0.9999999999992675,1536.0,512.0,786432.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.0625,1,0.6731045984499138,0.6731045984499138,0.6731045984499138,48.0,16.0,24576.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.125,1,0.8114974561193742,0.8114974561193742,0.8114974561193742,96.0,32.0,49152.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.25,1,0.9373650491658803,0.9373650491658803,0.9373650491658803,192.0,64.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.375,1,0.9647135118857144,0.9647135118857144,0.9647135118857144,288.0,96.0,147456.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.5,1,0.9825971280786499,0.9825971280786499,0.9825971280786499,384.0,128.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,0.75,1,0.9993464410089679,0.9993464410089679,0.9993464410089679,576.0,192.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.0,1,1.0,1.0,1.0,768.0,256.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.25,1,1.0,1.0,1.0,960.0,320.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,1.5,1,1.0,1.0,1.0,1152.0,384.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,first_order_gate_up_down_sensitivity,2.0,1,1.0,1.0,1.0,1536.0,512.0,786432.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.0625,1,0.7449300790625213,0.7449300790625213,0.7449300790625213,48.0,16.0,24576.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.125,1,0.7666359070176385,0.7666359070176385,0.7666359070176385,96.0,32.0,49152.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.25,1,0.9274333894380434,0.9274333894380434,0.9274333894380434,192.0,64.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.375,1,0.9726718903026568,0.9726718903026568,0.9726718903026568,288.0,96.0,147456.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.5,1,0.9890988717124642,0.9890988717124642,0.9890988717124642,384.0,128.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,0.75,1,0.9997613743904294,0.9997613743904294,0.9997613743904294,576.0,192.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.0,1,1.0,1.0,1.0,768.0,256.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.25,1,1.0,1.0,1.0,960.0,320.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,1.5,1,1.0,1.0,1.0,1152.0,384.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,direct_q2_q4_complete_unit_packet_3pages,independent_unit_correction_norm,2.0,1,1.0,1.0,1.0,1536.0,512.0,786432.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.25,1,0.9296389086339738,0.9296389086339738,0.9296389086339738,192.0,117.0,89856.0,1.0940170940170941
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.5,1,0.9511565986447676,0.9511565986447676,0.9511565986447676,383.0,240.0,184320.0,1.0638888888888889
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,0.75,1,0.9511565986447676,0.9511565986447676,0.9511565986447676,576.0,340.0,261120.0,1.1294117647058823
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.0,1,0.9511565986447676,0.9511565986447676,0.9511565986447676,768.0,490.0,376320.0,1.0448979591836736
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.25,1,0.9511565986447676,0.9511565986447676,0.9511565986447676,960.0,628.0,482304.0,1.019108280254777
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,neuron_major,progressive_q3_q4_coherent_unit_packet_2plus1_pages,exact_progressive_neuron_page_greedy,1.5,1,0.9511565986447676,0.9511565986447676,0.9511565986447676,1152.0,756.0,580608.0,1.0158730158730158
