source_run_mode,capture_source,evaluation_split,objective,selection_category,selection_regime,action_family,representation,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_page_amplification,median_runtime_ms,median_selector_bytes
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.0625,4,0.20656642502615355,0.4982116247973905,0.7561228793826695,48.0,16.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.125,4,0.2301661871711502,0.4749054580702,0.7807896143933095,96.0,32.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.25,4,0.33486874602223626,0.6859809595237066,0.8888121080976156,192.0,64.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.375,4,0.32605017343448994,0.7627750989956522,0.9211178746319129,288.0,96.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.5,4,0.5828132038861109,0.7928840471073842,0.9549466507508421,384.0,128.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,0.75,4,0.5865843150132871,0.8935356739896714,0.9935816771163487,576.0,192.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.0,4,0.7675948686468229,0.9235177167731344,0.9988226792993032,768.0,256.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.25,4,0.8604472185117212,0.9310850687305553,0.9990319333690141,960.0,320.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,1.5,4,0.8885018422665198,0.9679125923398736,0.9994801041118507,1152.0,384.0,1.0,0.09200489148497581,5124.0
pilot,exact_checkpoint,test,exact_sequential_complete_expert_qenergy,deployable_h0_proxy,h0_deployable_metadata_late,neuron_major,direct_q2_q4_complete_unit_packet_3pages,weight_aware_down_delta,2.0,4,1.0,1.0,1.0,1536.0,512.0,1.0,0.09200489148497581,5124.0
