source_run_mode,capture_source,evaluation_split,layer,objective,selection_category,selection_regime,action_family,tile_shape,selector,physical_budget_bpw,n,p10_recovery,median_recovery,p90_recovery,median_physical_pages,median_logical_actions,median_logical_bytes,median_page_amplification
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.25,1,0.9497701580871993,0.9497701580871993,0.9497701580871993,192.0,192.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.5,1,0.976482293755388,0.976482293755388,0.976482293755388,384.0,384.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,0.75,1,0.9770987627584942,0.9770987627584942,0.9770987627584942,576.0,576.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.0,1,0.9780640494305628,0.9780640494305628,0.9780640494305628,768.0,768.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.25,1,0.9814531378054137,0.9814531378054137,0.9814531378054137,960.0,960.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,gate_up_tile_plus_down_column,32x32,exact_dynamic_tile_marginal_refresh_1,1.5,1,0.9843810262071099,0.9843810262071099,0.9843810262071099,1152.0,1152.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.25,1,-2.6387248432369907,-2.6387248432369907,-2.6387248432369907,192.0,192.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.5,1,-6.158955554502315,-6.158955554502315,-6.158955554502315,384.0,384.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,0.75,1,-7.8737482926824125,-7.8737482926824125,-7.8737482926824125,576.0,576.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.0,1,-7.783729505534193,-7.783729505534193,-7.783729505534193,768.0,768.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.25,1,-7.783729505534193,-7.783729505534193,-7.783729505534193,960.0,960.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_full_suffix,input_coordinate_baseline,input_coordinate_2columns_per_page,static_first_order_input_coordinate_baseline,1.5,1,-6.766273155644643,-6.766273155644643,-6.766273155644643,1152.0,1152.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.25,1,-2.939627557941903,-2.939627557941903,-2.939627557941903,192.0,192.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.5,1,-7.729749868398724,-7.729749868398724,-7.729749868398724,384.0,384.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,0.75,1,-10.508361417643327,-10.508361417643327,-10.508361417643327,576.0,576.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.0,1,-10.457069068160514,-10.457069068160514,-10.457069068160514,768.0,768.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.25,1,-10.379251563823342,-10.379251563823342,-10.379251563823342,960.0,960.0,491520.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_first_order,1.5,1,-8.742288874202876,-8.742288874202876,-8.742288874202876,1152.0,1152.0,589824.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.25,1,0.6002360511500232,0.6002360511500232,0.6002360511500232,192.0,192.0,98304.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.5,1,0.8288073088144625,0.8288073088144625,0.8288073088144625,384.0,384.0,196608.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,0.75,1,0.9013365096232655,0.9013365096232655,0.9013365096232655,576.0,576.0,294912.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,1.0,1,0.9504943427549946,0.9504943427549946,0.9504943427549946,768.0,768.0,393216.0,1.0
pilot,exact_checkpoint,test,0,exact_sequential_complete_expert_qenergy,h0_oracle,h0_oracle_suffix_metadata_heavy,gate_up_tile_plus_down_column,32x32,static_wina,1.25,1,0.9707134349495882,0.9707134349495882,0.9707134349495882,960.0,960.0,491520.0,1.0
