budget_regime,factor_config_id,solver,physical_budget_pages,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,field_build_runtime_ms_median,field_build_runtime_ms_p90,coordinate_sweeps_median,coordinate_sweeps_p90,local_evaluated_passes_median,local_evaluated_passes_p90,coordinate_accepted_moves_median,local_accepted_bundles_median
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,384,3493.0195204913616,3607.2929445654154,3703.9631258696318,0.0,0.0,22.0,24.0,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,576,3845.721103996039,4246.445694938302,4330.840874835849,0.0,0.0,22.0,24.0,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,768,4288.607275858522,4760.729586705565,4877.285738289356,0.0,0.0,21.0,23.0,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,384,1974.0141563117504,2067.9583456367254,2149.5972983539104,0.0,0.0,12.0,14.0,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,576,2205.2884597331285,2411.5690030157566,2478.631303086877,0.0,0.0,12.0,14.200000000000003,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,768,2195.267682522536,2683.6434435099363,2730.2304588258266,0.0,0.0,12.0,14.0,12.0,12.0,0.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,384,3136.835115775466,3278.6688711494207,3361.162343248725,0.5978159606456757,1.6435477882623675,20.0,23.200000000000003,12.0,12.0,815.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,576,3386.5503523498774,3867.0632522553205,3949.0644089877605,0.5978159606456757,1.6435477882623675,21.0,23.200000000000003,12.0,12.0,1212.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,768,3497.434652224183,4310.463577508926,4410.509822145104,0.5978159606456757,1.6435477882623675,20.0,23.0,12.0,12.0,1593.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,384,3106.5082985907793,3188.57978656888,3265.7592598348856,0.5978159606456757,1.6435477882623675,13.0,16.0,12.0,12.0,672.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,576,3416.692206263542,3782.1596823632717,3869.126535579562,0.5978159606456757,1.6435477882623675,13.0,16.0,12.0,12.0,988.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,768,3341.9918473809958,4250.880524516106,4352.5058180093765,0.5978159606456757,1.6435477882623675,12.0,15.0,12.0,12.0,1288.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,384,1733.1824719905853,1837.1354397386312,1913.9000002294779,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,451.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,576,1855.2403945475817,2157.554004341364,2219.313905760646,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,675.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,768,1977.4466551840308,2408.5497241467237,2480.941105261445,0.5978159606456757,1.6435477882623675,11.0,13.0,12.0,12.0,876.0,12.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,384,980.168117582798,1039.8521050810814,1161.949111893773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,576,1010.3859789669514,1053.8721289485693,1084.4328340142965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,768,843.2496704161173,1074.1751790046692,1110.3184010833502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,384,3199.609349668026,3294.0658666193485,3402.1120373159647,0.5478747189044952,1.0800011456012728,21.0,24.0,12.0,12.0,808.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,576,3580.644890666008,3841.1034364253283,3939.2662324011326,0.5478747189044952,1.0800011456012728,21.0,24.0,12.0,12.0,1228.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,768,3444.7363570332527,4327.713202685118,4447.510707378387,0.5478747189044952,1.0800011456012728,21.0,22.200000000000003,12.0,12.0,1614.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,384,3097.5863862782717,3207.135869190097,3379.404254630208,0.5478747189044952,1.0800011456012728,13.0,16.0,12.0,12.0,667.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,576,3519.3771533668046,3797.476200386882,3879.453933984041,0.5478747189044952,1.0800011456012728,13.0,16.0,12.0,12.0,999.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,768,3403.218702226877,4229.706583544612,4324.185547605157,0.5478747189044952,1.0800011456012728,13.0,14.200000000000003,12.0,12.0,1314.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,384,1731.8467251956463,1841.195110231638,1928.5152941942215,0.5478747189044952,1.0800011456012728,11.0,14.0,12.0,12.0,466.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,576,2003.8018733263016,2152.2019281983376,2194.608324021101,0.5478747189044952,1.0800011456012728,11.0,13.0,12.0,12.0,679.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,768,1793.4279587119818,2408.994125202298,2467.4974180758,0.5478747189044952,1.0800011456012728,11.0,13.0,12.0,12.0,893.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,384,1000.0060342252254,1031.0048200190067,1098.2082590460777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,576,1023.6004497855902,1059.4529118388891,1103.4125532954931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,768,854.6523213386541,1083.127623423934,1153.4136574715376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,384,3184.312976524234,3304.817419499159,3407.1857549250126,0.5180835723876953,1.0089490562677386,21.0,24.0,12.0,12.0,823.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,576,3579.169499129057,3850.479230284691,3974.2055598646402,0.5180835723876953,1.0089490562677386,22.0,24.0,12.0,12.0,1227.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,768,3773.1706712394957,4293.17869246006,4385.753120854497,0.5180835723876953,1.0089490562677386,20.0,23.0,12.0,12.0,1607.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,3118.8011556863785,3234.0302113443613,3349.405188858509,0.5180835723876953,1.0089490562677386,14.0,16.0,12.0,12.0,665.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,3602.1082516759634,3792.7749939262867,3884.3760922551155,0.5180835723876953,1.0089490562677386,14.0,16.0,12.0,12.0,1000.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,3641.9973295181994,4233.936434611678,4338.964445516467,0.5180835723876953,1.0089490562677386,12.0,15.0,12.0,12.0,1306.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_dp_two_seed_coordinate_plus_local,384,1751.6488585621119,1847.567753866315,1913.4983848780394,0.5180835723876953,1.0089490562677386,11.0,13.200000000000003,12.0,12.0,461.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_dp_two_seed_coordinate_plus_local,576,2028.18357758224,2163.0901265889406,2214.634896814823,0.5180835723876953,1.0089490562677386,11.0,14.0,12.0,12.0,686.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_dp_two_seed_coordinate_plus_local,768,2006.2572307884695,2412.800984457135,2490.946203842759,0.5180835723876953,1.0089490562677386,11.0,13.0,12.0,12.0,893.0,12.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_pr11_reference,384,1001.1696171015501,1035.8802545815706,1090.4348481446505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_pr11_reference,576,1028.5390228033066,1074.1833113133907,1150.2093497663736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_pr11_reference,768,853.5740386694675,1083.0014571547508,1145.5345716327429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
