budget_regime,factor_config_id,solver,physical_budget_pages,rows,split_only_units_p10,split_only_units_median,split_only_units_p90,gate_high_units_p10,gate_high_units_median,gate_high_units_p90,up_high_units_p10,up_high_units_median,up_high_units_p90,down_high_units_p10,down_high_units_median,down_high_units_p90,physical_pages_p10,physical_pages_median,physical_pages_p90
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,384,69,99.6,163.0,177.0,67.0,89.0,115.0,112.0,130.0,144.60000000000002,149.4,162.0,178.0,384.0,384.0,384.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,576,69,111.80000000000007,218.0,241.60000000000002,98.8,138.0,181.4,179.6,196.0,219.2,202.8,239.0,258.0,576.0,576.0,576.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_eight_state_oracle,768,69,76.00000000000007,236.0,276.2,146.4,196.0,252.60000000000002,247.0,264.0,292.6,264.8,310.0,334.2,767.6,768.0,768.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,384,69,0.0,0.0,0.0,109.0,118.0,128.2,109.0,118.0,128.2,127.4,148.0,166.0,384.0,384.0,384.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,576,69,0.0,0.0,0.0,174.0,184.0,194.2,174.0,184.0,194.2,187.6,208.0,228.0,576.0,576.0,576.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_gram_four_state_reference,768,69,0.0,0.0,0.0,243.8,253.0,258.2,243.8,253.0,258.2,251.6,262.0,280.4,766.8,768.0,768.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,384,69,122.40000000000002,161.0,178.60000000000002,66.8,88.0,115.0,112.8,130.0,145.4,150.0,162.0,178.0,384.0,384.0,384.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,576,69,115.60000000000007,214.0,246.2,99.0,138.0,181.60000000000002,180.0,198.0,223.0,201.8,240.0,258.2,576.0,576.0,576.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_inherited_four_state_warm_start,768,69,76.00000000000007,241.0,275.0,144.2,193.0,250.20000000000002,245.8,263.0,293.4,263.2,312.0,333.2,767.6,768.0,768.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,384,69,122.40000000000002,161.0,178.60000000000002,66.8,88.0,115.0,112.8,130.0,145.4,150.0,162.0,178.0,384.0,384.0,384.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,576,69,115.60000000000007,214.0,246.2,99.0,138.0,181.60000000000002,180.0,198.0,223.0,201.8,240.0,258.2,576.0,576.0,576.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,eight_state_two_seed_coordinate_plus_local,768,69,76.00000000000007,241.0,275.0,144.2,193.0,250.20000000000002,245.8,263.0,293.4,263.2,312.0,333.2,767.6,768.0,768.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,384,69,0.0,0.0,0.0,111.0,119.0,127.0,111.0,119.0,127.0,130.0,146.0,162.0,384.0,384.0,384.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,576,69,0.0,0.0,0.0,177.8,187.0,194.0,177.8,187.0,194.0,188.0,202.0,220.4,576.0,576.0,576.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_dp_two_seed_coordinate_plus_local,768,69,0.0,0.0,0.0,247.0,254.0,260.2,247.0,254.0,260.2,247.6,260.0,274.0,767.6,768.0,768.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,384,69,0.0,0.0,0.0,112.8,119.0,124.2,112.8,119.0,124.2,135.6,146.0,158.4,384.0,384.0,384.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,576,69,0.0,0.0,0.0,176.8,181.0,192.0,176.8,181.0,192.0,192.0,214.0,222.4,576.0,576.0,576.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,four_state_pr11_reference,768,69,0.0,0.0,0.0,240.8,246.0,256.0,240.8,246.0,256.0,256.0,276.0,286.4,768.0,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,384,69,122.80000000000001,162.0,177.2,64.8,88.0,114.4,110.8,130.0,146.0,150.0,164.0,178.4,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,576,69,111.00000000000006,215.0,242.2,98.2,137.0,182.0,179.0,196.0,221.2,202.0,240.0,260.0,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_inherited_four_state_warm_start,768,69,76.00000000000007,240.0,274.2,142.0,193.0,251.8,244.8,263.0,292.4,262.4,312.0,336.0,767.6,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,384,69,122.80000000000001,162.0,177.2,64.8,88.0,114.4,110.8,130.0,146.0,150.0,164.0,178.4,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,576,69,111.00000000000006,215.0,242.2,98.2,137.0,182.0,179.0,196.0,221.2,202.0,240.0,260.0,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,eight_state_two_seed_coordinate_plus_local,768,69,76.00000000000007,240.0,274.2,142.0,193.0,251.8,244.8,263.0,292.4,262.4,312.0,336.0,767.6,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,384,69,0.0,0.0,0.0,111.0,119.0,128.0,111.0,119.0,128.0,128.0,146.0,162.0,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,576,69,0.0,0.0,0.0,176.0,186.0,195.0,176.0,186.0,195.0,186.0,204.0,224.0,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_dp_two_seed_coordinate_plus_local,768,69,0.0,0.0,0.0,245.8,254.0,259.2,245.8,254.0,259.2,249.6,260.0,276.4,767.6,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,384,69,0.0,0.0,0.0,113.0,117.0,123.2,113.0,117.0,123.2,137.6,150.0,158.0,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,576,69,0.0,0.0,0.0,174.8,180.0,190.2,174.8,180.0,190.2,195.6,216.0,226.4,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_fp32,four_state_pr11_reference,768,69,0.0,0.0,0.0,240.8,245.0,256.0,240.8,245.0,256.0,256.0,278.0,286.4,768.0,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,384,69,124.40000000000002,162.0,178.4,64.8,89.0,117.0,112.8,131.0,146.2,149.8,163.0,178.0,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,576,69,110.20000000000006,216.0,244.2,99.2,138.0,182.4,179.8,198.0,222.4,203.6,239.0,258.0,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_inherited_four_state_warm_start,768,69,72.80000000000007,239.0,274.4,142.2,195.0,249.40000000000003,245.8,264.0,292.0,264.0,312.0,336.2,767.6,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,384,69,124.40000000000002,162.0,178.4,64.8,89.0,117.0,112.8,131.0,146.2,149.8,163.0,178.0,384.0,384.0,384.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,576,69,110.20000000000006,216.0,244.2,99.2,138.0,182.4,179.8,198.0,222.4,203.6,239.0,258.0,576.0,576.0,576.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,eight_state_two_seed_coordinate_plus_local,768,69,72.80000000000007,239.0,274.4,142.2,195.0,249.40000000000003,245.8,264.0,292.0,264.0,312.0,336.2,767.6,768.0,768.0
fixed_correction_budget,joint_eigh_tail8_exact0_int4_per_row_hadamard,four_state_dp_two_seed_coordinate_plus_local,384,69,0.0,0.0,0.0,112.8,120.0,128.0,112.8,120.0,128.0,128.0,144.0,158.4,384.0,384.0,384.0
