budget_regime,factor_config_id,factor_family,solver,physical_budget_pages,physical_budget_bpw,budget_total_bpw,rows,recovery_p10,recovery_median,recovery_p90,set_gain_retention_p10,set_gain_retention_median,recovery_gain_p10,recovery_gain_median,gain_vs_pr11_p10,gain_vs_pr11_median,seed_optimizer_gain_p10,seed_optimizer_gain_median,metadata_bytes,metadata_bpw,selector_compute_macs_max,selector_runtime_ms_p10,selector_runtime_ms_median,selector_runtime_ms_p90,field_build_runtime_ms_median,field_build_runtime_ms_p90,coordinate_sweeps_median,coordinate_sweeps_p90,local_evaluated_passes_median,local_evaluated_passes_p90,coordinate_accepted_moves_median,local_accepted_bundles_median,split_only_units_median
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_eight_state_oracle,384,0.5,,69,0.9339207547288487,0.9638265172880702,0.9980945237034442,1.0038363875257066,1.0353835646949343,0.002296738972037238,0.02126637404121523,0.003973880139681652,0.039406169248142775,0.0012044848915127694,0.01858049984079846,,,,3493.0195204913616,3607.2929445654154,3703.9631258696318,0.0,0.0,22.0,24.0,12.0,12.0,0.0,12.0,163.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_eight_state_oracle,576,0.75,,69,0.9741782475427662,0.9866057181295663,0.9997608771229194,1.0005271537576645,1.0245238725148318,0.00039475910252233546,0.014450632371082572,0.0006965030572336333,0.02385476323353064,0.00029028293217752153,0.010982455461297058,,,,3845.721103996039,4246.445694938302,4330.840874835849,0.0,0.0,22.0,24.0,12.0,12.0,0.0,12.0,218.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_eight_state_oracle,768,1.0,,69,0.9916830977041572,0.9951177088781243,0.9999823605066184,1.0000999761110598,1.0169341252916582,4.686831093163595e-05,0.007353016135209334,0.00015428314206999985,0.015409050997948204,0.0,0.007218939222286891,,,,4288.607275858522,4760.729586705565,4877.285738289356,0.0,0.0,21.0,23.0,12.0,12.0,0.0,12.0,236.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_four_state_reference,384,0.5,,69,0.8967554838721223,0.9415261011204957,0.9960668138311569,1.0007552705549325,1.0121005505119656,-2.220446049250313e-16,0.0,0.0012044848915127694,0.018580499840798348,0.0012044848915127694,0.01858049984079846,,,,1974.0141563117504,2067.9583456367254,2149.5972983539104,0.0,0.0,12.0,14.0,12.0,12.0,0.0,12.0,0.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_four_state_reference,576,0.75,,69,0.9474851967601451,0.9720520525630794,0.9993498849375922,1.0001340755892505,1.011280721928282,-1.1102230246251565e-16,0.0,0.00029028293217752153,0.010982455461296947,0.00029028293217752153,0.010982455461297058,,,,2205.2884597331285,2411.5690030157566,2478.631303086877,0.0,0.0,12.0,14.200000000000003,12.0,12.0,0.0,12.0,0.0
fixed_correction_budget,exact_full_down_gram_training_only,exact_full_down_gram,exact_gram_four_state_reference,768,1.0,,69,0.9760223078424018,0.9869993338092031,0.9999354921956868,1.0,1.0082357879256958,-2.2204460492503052e-17,0.0,0.0,0.007218939222286891,0.0,0.007218939222286891,,,,2195.267682522536,2683.6434435099363,2730.2304588258266,0.0,0.0,12.0,14.0,12.0,12.0,0.0,12.0,0.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_inherited_four_state_warm_start,384,0.5,0.5495096842447916,69,0.9264049851337424,0.9592851970220028,0.9980874312099333,1.0038242042641505,1.0300884266402148,0.002474902801975287,0.023784228870824098,0.003827672668564941,0.03464775200121506,0.0010420525757194547,0.010957322159537486,19468.0,0.049509684244791664,1281024.0,3136.835115775466,3278.6688711494207,3361.162343248725,0.5978159606456757,1.6435477882623675,20.0,23.200000000000003,12.0,12.0,815.0,12.0,161.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_inherited_four_state_warm_start,576,0.75,0.7995096842447916,69,0.9710829488173526,0.9846122981324363,0.9997322637520086,1.0004941947471206,1.0236836207044573,0.00041354058243872095,0.016254803563073295,0.0006635162976977421,0.023940727980973797,0.0001755599356644045,0.007484408431509548,19468.0,0.049509684244791664,1289216.0,3386.5503523498774,3867.0632522553205,3949.0644089877605,0.5978159606456757,1.6435477882623675,21.0,23.200000000000003,12.0,12.0,1212.0,12.0,214.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_inherited_four_state_warm_start,768,1.0,1.0495096842447917,69,0.9908409106004343,0.9947691071153021,0.9999784209977582,1.0000960360230022,1.0158828919143845,4.520548199273837e-05,0.008173193815648405,0.00015034363320980416,0.014599901327922327,0.0,0.005490360980780262,19468.0,0.049509684244791664,1276928.0,3497.434652224183,4310.463577508926,4410.509822145104,0.5978159606456757,1.6435477882623675,20.0,23.0,12.0,12.0,1593.0,12.0,241.0
fixed_correction_budget,exact_proxy_plus_eigh_tail_tail0_exact4_fp32,exact_proxy_plus_eigh_tail,eight_state_two_seed_coordinate_plus_local,384,0.5,0.5495096842447916,69,0.9264049851337424,0.9592851970220028,0.9980874312099333,1.0038242042641505,1.0300884266402148,0.002474902801975287,0.023784228870824098,0.003827672668564941,0.03464775200121506,0.0010420525757194547,0.010957322159537486,19468.0,0.049509684244791664,736256.0,3106.5082985907793,3188.57978656888,3265.7592598348856,0.5978159606456757,1.6435477882623675,13.0,16.0,12.0,12.0,672.0,12.0,161.0
